Año;Mes;Hora;CMg
2025;1;0;119,4687156
2025;1;1;108,5307722
2025;1;2;107,644506
2025;1;3;107,6437779
2025;1;4;107,6437236
2025;1;5;107,6439799
2025;1;6;0
2025;1;7;0
2025;1;8;0
2025;1;9;0
2025;1;10;0
2025;1;11;0
2025;1;12;0
2025;1;13;0
2025;1;14;0
2025;1;15;0
2025;1;16;0
2025;1;17;0
2025;1;18;0
2025;1;19;0
2025;1;20;135,6165249
2025;1;21;140,1197142
2025;1;22;137,739947
2025;1;23;137,7400903
2025;2;0;134,3724364
2025;2;1;133,1938198
2025;2;2;123,2577568
2025;2;3;123,2590825
2025;2;4;123,2591248
2025;2;5;123,2599095
2025;2;6;11,21438491
2025;2;7;11,21434618
2025;2;8;6,492473809
2025;2;9;5,778718523
2025;2;10;0,904266308
2025;2;11;0,903965663
2025;2;12;0,903469955
2025;2;13;0,903469955
2025;2;14;0,901487124
2025;2;15;0,9
2025;2;16;0,9
2025;2;17;0,900991416
2025;2;18;0,900991416
2025;2;19;0,897961249
2025;2;20;141,4406367
2025;2;21;141,8145577
2025;2;22;141,2188197
2025;2;23;141,2182385
2025;3;0;142,736094
2025;3;1;142,1348297
2025;3;2;142,9295075
2025;3;3;142,9295051
2025;3;4;142,9280305
2025;3;5;142,9280329
2025;3;6;142,2329727
2025;3;7;32,73158656
2025;3;8;32,73155695
2025;3;9;14,90127698
2025;3;10;5,85770821
2025;3;11;5,840395747
2025;3;12;5,831739515
2025;3;13;5,831739515
2025;3;14;5,814427052
2025;3;15;5,8
2025;3;16;5,80288541
2025;3;17;5,805770821
2025;3;18;5,80288541
2025;3;19;146,2245439
2025;3;20;145,634429
2025;3;21;145,6343503
2025;3;22;145,6340401
2025;3;23;141,8432207
2025;4;0;133,295705
2025;4;1;130,7387811
2025;4;2;130,6240338
2025;4;3;130,6246883
2025;4;4;130,6237511
2025;4;5;130,6238929
2025;4;6;130,9216304
2025;4;7;45,32658137
2025;4;8;52,46856501
2025;4;9;20,90448463
2025;4;10;7,230367885
2025;4;11;7,252506597
2025;4;12;7,248028996
2025;4;13;7,236931592
2025;4;14;7,221971296
2025;4;15;7,203701285
2025;4;16;7,203701285
2025;4;17;46,52451213
2025;4;18;46,83695376
2025;4;19;131,5639524
2025;4;20;131,6633572
2025;4;21;131,6628005
2025;4;22;132,7593497
2025;4;23;133,2587032
2025;5;0;135,3257197
2025;5;1;129,1395387
2025;5;2;125,0800615
2025;5;3;115,9679715
2025;5;4;113,4929856
2025;5;5;113,4930074
2025;5;6;122,6025637
2025;5;7;32,18573137
2025;5;8;36,54322542
2025;5;9;15,98068722
2025;5;10;9,286960302
2025;5;11;8,693995147
2025;5;12;8,689845713
2025;5;13;8,681288978
2025;5;14;8,668453876
2025;5;15;9,22288429
2025;5;16;9,218307432
2025;5;17;46,05370592
2025;5;18;142,9423036
2025;5;19;149,7380962
2025;5;20;151,4649941
2025;5;21;151,4650519
2025;5;22;148,0959016
2025;5;23;139,7753633
2025;6;0;104,3847079
2025;6;1;98,07242268
2025;6;2;92,3313298
2025;6;3;90,94568327
2025;6;4;90,94561635
2025;6;5;90,94673028
2025;6;6;98,36930711
2025;6;7;113,5104733
2025;6;8;37,80282866
2025;6;9;5,265290135
2025;6;10;4,22199762
2025;6;11;4,236132679
2025;6;12;4,240171452
2025;6;13;32,50852936
2025;6;14;32,45913277
2025;6;15;32,37667479
2025;6;16;32,36007926
2025;6;17;39,66076801
2025;6;18;149,5220685
2025;6;19;150,9931571
2025;6;20;150,9917424
2025;6;21;150,8405198
2025;6;22;122,9667735
2025;6;23;119,4108337
2025;7;0;92,69982021
2025;7;1;90,80582938
2025;7;2;89,03651779
2025;7;3;88,64374175
2025;7;4;88,65097426
2025;7;5;88,65192127
2025;7;6;90,81376549
2025;7;7;95,82503406
2025;7;8;54,25142363
2025;7;9;3,031860724
2025;7;10;1,610375772
2025;7;11;9,562017631
2025;7;12;1,609641177
2025;7;13;1,607254795
2025;7;14;1,601765415
2025;7;15;1,60103935
2025;7;16;10,9121244
2025;7;17;55,50514277
2025;7;18;127,353373
2025;7;19;128,3272008
2025;7;20;123,8824655
2025;7;21;123,9112813
2025;7;22;98,45023614
2025;7;23;96,67798919
2025;8;0;78,42342595
2025;8;1;77,55643827
2025;8;2;75,88959412
2025;8;3;75,94501961
2025;8;4;75,94867235
2025;8;5;75,94831211
2025;8;6;77,459701
2025;8;7;26,47294711
2025;8;8;1,17917412
2025;8;9;7,221491333
2025;8;10;6,406367802
2025;8;11;6,412735605
2025;8;12;6,412735605
2025;8;13;6,512934599
2025;8;14;6,512934599
2025;8;15;6,512934599
2025;8;16;6,512934599
2025;8;17;26,37850306
2025;8;18;32,52170101
2025;8;19;87,59142941
2025;8;20;88,27871369
2025;8;21;88,02380432
2025;8;22;86,40353811
2025;8;23;83,84624266
2025;9;0;77,04274423
2025;9;1;75,09583293
2025;9;2;70,14247279
2025;9;3;69,08096401
2025;9;4;69,06123203
2025;9;5;69,06059679
2025;9;6;10,31531716
2025;9;7;9,227862277
2025;9;8;9,227625313
2025;9;9;1,911457726
2025;9;10;2,398766238
2025;9;11;2,403701285
2025;9;12;1,201850643
2025;9;13;1,201233762
2025;9;14;1,200616881
2025;9;15;2,4
2025;9;16;1,2
2025;9;17;7,5
2025;9;18;1,201233762
2025;9;19;80,52330264
2025;9;20;84,35468555
2025;9;21;84,27533573
2025;9;22;80,23336343
2025;9;23;79,93699178
2025;10;0;78,69749321
2025;10;1;77,09345378
2025;10;2;76,89548305
2025;10;3;76,95068682
2025;10;4;76,95015365
2025;10;5;76,9502523
2025;10;6;4,713980707
2025;10;7;1,4731196
2025;10;8;1,081116454
2025;10;9;0,501614314
2025;10;10;0,600895472
2025;10;11;0,600895472
2025;10;12;0,600895472
2025;10;13;0,100099497
2025;10;14;0,1
2025;10;15;0,7
2025;10;16;0,7
2025;10;17;0,7
2025;10;18;0,7
2025;10;19;86,91466639
2025;10;20;97,33955629
2025;10;21;97,29313114
2025;10;22;97,29380938
2025;10;23;85,95565225
2025;11;0;75,36962703
2025;11;1;74,09262221
2025;11;2;71,94123013
2025;11;3;71,93960343
2025;11;4;71,93990645
2025;11;5;71,87188935
2025;11;6;0,585914742
2025;11;7;0,585918245
2025;11;8;0,295942778
2025;11;9;0,300050761
2025;11;10;0
2025;11;11;0
2025;11;12;0
2025;11;13;0
2025;11;14;0
2025;11;15;0
2025;11;16;0
2025;11;17;0
2025;11;18;0
2025;11;19;82,03307756
2025;11;20;110,9546699
2025;11;21;112,0167615
2025;11;22;112,016811
2025;11;23;80,6009326
2025;12;0;80,38053476
2025;12;1;78,09912863
2025;12;2;74,29198774
2025;12;3;74,29161032
2025;12;4;74,29210221
2025;12;5;74,29213033
2025;12;6;3,709746925
2025;12;7;2,245369638
2025;12;8;1,177517096
2025;12;9;1,201382135
2025;12;10;0
2025;12;11;0
2025;12;12;0
2025;12;13;0
2025;12;14;0
2025;12;15;0
2025;12;16;0
2025;12;17;0
2025;12;18;0
2025;12;19;0
2025;12;20;81,74336651
2025;12;21;87,03628495
2025;12;22;87,03657959
2025;12;23;81,43776476
2026;1;0;124,9216445
2026;1;1;116,8035352
2026;1;2;116,7051598
2026;1;3;116,7043703
2026;1;4;116,7043115
2026;1;5;116,7045894
2026;1;6;1,181820566
2026;1;7;1,181820321
2026;1;8;0,394073777
2026;1;9;0,201764545
2026;1;10;0,200895472
2026;1;11;0,200895472
2026;1;12;0,200596981
2026;1;13;0,200397988
2026;1;14;0,200099497
2026;1;15;0,2
2026;1;16;0,200099497
2026;1;17;0,200099497
2026;1;18;0,200099497
2026;1;19;0,2
2026;1;20;130,3585324
2026;1;21;132,2857033
2026;1;22;131,8892222
2026;1;23;131,5918645
2026;2;0;120,3794426
2026;2;1;119,3235624
2026;2;2;115,2897773
2026;2;3;115,2910173
2026;2;4;115,2910568
2026;2;5;115,2917908
2026;2;6;4,918589874
2026;2;7;4,918572885
2026;2;8;3,639720166
2026;2;9;3,446954908
2026;2;10;0,301422103
2026;2;11;0,301321888
2026;2;12;0,301156652
2026;2;13;0,301156652
2026;2;14;0,300495708
2026;2;15;0,3
2026;2;16;0,3
2026;2;17;0,300330472
2026;2;18;0,300330472
2026;2;19;0,299320416
2026;2;20;127,7239762
2026;2;21;128,7148225
2026;2;22;127,5236707
2026;2;23;127,5231458
2026;3;0;143,8332966
2026;3;1;142,7299511
2026;3;2;141,8384426
2026;3;3;141,4416893
2026;3;4;141,4402301
2026;3;5;141,4402324
2026;3;6;142,6297174
2026;3;7;40,86488989
2026;3;8;44,23719515
2026;3;9;10,44103081
2026;3;10;6,96865287
2026;3;11;6,948057009
2026;3;12;6,937759079
2026;3;13;5,228456117
2026;3;14;6,917163218
2026;3;15;6,9
2026;3;16;6,903432644
2026;3;17;6,906865287
2026;3;18;5,20258692
2026;3;19;151,518192
2026;3;20;158,6018782
2026;3;21;158,6017925
2026;3;22;155,9082224
2026;3;23;143,9379518
2026;4;0;106,2574295
2026;4;1;105,64249
2026;4;2;105,7290965
2026;4;3;105,7296262
2026;4;4;105,7288676
2026;4;5;105,7289824
2026;4;6;105,5307688
2026;4;7;52,86448111
2026;4;8;61,19679511
2026;4;9;24,43905932
2026;4;10;8,435429199
2026;4;11;8,461257697
2026;4;12;8,456033828
2026;4;13;8,443086858
2026;4;14;8,425633179
2026;4;15;8,404318166
2026;4;16;9,004626606
2026;4;17;54,94705312
2026;4;18;59,0023963
2026;4;19;106,3284104
2026;4;20;106,3281354
2026;4;21;106,3276858
2026;4;22;106,2274286
2026;4;23;106,2279333
2026;5;0;102,0391591
2026;5;1;102,0043902
2026;5;2;101,4109129
2026;5;3;100,3207132
2026;5;4;99,92532503
2026;5;5;99,92534421
2026;5;6;101,1124536
2026;5;7;44,9609909
2026;5;8;42,78231269
2026;5;9;21,64472826
2026;5;10;12,01248126
2026;5;11;11,62569119
2026;5;12;11,62014252
2026;5;13;14,23327612
2026;5;14;15,5225802
2026;5;15;12,43084404
2026;5;16;12,62507322
2026;5;17;44,84176629
2026;5;18;104,7771135
2026;5;19;105,232057
2026;5;20;106,0948389
2026;5;21;106,0948794
2026;5;22;105,2025736
2026;5;23;103,3208391
2026;6;0;101,2215349
2026;6;1;99,65583212
2026;6;2;97,27941821
2026;6;3;96,8833775
2026;6;4;96,88330621
2026;6;5;96,88449286
2026;6;6;99,8537534
2026;6;7;103,2183293
2026;6;8;43,54252516
2026;6;9;19,84609359
2026;6;10;9,851327781
2026;6;11;9,884309583
2026;6;12;16,65781642
2026;6;13;38,44661986
2026;6;14;38,38820036
2026;6;15;38,2906804
2026;6;16;38,27105349
2026;6;17;43,59656942
2026;6;18;108,6331842
2026;6;19;106,5252771
2026;6;20;106,524279
2026;6;21;106,3188742
2026;6;22;105,3859817
2026;6;23;104,5955938
2026;7;0;96,64030141
2026;7;1;94,83509237
2026;7;2;91,98474685
2026;7;3;91,29715752
2026;7;4;91,30460652
2026;7;5;91,30558188
2026;7;6;94,84338062
2026;7;7;96,90613701
2026;7;8;54,0548605
2026;7;9;1,71805441
2026;7;10;0,503242429
2026;7;11;9,763323265
2026;7;12;0,503012868
2026;7;13;0,502267123
2026;7;14;0,500551692
2026;7;15;0,500324797
2026;7;16;9,710789602
2026;7;17;53,7926429
2026;7;18;100,8509237
2026;7;19;98,01678831
2026;7;20;98,10231781
2026;7;21;98,12513701
2026;7;22;98,94248732
2026;7;23;98,25319064
2026;8;0;85,89232366
2026;8;1;84,71398567
2026;8;2;83,04713982
2026;8;3;83,10779278
2026;8;4;83,11179002
