Hora;G solar
0;-0,020
1;-0,020
2;-0,020
3;-0,020
4;-0,020
5;-0,020
6;-0,020
7;19,894
8;25,317
9;27,912
10;30,229
11;31,358
12;31,817
13;31,683
14;31,401
15;31,042
16;29,803
17;27,672
18;23,582
19;15,586
20;-0,020
21;-0,020
22;-0,020
23;-0,020
0;-0,020
1;-0,020
2;-0,020
3;-0,020
4;-0,020
5;-0,020
6;-0,020
7;1,292
8;3,026
9;5,491
10;11,220
11;31,273
12;31,587
13;31,773
14;31,404
15;31,061
16;29,631
17;27,479
18;23,648
19;15,865
20;-0,020
21;-0,020
22;-0,020
23;-0,020
0;-0,020
1;-0,020
2;-0,020
3;-0,020
4;-0,020
5;-0,020
6;-0,020
7;0,910
8;2,849
9;9,516
10;30,186
11;31,067
12;31,686
13;31,655
14;31,257
15;31,021
16;29,885
17;27,767
18;23,837
19;15,838
20;-0,020
21;-0,020
22;-0,020
23;-0,020
0;-0,020
1;-0,020
2;-0,020
3;-0,020
4;-0,020
5;-0,020
6;-0,020
7;1,279
8;4,495
9;28,311
10;30,165
11;31,285
12;31,664
13;31,913
14;31,752
15;30,938
16;30,044
17;27,880
18;24,026
19;16,066
20;-0,020
21;-0,020
22;-0,020
23;-0,020
0;-0,020
1;-0,020
2;-0,020
3;-0,020
4;-0,020
5;-0,020
6;-0,020
7;0,636
8;2,124
9;5,985
10;14,009
11;21,745
12;24,740
13;26,069
14;22,051
15;18,745
16;14,793
17;8,448
18;3,776
19;16,009
20;-0,020
21;-0,020
22;-0,020
23;-0,020
0;-0,020
1;-0,020
2;-0,020
3;-0,020
4;-0,020
5;-0,020
6;-0,020
7;0,905
8;2,709
9;5,081
10;6,242
11;30,954
12;31,374
13;31,368
14;31,383
15;30,842
16;29,556
17;27,523
18;23,633
19;15,776
20;-0,020
21;-0,020
22;-0,020
23;-0,020
0;-0,020
1;-0,020
2;-0,020
3;-0,020
4;-0,020
5;-0,020
6;-0,020
7;0,886
8;2,552
9;4,576
10;10,928
11;30,924
12;31,399
13;31,536
14;31,469
15;30,789
16;29,782
17;27,677
18;23,684
19;15,791
20;-0,020
21;-0,020
22;-0,020
23;-0,020
0;-0,020
1;-0,020
2;-0,020
3;-0,020
4;-0,020
5;-0,020
6;-0,020
7;19,395
8;25,225
9;28,439
10;30,145
11;31,190
12;31,629
13;31,609
14;31,200
15;30,774
16;29,392
17;27,338
18;23,693
19;15,981
20;-0,020
21;-0,020
22;-0,020
23;-0,020
0;-0,020
1;-0,020
2;-0,020
3;-0,020
4;-0,020
5;-0,020
6;-0,020
7;0,797
8;2,598
9;5,239
10;30,045
11;31,040
12;31,511
13;31,418
14;31,083
15;30,837
16;29,705
17;27,517
18;23,738
19;16,009
20;-0,020
21;-0,020
22;-0,020
23;-0,020
0;-0,020
1;-0,020
2;-0,020
3;-0,020
4;-0,020
5;-0,020
6;-0,020
7;0,959
8;3,103
9;28,482
10;30,163
11;30,885
12;31,608
13;31,914
14;31,686
15;31,204
16;29,978
17;27,701
18;23,913
19;16,138
20;-0,020
21;-0,020
22;-0,020
23;-0,020
0;-0,020
1;-0,020
2;-0,020
3;-0,020
4;-0,020
5;-0,020
6;-0,020
7;0,779
8;2,475
9;4,906
10;29,942
11;31,310
12;31,486
13;31,536
14;31,763
15;31,090
