Hora;G solar
0;-0,016666667
1;-0,016666667
2;-0,016666667
3;-0,016666667
4;-0,016666667
5;-0,016666667
6;-0,016666667
7;16,57834838
8;21,0975183
9;23,25962158
10;25,19116384
11;26,13158676
12;26,51376659
13;26,40278352
14;26,16713805
15;25,86844017
16;24,83541924
17;23,05988801
18;19,6515372
19;12,98832277
20;-0,016666667
21;-0,016666667
22;-0,016666667
23;-0,016666667
0;-0,016666667
1;-0,016666667
2;-0,016666667
3;-0,016666667
4;-0,016666667
5;-0,016666667
6;-0,016666667
7;1,076674372
8;2,521661882
9;4,575580952
10;9,349705414
11;26,0607523
12;26,32270337
13;26,47773233
14;26,17003703
15;25,88421074
16;24,69240387
17;22,89891044
18;19,70648018
19;13,2210038
20;-0,016666667
21;-0,016666667
22;-0,016666667
23;-0,016666667
0;-0,016666667
1;-0,016666667
2;-0,016666667
3;-0,016666667
4;-0,016666667
5;-0,016666667
6;-0,016666667
7;0,758745481
8;2,374490842
9;7,929712176
10;25,15493937
11;25,88942237
12;26,40489432
13;26,3791269
14;26,04723539
15;25,85084126
16;24,90410044
17;23,13895271
18;19,86423825
19;13,19834371
20;-0,016666667
21;-0,016666667
22;-0,016666667
23;-0,016666667
0;-0,016666667
1;-0,016666667
2;-0,016666667
3;-0,016666667
4;-0,016666667
5;-0,016666667
6;-0,016666667
7;1,066123424
8;3,745661748
9;23,59220759
10;25,13783413
11;26,07091534
12;26,38636421
13;26,59410597
14;26,45993064
15;25,78148927
16;25,03663567
17;23,23332306
18;20,02170559
19;13,3881321
20;-0,016666667
21;-0,016666667
22;-0,016666667
23;-0,016666667
0;-0,016666667
1;-0,016666667
2;-0,016666667
3;-0,016666667
4;-0,016666667
5;-0,016666667
6;-0,016666667
7;0,530012921
8;1,770204392
9;4,987894375
10;11,67409745
11;18,12107899
12;20,61652046
13;21,72410263
14;18,37589808
15;15,62105492
16;12,32726871
17;7,040211856
18;3,147027353
19;13,3405441
20;-0,016666667
21;-0,016666667
22;-0,016666667
23;-0,016666667
0;-0,016666667
1;-0,016666667
2;-0,016666667
3;-0,016666667
4;-0,016666667
5;-0,016666667
6;-0,016666667
7;0,754138602
8;2,257271213
9;4,234155576
10;5,20147616
11;25,7948394
12;26,14500712
13;26,14017223
14;26,15256417
15;25,70143212
16;24,63015065
17;22,93546006
18;19,69417092
19;13,14675483
20;-0,016666667
21;-0,016666667
22;-0,016666667
23;-0,016666667
0;-0,016666667
1;-0,016666667
2;-0,016666667
3;-0,016666667
4;-0,016666667
5;-0,016666667
6;-0,016666667
7;0,738100544
8;2,12638559
9;3,813702832
10;9,106720327
11;25,7698313
12;26,16613005
13;26,27967795
14;26,22378858
15;25,6571048
16;24,81825092
17;23,06432901
18;19,73707676
19;13,15884039
20;-0,016666667
21;-0,016666667
22;-0,016666667
23;-0,016666667
0;-0,016666667
1;-0,016666667
2;-0,016666667
3;-0,016666667
4;-0,016666667
5;-0,016666667
6;-0,016666667
7;16,16244388
8;21,02095082
9;23,69915332
10;25,12077572
11;25,99159749
12;26,35754654
13;26,34107554
14;25,9999468
15;25,64461696
16;24,49328339
17;22,78167776
18;19,74457177
19;13,31784034
20;-0,016666667
21;-0,016666667
22;-0,016666667
23;-0,016666667
0;-0,016666667
1;-0,016666667
2;-0,016666667
3;-0,016666667
4;-0,016666667
5;-0,016666667
6;-0,016666667
7;0,664535765
8;2,164714476
9;4,366237768
10;25,0376528
11;25,86688974
12;26,25916599
13;26,1813236
14;25,9021708
15;25,69714597
16;24,75399317
17;22,93120736
18;19,78169539
19;13,34073043
20;-0,016666667
21;-0,016666667
22;-0,016666667
23;-0,016666667
0;-0,016666667
1;-0,016666667
2;-0,016666667
3;-0,016666667
