Año;Mes;Hora;CMg
2025;1;0;137,2091675
2025;1;1;131,546524
2025;1;2;128,0330505
2025;1;3;128,0330505
2025;1;4;128,0330505
2025;1;5;128,0330505
2025;1;6;6,770433903
2025;1;7;6,770433903
2025;1;8;1,345798373
2025;1;9;0,402202964
2025;1;10;0,943477631
2025;1;11;0,943446159
2025;1;12;0,943446159
2025;1;13;0,943446159
2025;1;14;0,943446159
2025;1;15;0,943477631
2025;1;16;0,943477631
2025;1;17;0,943477631
2025;1;18;0,943477631
2025;1;19;0,943477631
2025;1;20;144,907486
2025;1;21;147,2311707
2025;1;22;146,0996857
2025;1;23;146,0996857
2025;2;0;156,2572937
2025;2;1;156,2572937
2025;2;2;148,3881531
2025;2;3;148,3881531
2025;2;4;148,3881531
2025;2;5;148,3881531
2025;2;6;34,74686813
2025;2;7;34,74686813
2025;2;8;12,69372749
2025;2;9;8,588502884
2025;2;10;4,716760159
2025;2;11;4,41083622
2025;2;12;4,41083622
2025;2;13;4,41083622
2025;2;14;4,41083622
2025;2;15;4,41083622
2025;2;16;4,41083622
2025;2;17;4,41083622
2025;2;18;4,716760159
2025;2;19;4,716760159
2025;2;20;162,226593
2025;2;21;163,0152588
2025;2;22;162,226593
2025;2;23;162,226593
2025;3;0;168,598938
2025;3;1;168,3349457
2025;3;2;167,2261047
2025;3;3;167,2261047
2025;3;4;167,2261047
2025;3;5;167,2261047
2025;3;6;168,2293091
2025;3;7;52,92596436
2025;3;8;52,92596436
2025;3;9;38,75432205
2025;3;10;26,50574684
2025;3;11;9,685090065
2025;3;12;9,685090065
2025;3;13;9,685090065
2025;3;14;9,685090065
2025;3;15;9,685090065
2025;3;16;9,685090065
2025;3;17;9,685090065
2025;3;18;26,50574684
2025;3;19;171,5395508
2025;3;20;171,6664734
2025;3;21;171,6664734
2025;3;22;171,6664734
2025;3;23;169,1294403
2025;4;0;144,1067963
2025;4;1;142,6065674
2025;4;2;142,4590149
2025;4;3;142,4590149
2025;4;4;142,4590149
2025;4;5;142,4590149
2025;4;6;143,1230774
2025;4;7;59,0002327
2025;4;8;68,19631195
2025;4;9;27,29417801
2025;4;10;9,786049843
2025;4;11;9,786049843
2025;4;12;9,786049843
2025;4;13;9,786049843
2025;4;14;9,786049843
2025;4;15;9,786049843
2025;4;16;9,739351273
2025;4;17;59,73086929
2025;4;18;59,47401428
2025;4;19;144,6936188
2025;4;20;144,8411713
2025;4;21;144,8411713
2025;4;22;144,5370789
2025;4;23;144,2543793
2025;5;0;147,3067322
2025;5;1;144,0419464
2025;5;2;141,5433807
2025;5;3;135,9216309
2025;5;4;134,3599854
2025;5;5;134,3599854
2025;5;6;139,9817963
2025;5;7;44,98371887
2025;5;8;51,22670364
2025;5;9;37,03743744
2025;5;10;31,69370461
2025;5;11;31,21278954
2025;5;12;31,21278954
2025;5;13;31,21278954
2025;5;14;31,21278954
2025;5;15;31,69370461
2025;5;16;31,69370461
2025;5;17;61,80687332
2025;5;18;149,0206451
2025;5;19;150,2150421
2025;5;20;150,2965698
2025;5;21;150,2965698
2025;5;22;150,1130981
2025;5;23;149,6646271
2025;6;0;109,9867325
2025;6;1;104,8198242
2025;6;2;99,31832886
2025;6;3;97,94293213
2025;6;4;97,94293213
2025;6;5;97,94293213
2025;6;6;105,1636963
2025;6;7;114,2380753
2025;6;8;51,2513237
2025;6;9;61,39469147
2025;6;10;61,3250885
2025;6;11;61,3250885
2025;6;12;61,3250885
2025;6;13;56,92664337
2025;6;14;56,92664337
2025;6;15;56,92664337
2025;6;16;56,92664337
2025;6;17;55,82704163
2025;6;18;131,0465088
2025;6;19;133,0114441
2025;6;20;133,0114441
2025;6;21;133,0114441
2025;6;22;121,2217407
2025;6;23;119,0611267
2025;7;0;102,1547012
2025;7;1;101,2128448
2025;7;2;100,1021194
2025;7;3;99,86829376
2025;7;4;99,86829376
2025;7;5;99,86829376
