Año;2038;;;;;;;;;;;;
;;;;;;;;;;;;;
Promedio de CMg;Etiquetas de columna;;;;;;;;;;;;
Etiquetas de fila;1;2;3;4;5;6;7;8;9;10;11;12;Total general
0;47,33;98,04;116,66;119,67;137,45;146,86;162,90;126,17;98,68;53,22;27,03;23,09;96,43
1;48,18;93,58;116,66;119,59;136,43;146,71;160,80;127,36;95,96;54,46;27,03;23,11;95,82
2;48,18;93,58;116,66;119,59;136,43;146,71;160,80;127,36;95,96;54,46;27,03;23,11;95,82
3;48,18;93,58;116,66;119,59;136,43;146,71;160,80;127,36;95,96;54,46;27,03;23,11;95,82
4;48,18;93,58;116,66;119,59;136,43;146,71;160,80;127,36;95,96;54,46;27,03;23,11;95,82
5;48,18;93,58;116,66;119,59;136,43;146,71;160,80;127,36;95,96;54,46;27,03;23,11;95,82
6;3,27;5,34;116,66;119,59;136,43;146,71;160,80;127,36;51,74;9,38;3,85;2,82;73,66
7;3,27;5,34;76,22;84,84;86,13;147,83;170,05;80,27;49,06;9,38;1,16;2,82;59,70
8;1,15;4,32;76,22;84,84;84,03;89,89;79,41;69,25;49,06;3,42;1,03;0,73;45,28
9;0,65;4,32;32,82;88,36;91,02;86,63;97,16;73,40;25,00;3,42;0,51;0,36;41,97
10;0,55;1,32;30,24;88,36;91,02;90,30;97,16;73,40;25,00;1,16;0,51;0,36;41,62
11;0,55;1,32;30,24;88,36;96,17;90,30;97,16;73,40;25,00;1,16;0,13;0,36;42,01
12;0,55;1,32;30,24;88,36;99,42;90,30;97,16;73,40;25,00;1,16;0,00;0,36;42,27
13;0,55;1,32;40,18;88,36;99,60;90,30;97,16;79,29;24,51;1,16;0,00;0,00;43,54
14;0,55;1,32;40,18;88,36;99,60;90,30;97,16;73,40;24,51;1,62;0,00;0,00;43,08
15;0,55;1,32;30,24;88,36;99,60;90,30;97,16;73,40;25,00;2,32;0,00;0,36;42,38
16;0,55;1,32;30,24;88,36;99,60;90,30;97,16;73,40;25,00;2,32;0,00;0,36;42,38
17;0,55;1,32;30,24;99,89;96,17;91,04;96,17;86,16;48,58;2,32;0,13;0,36;46,08
18;0,55;1,32;30,24;99,89;137,84;148,23;173,83;92,05;48,58;2,32;0,13;0,36;61,28
19;0,63;4,12;116,87;120,08;138,18;148,23;173,83;122,74;99,66;44,54;26,56;0,36;82,98
20;47,18;98,94;116,93;120,15;138,18;148,23;173,83;122,74;99,66;41,65;26,39;23,09;96,41
21;46,98;99,83;116,93;120,15;138,18;148,23;173,83;122,74;99,66;41,65;26,39;23,09;96,47
22;46,98;99,83;116,93;120,15;138,18;148,23;173,83;122,74;99,66;41,65;26,39;23,09;96,47
23;47,06;98,94;116,86;120,08;138,18;148,03;173,83;122,89;99,66;42,89;26,49;23,09;96,50
Total general;20,43;41,62;78,27;104,76;117,80;123,49;137,23;101,04;63,45;24,13;12,58;10,03;69,57
