Año;Mes;Hora;CMg
2025;1;0;89,94
2025;1;1;89,94
2025;1;2;89,94
2025;1;3;89,94
2025;1;4;74,60
2025;1;5;74,60
2025;1;6;74,60
2025;1;7;74,60
2025;1;8;22,19
2025;1;9;22,19
2025;1;10;22,19
2025;1;11;22,19
2025;1;12;18,17
2025;1;13;18,17
2025;1;14;18,17
2025;1;15;18,17
2025;1;16;59,48
2025;1;17;59,48
2025;1;18;59,48
2025;1;19;59,48
2025;1;20;130,20
2025;1;21;130,20
2025;1;22;130,20
2025;1;23;130,20
2025;2;0;89,94
2025;2;1;89,94
2025;2;2;89,94
2025;2;3;89,94
2025;2;4;74,60
2025;2;5;74,60
2025;2;6;74,60
2025;2;7;74,60
2025;2;8;22,19
2025;2;9;22,19
2025;2;10;22,19
2025;2;11;22,19
2025;2;12;18,17
2025;2;13;18,17
2025;2;14;18,17
2025;2;15;18,17
2025;2;16;59,48
2025;2;17;59,48
2025;2;18;59,48
2025;2;19;59,48
2025;2;20;130,20
2025;2;21;130,20
2025;2;22;130,20
2025;2;23;130,20
2025;3;0;89,94
2025;3;1;89,94
2025;3;2;89,94
2025;3;3;89,94
2025;3;4;74,60
2025;3;5;74,60
2025;3;6;74,60
2025;3;7;74,60
2025;3;8;22,19
2025;3;9;22,19
2025;3;10;22,19
2025;3;11;22,19
2025;3;12;18,17
2025;3;13;18,17
2025;3;14;18,17
2025;3;15;18,17
2025;3;16;59,48
2025;3;17;59,48
2025;3;18;59,48
2025;3;19;59,48
2025;3;20;130,20
2025;3;21;130,20
2025;3;22;130,20
2025;3;23;130,20
2025;4;0;89,68
2025;4;1;89,68
2025;4;2;89,68
2025;4;3;89,68
2025;4;4;73,95
2025;4;5;73,95
2025;4;6;73,95
2025;4;7;73,95
2025;4;8;24,75
2025;4;9;24,75
2025;4;10;24,75
2025;4;11;24,75
2025;4;12;20,99
2025;4;13;20,99
2025;4;14;20,99
2025;4;15;20,99
2025;4;16;56,77
2025;4;17;56,77
2025;4;18;56,77
2025;4;19;56,77
2025;4;20;125,66
2025;4;21;125,66
2025;4;22;125,66
2025;4;23;125,66
2025;5;0;89,68
2025;5;1;89,68
2025;5;2;89,68
2025;5;3;89,68
2025;5;4;73,95
2025;5;5;73,95
2025;5;6;73,95
2025;5;7;73,95
2025;5;8;24,75
2025;5;9;24,75
2025;5;10;24,75
2025;5;11;24,75
2025;5;12;20,99
2025;5;13;20,99
2025;5;14;20,99
2025;5;15;20,99
2025;5;16;56,77
2025;5;17;56,77
2025;5;18;56,77
2025;5;19;56,77
2025;5;20;125,66
2025;5;21;125,66
2025;5;22;125,66
2025;5;23;125,66
2025;6;0;89,68
2025;6;1;89,68
2025;6;2;89,68
2025;6;3;89,68
2025;6;4;73,95
2025;6;5;73,95
2025;6;6;73,95
2025;6;7;73,95
2025;6;8;24,75
2025;6;9;24,75
2025;6;10;24,75
2025;6;11;24,75
2025;6;12;20,99
2025;6;13;20,99
2025;6;14;20,99
2025;6;15;20,99
2025;6;16;56,77
2025;6;17;56,77
2025;6;18;56,77
2025;6;19;56,77
2025;6;20;125,66
2025;6;21;125,66
2025;6;22;125,66
2025;6;23;125,66
2025;7;0;89,68
2025;7;1;89,68
2025;7;2;89,68
2025;7;3;89,68
2025;7;4;73,95
2025;7;5;73,95
2025;7;6;73,95
2025;7;7;73,95
2025;7;8;24,75
2025;7;9;24,75
2025;7;10;24,75
2025;7;11;24,75
2025;7;12;20,99
2025;7;13;20,99
2025;7;14;20,99
2025;7;15;20,99
2025;7;16;56,77
2025;7;17;56,77
2025;7;18;56,77
2025;7;19;56,77
2025;7;20;125,66
2025;7;21;125,66
2025;7;22;125,66
2025;7;23;125,66
2025;8;0;89,68
2025;8;1;89,68
2025;8;2;89,68
2025;8;3;89,68
2025;8;4;73,95
2025;8;5;73,95
2025;8;6;73,95
2025;8;7;73,95
2025;8;8;24,75
2025;8;9;24,75
2025;8;10;24,75
2025;8;11;24,75
2025;8;12;20,99
2025;8;13;20,99
2025;8;14;20,99
2025;8;15;20,99
2025;8;16;56,77
2025;8;17;56,77
2025;8;18;56,77
2025;8;19;56,77
2025;8;20;125,66
2025;8;21;125,66
2025;8;22;125,66
2025;8;23;125,66
2025;9;0;89,68
2025;9;1;89,68
2025;9;2;89,68
2025;9;3;89,68
2025;9;4;73,95
2025;9;5;73,95
2025;9;6;73,95
2025;9;7;73,95
2025;9;8;24,75
2025;9;9;24,75
2025;9;10;24,75
2025;9;11;24,75
2025;9;12;20,99
2025;9;13;20,99
2025;9;14;20,99
2025;9;15;20,99
2025;9;16;56,77
2025;9;17;56,77
2025;9;18;56,77
2025;9;19;56,77
2025;9;20;125,66
2025;9;21;125,66
2025;9;22;125,66
2025;9;23;125,66
2025;10;0;94,32
2025;10;1;94,32
