Hora;G solar
0;-0,012534843
1;-0,012534843
2;-0,012534843
3;-0,012534843
4;-0,012534843
5;-0,012534843
6;-0,012534843
7;1,278219725
8;6,534079403
9;9,043471409
10;9,719517276
11;9,889991141
12;9,925088701
13;9,96937848
14;9,95851495
15;9,884141548
16;9,637622968
17;9,244864554
18;8,434278039
19;5,690651599
20;0,627444102
21;-0,012534843
22;-0,012534843
23;-0,012534843
0;-0,012534843
1;-0,012534843
2;-0,012534843
3;-0,012534843
4;-0,012534843
5;-0,012534843
6;-0,012534843
7;1,23710544
8;6,430040206
9;9,07856897
10;9,712832026
11;9,884141548
12;9,940130513
13;9,960186262
14;9,925924358
15;9,863250143
16;9,75377918
17;9,278290802
18;8,426757133
19;5,674774131
20;0,638491477
21;-0,012534843
22;-0,012534843
23;-0,012534843
0;-0,012534843
1;-0,012534843
2;-0,012534843
3;-0,012534843
4;-0,012534843
5;-0,012534843
6;-0,012534843
7;1,156882445
8;6,356920288
9;8,999181631
10;9,668542248
11;9,854893581
12;9,89249811
13;9,908375577
14;9,890826797
15;9,833166519
16;9,730380807
17;9,229822742
18;8,36575423
19;5,570484237
20;0,598196135
21;-0,012534843
22;-0,012534843
23;-0,012534843
0;-0,012534843
1;-0,012534843
2;-0,012534843
3;-0,012534843
4;-0,012534843
5;-0,012534843
6;-0,012534843
7;1,100726348
8;6,309622147
9;9,000017287
10;9,643472562
11;9,797233303
12;9,816453395
13;9,871606705
14;9,854057924
15;9,77132796
16;9,623416813
17;9,148764091
18;8,328901792
19;5,594133308
20;0,616572215
21;-0,012534843
22;-0,012534843
23;-0,012534843
0;-0,012534843
1;-0,012534843
2;-0,012534843
3;-0,012534843
4;-0,012534843
5;-0,012534843
6;-0,012534843
7;1,022258231
8;5,96708667
9;8,75517002
10;9,544029474
11;9,761300086
12;9,853222268
13;9,859907518
14;9,855729237
15;9,803082896
16;9,569934816
17;9,106981281
18;8,1312691
19;5,323631395
20;0,611157163
21;-0,012534843
22;-0,012534843
23;-0,012534843
0;-0,012534843
1;-0,012534843
2;-0,012534843
3;-0,012534843
4;-0,012534843
5;-0,012534843
6;-0,012534843
7;0,880113111
8;4,71986979
9;7,240376024
10;8,203135533
11;9,025086973
12;9,411160138
13;9,57996269
14;9,582469659
15;9,507260601
16;9,170491152
17;8,355726356
18;6,553299495
19;3,86415784
20;0,452098361
21;-0,012534843
22;-0,012534843
23;-0,012534843
0;-0,012534843
1;-0,012534843
2;-0,012534843
3;-0,012534843
4;-0,012534843
5;-0,012534843
6;-0,012534843
7;0,837076817
8;5,140789818
9;7,894277001
10;9,028429598
11;9,505589288
12;9,600018439
13;9,623416813
14;9,491383133
15;9,281633427
16;8,8872037
17;8,278595288
18;7,188398208
19;4,414353883
20;0,490638825
21;-0,012534843
22;-0,012534843
23;-0,012534843
0;-0,012534843
1;-0,012534843
2;-0,012534843
3;-0,012534843
4;-0,012534843
5;-0,012534843
6;-0,012534843
7;0,958831925
8;6,139148282
9;8,939014384
10;9,615895907
11;9,875784986
12;9,813110771
13;9,857400549
14;9,852386612
15;9,778848866
16;9,643472562
17;9,153778028
18;8,330823801
19;5,601654213
20;0,640689253
21;-0,012534843
22;-0,012534843
23;-0,012534843
0;-0,012534843
1;-0,012534843
2;-0,012534843
3;-0,012534843
4;-0,012534843
5;-0,012534843
6;-0,012534843
7;0,65744416
8;4,954271354
9;8,808652017
10;9,505589288
11;9,79556199
12;9,814782083
13;9,914225171
14;9,899183359
15;9,82648127
16;9,722859901
17;9,269098584
18;8,441798944
19;5,676111181
20;0,648544421
21;-0,012534843
22;-0,012534843
23;-0,012534843
0;-0,012534843
1;-0,012534843
2;-0,012534843
3;-0,012534843
4;-0,012534843
5;-0,012534843
6;-0,012534843
7;0,828636689
8;5,819676916
9;8,910602073
10;9,640965593
11;9,848208331
12;9,889155485
13;9,923417389
14;9,908375577
15;9,852386612
16;9,733723431
17;9,268262927
18;8,446812882
19;5,672350728
20;0,654109891
