Hora;G solar;;Fact;1,204081633
0;-0,013695476;;;
1;-0,013695476;;;
2;-0,013695476;;;
3;-0,013695476;;;
4;-0,013695476;;;
5;-0,013695476;;;
6;-0,013695476;;;
7;1,396573404;;;
8;7,139086755;;;
9;9,880829873;;;
10;10,61947258;;;
11;10,80573106;;;
12;10,84407839;;;
13;10,89246908;;;
14;10,88059967;;;
15;10,79933984;;;
16;10,52999547;;;
17;10,10087053;;;
18;9,21522971;;;
19;6,217563784;;;
20;0,685540778;;;
21;-0,013695476;;;
22;-0,013695476;;;
23;-0,013695476;;;
0;-0,013695476;;;
1;-0,013695476;;;
2;-0,013695476;;;
3;-0,013695476;;;
4;-0,013695476;;;
5;-0,013695476;;;
6;-0,013695476;;;
7;1,35165224;;;
8;7,025414299;;;
9;9,919177208;;;
10;10,61216832;;;
11;10,79933984;;;
12;10,86051297;;;
13;10,88242573;;;
14;10,84499143;;;
15;10,77651405;;;
16;10,65690688;;;
17;10,1373918;;;
18;9,207012423;;;
19;6,20021618;;;
20;0,697611058;;;
21;-0,013695476;;;
22;-0,013695476;;;
23;-0,013695476;;;
0;-0,013695476;;;
1;-0,013695476;;;
2;-0,013695476;;;
3;-0,013695476;;;
4;-0,013695476;;;
5;-0,013695476;;;
6;-0,013695476;;;
7;1,26400119;;;
8;6,945524019;;;
9;9,83243919;;;
10;10,56377764;;;
11;10,76738373;;;
12;10,80847016;;;
13;10,82581776;;;
14;10,80664409;;;
15;10,7436449;;;
16;10,63134199;;;
17;10,08443596;;;
18;9,140361103;;;
19;6,086269815;;;
20;0,653584666;;;
21;-0,013695476;;;
22;-0,013695476;;;
23;-0,013695476;;;
0;-0,013695476;;;
1;-0,013695476;;;
2;-0,013695476;;;
3;-0,013695476;;;
4;-0,013695476;;;
5;-0,013695476;;;
6;-0,013695476;;;
7;1,202645455;;;
8;6,89384642;;;
9;9,833352221;;;
10;10,53638669;;;
11;10,70438453;;;
12;10,72538426;;;
13;10,78564436;;;
14;10,76647069;;;
15;10,67608055;;;
16;10,51447393;;;
17;9,995871877;;;
18;9,100096403;;;
19;6,112108615;;;
20;0,673662235;;;
21;-0,013695476;;;
22;-0,013695476;;;
23;-0,013695476;;;
0;-0,013695476;;;
1;-0,013695476;;;
2;-0,013695476;;;
3;-0,013695476;;;
4;-0,013695476;;;
5;-0,013695476;;;
6;-0,013695476;;;
7;1,116911771;;;
8;6,519594695;;;
9;9,56583391;;;
10;10,42773591;;;
11;10,66512417;;;
12;10,76555766;;;
13;10,77286192;;;
14;10,76829676;;;
15;10,71077576;;;
16;10,45603989;;;
17;9,950220289;;;
18;8,884164387;;;
19;5,816560228;;;
20;0,667745789;;;
21;-0,013695476;;;
22;-0,013695476;;;
23;-0,013695476;;;
0;-0,013695476;;;
1;-0,013695476;;;
2;-0,013695476;;;
3;-0,013695476;;;
4;-0,013695476;;;
5;-0,013695476;;;
6;-0,013695476;;;
7;0,961605065;;;
8;5,15689477;;;
9;7,910781212;;;
10;8,96268512;;;
11;9,860743174;;;
12;10,28256386;;;
13;10,46699627;;;
14;10,46973537;;;
15;10,38756251;;;
16;10,0196107;;;
17;9,129404723;;;
18;7,160086486;;;
19;4,221950232;;;
20;0,493959321;;;
21;-0,013695476;;;
