Hora;G solar
0;-0,039461543
1;-0,039461543
2;-0,039461543
3;-0,039461543
4;-0,039461543
5;-0,039461543
6;-0,039461543
7;4,02402506
8;20,57024997
9;28,47018777
10;30,59848031
11;31,1351573
12;31,24564961
13;31,3850804
14;31,3508804
15;31,11674191
16;30,3406649
17;29,10420323
18;26,55235679
19;17,9150143
20;1,975286988
21;-0,039461543
22;-0,039461543
23;-0,039461543
0;-0,039461543
1;-0,039461543
2;-0,039461543
3;-0,039461543
4;-0,039461543
5;-0,039461543
6;-0,039461543
7;3,8945912
8;20,24271916
9;28,58068009
10;30,57743416
11;31,11674191
12;31,29300346
13;31,35614194
14;31,24828039
15;31,05097267
16;30,70634186
17;29,20943401
18;26,52867986
19;17,86502967
20;2,010065761
21;-0,039461543
22;-0,039461543
23;-0,039461543
0;-0,039461543
1;-0,039461543
2;-0,039461543
3;-0,039461543
4;-0,039461543
5;-0,039461543
6;-0,039461543
7;3,642037327
8;20,01252683
9;28,33075699
10;30,43800337
11;31,02466498
12;31,14304961
13;31,19303422
14;31,13778807
15;30,95626497
16;30,63268032
17;29,05684938
18;26,33663368
19;17,53670964
20;1,883210055
21;-0,039461543
22;-0,039461543
23;-0,039461543
0;-0,039461543
1;-0,039461543
2;-0,039461543
3;-0,039461543
4;-0,039461543
5;-0,039461543
6;-0,039461543
7;3,465249614
8;19,86362527
9;28,33338775
10;30,35908029
11;30,84314188
12;30,90364958
13;31,07728037
14;31,0220342
15;30,76158802
16;30,29594182
17;28,80166473
18;26,22061675
19;17,61116042
20;1,941060677
21;-0,039461543
22;-0,039461543
23;-0,039461543
0;-0,039461543
1;-0,039461543
2;-0,039461543
3;-0,039461543
4;-0,039461543
5;-0,039461543
6;-0,039461543
7;3,218220357
8;18,78527286
9;27,56257228
10;30,04601871
11;30,73001879
12;31,01940344
13;31,04044959
14;31,02729574
15;30,86155726
16;30,12757257
17;28,67012626
18;25,59843976
19;16,75958031
20;1,924013291
21;-0,039461543
22;-0,039461543
23;-0,039461543
0;-0,039461543
1;-0,039461543
2;-0,039461543
3;-0,039461543
4;-0,039461543
5;-0,039461543
6;-0,039461543
7;2,770726461
8;14,85884934
9;22,79377637
10;25,82468594
11;28,41231084
12;29,62772636
13;30,1591418
14;30,16703411
15;29,93026486
16;28,87006474
17;26,30506446
18;20,63075767
19;12,16494135
20;1,423272618
21;-0,039461543
22;-0,039461543
23;-0,039461543
0;-0,039461543
1;-0,039461543
2;-0,039461543
3;-0,039461543
4;-0,039461543
5;-0,039461543
6;-0,039461543
7;2,635241832
8;16,18396795
9;24,85235352
10;28,42283392
11;29,92500332
12;30,22228027
13;30,29594182
14;29,88028023
15;29,21995708
16;27,97823387
17;26,06224442
18;22,63014251
19;13,89704
20;1,544603709
21;-0,039461543
22;-0,039461543
23;-0,039461543
0;-0,039461543
1;-0,039461543
2;-0,039461543
3;-0,039461543
4;-0,039461543
5;-0,039461543
6;-0,039461543
7;3,018544949
8;19,3269483
9;28,14134158
10;30,27226489
11;31,09043422
12;30,8931265
13;31,03255728
14;31,01677267
15;30,78526495
16;30,35908029
17;28,81744935
18;26,22666752
19;17,63483734
20;2,016984685
21;-0,039461543
22;-0,039461543
23;-0,039461543
0;-0,039461543
1;-0,039461543
2;-0,039461543
3;-0,039461543
4;-0,039461543
5;-0,039461543
6;-0,039461543
7;2,069731615
8;15,59678019
9;27,73094154
10;29,92500332
11;30,83788034
12;30,89838804
13;31,21144961
14;31,16409576
15;30,93521882
16;30,6090034
17;29,18049554
18;26,57603371
19;17,8692389
20;2,041713918
21;-0,039461543
22;-0,039461543
23;-0,039461543
0;-0,039461543
1;-0,039461543
2;-0,039461543
3;-0,039461543
4;-0,039461543
5;-0,039461543
6;-0,039461543
7;2,608671058
8;18,3212051
9;28,05189542
10;30,35118798
11;31,00361882
12;31,13252652
13;31,24038807
14;31,19303422
15;31,01677267
16;30,6432034
17;29,17786477
18;26,59181833
19;17,85740044
20;2,059234842
21;-0,039461543
22;-0,039461543
23;-0,039461543
0;-0,039461543
1;-0,039461543
2;-0,039461543
3;-0,039461543
4;-0,039461543
5;-0,039461543
6;-0,039461543
7;2,633400291
8;19,6784191
9;28,48071085
10;30,64583416
11;31,15357268
12;31,20618807
13;31,22723423
14;31,18514192
15;31,00098805
16;30,37223413
17;29,24626478
18;26,80227989
19;18,2015051
20;2,127056081
21;-0,039461543
22;-0,039461543
23;-0,039461543
0;-0,039461543
1;-0,039461543
2;-0,039461543
3;-0,039461543
4;-0,039461543
5;-0,039461543
6;-0,039461543
7;2,431173038
8;18,35803588
9;27,45207997
10;29,62772636
11;30,50377261
12;30,48009568
13;30,53271107
14;30,50903415
15;30,39854183
16;29,77504945
17;28,47808008
18;25,647109
19;17,05028035
20;2,024140379
21;-0,039461543
22;-0,039461543
23;-0,039461543
0;-0,039461543
1;-0,039461543
2;-0,039461543
3;-0,039461543
4;-0,039461543
5;-0,039461543
6;-0,039461543
7;2,265276712
8;17,72007428
9;27,06798761
10;29,72506483
11;30,58795723
12;30,75632649
13;30,79315726
14;30,76948034
15;30,6510957
16;29,99866486
17;28,53069547
18;25,51872745
19;16,62777877
20;1,869503745
21;-0,039461543
22;-0,039461543
23;-0,039461543
0;-0,039461543
1;-0,039461543
2;-0,039461543
3;-0,039461543
4;-0,039461543
5;-0,039461543
6;-0,039461543
7;2,109614081
8;16,22342949
9;26,66547988
10;29,58563405
11;30,59584955
12;30,89838804
13;30,98783421
14;30,98520343
15;30,76421879
