Hora;G solar;;Fact;0,907407407
0;-0,011374209;;;
1;-0,011374209;;;
2;-0,011374209;;;
3;-0,011374209;;;
4;-0,011374209;;;
5;-0,011374209;;;
6;-0,011374209;;;
7;1,159866047;;;
8;5,929072051;;;
9;8,206112945;;;
10;8,819561973;;;
11;8,974251221;;;
12;9,006099006;;;
13;9,04628788;;;
14;9,036430232;;;
15;8,968943257;;;
16;8,745250471;;;
17;8,388858577;;;
18;7,653326369;;;
19;5,163739414;;;
20;0,569347426;;;
21;-0,011374209;;;
22;-0,011374209;;;
23;-0,011374209;;;
0;-0,011374209;;;
1;-0,011374209;;;
2;-0,011374209;;;
3;-0,011374209;;;
4;-0,011374209;;;
5;-0,011374209;;;
6;-0,011374209;;;
7;1,12255864;;;
8;5,834666113;;;
9;8,237960732;;;
10;8,813495727;;;
11;8,968943257;;;
12;9,019748058;;;
13;9,037946793;;;
14;9,006857288;;;
15;8,949986241;;;
16;8,850651478;;;
17;8,419189802;;;
18;7,646501843;;;
19;5,149332082;;;
20;0,579371896;;;
21;-0,011374209;;;
22;-0,011374209;;;
23;-0,011374209;;;
0;-0,011374209;;;
1;-0,011374209;;;
2;-0,011374209;;;
3;-0,011374209;;;
4;-0,011374209;;;
5;-0,011374209;;;
6;-0,011374209;;;
7;1,0497637;;;
8;5,768316558;;;
9;8,165924073;;;
10;8,773306855;;;
11;8,942403435;;;
12;8,976526063;;;
13;8,990933394;;;
14;8,975009501;;;
15;8,922688138;;;
16;8,829419621;;;
17;8,375209525;;;
18;7,591147357;;;
19;5,05469866;;;
20;0,542807604;;;
21;-0,011374209;;;
22;-0,011374209;;;
23;-0,011374209;;;
0;-0,011374209;;;
1;-0,011374209;;;
2;-0,011374209;;;
3;-0,011374209;;;
4;-0,011374209;;;
5;-0,011374209;;;
6;-0,011374209;;;
7;0,998807242;;;
8;5,725397874;;;
9;8,166682353;;;
10;8,750558436;;;
11;8,890082071;;;
12;8,907522525;;;
13;8,957569047;;;
14;8,941645153;;;
15;8,866575371;;;
16;8,732359701;;;
17;8,301656305;;;
18;7,557707182;;;
19;5,076158002;;;
20;0,559482195;;;
21;-0,011374209;;;
22;-0,011374209;;;
23;-0,011374209;;;
0;-0,011374209;;;
1;-0,011374209;;;
2;-0,011374209;;;
3;-0,011374209;;;
4;-0,011374209;;;
5;-0,011374209;;;
6;-0,011374209;;;
7;0,927604691;;;
8;5,414578645;;;
9;7,944506129;;;
10;8,660323041;;;
11;8,857476004;;;
12;8,940886873;;;
13;8,946953118;;;
14;8,943161715;;;
15;8,895390035;;;
16;8,68382974;;;
17;8,263742274;;;
18;7,378373813;;;
19;4,830702562;;;
20;0,554568537;;;
21;-0,011374209;;;
22;-0,011374209;;;
23;-0,011374209;;;
0;-0,011374209;;;
1;-0,011374209;;;
2;-0,011374209;;;
3;-0,011374209;;;
4;-0,011374209;;;
5;-0,011374209;;;
6;-0,011374209;;;
7;0,798621156;;;
8;4,282844809;;;
9;6,569970837;;;
10;7,443585947;;;
11;8,189430772;;;
12;8,539756422;;;
13;8,692929108;;;
14;8,69520395;;;
15;8,626958694;;;
16;8,321371601;;;
17;7,58204799;;;
18;5,946512505;;;
19;3,506365447;;;
20;0,410237402;;;
21;-0,011374209;;;
22;-0,011374209;;;
23;-0,011374209;;;
0;-0,011374209;;;
1;-0,011374209;;;
2;-0,011374209;;;
3;-0,011374209;;;
4;-0,011374209;;;
5;-0,011374209;;;
6;-0,011374209;;;
7;0,759569704;;;
8;4,664790761;;;
9;7,163325427;;;
10;8,192463894;;;
11;8,625442132;;;
12;8,711127843;;;
13;8,732359701;;;
14;8,612551361;;;
15;8,422222925;;;
16;8,064314469;;;
17;7,512058687;;;
18;6,522805781;;;
19;4,005617412;;;
20;0,445209304;;;
21;-0,011374209;;;
22;-0,011374209;;;
23;-0,011374209;;;
0;-0,011374209;;;
1;-0,011374209;;;
2;-0,011374209;;;
3;-0,011374209;;;
4;-0,011374209;;;
5;-0,011374209;;;
6;-0,011374209;;;
7;0,870051191;;;
8;5,570708626;;;
9;8,111327867;;;
10;8,725535175;;;
11;8,96136045;;;
12;8,904489403;;;
13;8,944678276;;;
14;8,940128592;;;
15;8,873399897;;;
16;8,750558436;;;
17;8,306205988;;;
18;7,559451227;;;
19;5,082982527;;;
20;0,581366174;;;
21;-0,011374209;;;
22;-0,011374209;;;
23;-0,011374209;;;
0;-0,011374209;;;
1;-0,011374209;;;
2;-0,011374209;;;
3;-0,011374209;;;
4;-0,011374209;;;
5;-0,011374209;;;
6;-0,011374209;;;
7;0,596569701;;;
8;4,495542525;;;
9;7,99303609;;;
10;8,625442132;;;
11;8,888565509;;;
12;8,906005964;;;
13;8,996241359;;;
14;8,982592307;;;
15;8,916621893;;;
16;8,822595095;;;
17;8,410848715;;;
18;7,660150894;;;
19;5,150545331;;;
20;0,588494012;;;
21;-0,011374209;;;
22;-0,011374209;;;
23;-0,011374209;;;
0;-0,011374209;;;
1;-0,011374209;;;
2;-0,011374209;;;
3;-0,011374209;;;
4;-0,011374209;;;
5;-0,011374209;;;
6;-0,011374209;;;
7;0,75191107;;;
8;5,280817942;;;
9;8,085546326;;;
10;8,748283594;;;
11;8,936337189;;;
12;8,97349294;;;
13;9,004582446;;;
14;8,990933394;;;
15;8,940128592;;;
16;8,832452743;;;
17;8,410090434;;;
18;7,664700578;;;
19;5,147133068;;;
20;0,59354416;;;
21;-0,011374209;;;
22;-0,011374209;;;
23;-0,011374209;;;
0;-0,011374209;;;
1;-0,011374209;;;
2;-0,011374209;;;
3;-0,011374209;;;
4;-0,011374209;;;
5;-0,011374209;;;
6;-0,011374209;;;
7;0,759038907;;;
8;5,672014918;;;
9;8,209146068;;;
10;8,833211024;;;
11;8,979559185;;;
12;8,994724797;;;
13;9,000791042;;;
14;8,988658553;;;
15;8,935578909;;;
16;8,754349839;;;
17;8,429805731;;;
18;7,725363028;;;
19;5,246316174;;;
20;0,613092635;;;
21;-0,011374209;;;
22;-0,011374209;;;
23;-0,011374209;;;
0;-0,011374209;;;
1;-0,011374209;;;
2;-0,011374209;;;
3;-0,011374209;;;
4;-0,011374209;;;
5;-0,011374209;;;
6;-0,011374209;;;
7;0,700749876;;;
8;5,291433871;;;
9;7,912658342;;;
10;8,539756422;;;
11;8,79226387;;;
12;8,785439345;;;
13;8,800604957;;;
14;8,793780431;;;
15;8,761932645;;;
16;8,582220136;;;
17;8,208387787;;;
18;7,392402005;;;
19;4,914492572;;;
20;0,583428697;;;
