Año;Mes;Hora;CMg
2025;1;0;80,59020355
2025;1;1;80,59020355
2025;1;2;80,59020355
2025;1;3;80,59020355
2025;1;4;73,68665937
2025;1;5;73,68665937
2025;1;6;73,68665937
2025;1;7;73,68665937
2025;1;8;37,88050151
2025;1;9;37,88050151
2025;1;10;37,88050151
2025;1;11;37,88050151
2025;1;12;33,13571304
2025;1;13;33,13571304
2025;1;14;33,13571304
2025;1;15;33,13571304
2025;1;16;54,3484458
2025;1;17;54,3484458
2025;1;18;54,3484458
2025;1;19;54,3484458
2025;1;20;101,5687831
2025;1;21;101,5687831
2025;1;22;101,5687831
2025;1;23;101,5687831
2025;2;0;80,59020355
2025;2;1;80,59020355
2025;2;2;80,59020355
2025;2;3;80,59020355
2025;2;4;73,68665937
2025;2;5;73,68665937
2025;2;6;73,68665937
2025;2;7;73,68665937
2025;2;8;37,88050151
2025;2;9;37,88050151
2025;2;10;37,88050151
2025;2;11;37,88050151
2025;2;12;33,13571304
2025;2;13;33,13571304
2025;2;14;33,13571304
2025;2;15;33,13571304
2025;2;16;54,3484458
2025;2;17;54,3484458
2025;2;18;54,3484458
2025;2;19;54,3484458
2025;2;20;101,5687831
2025;2;21;101,5687831
2025;2;22;101,5687831
2025;2;23;101,5687831
2025;3;0;80,59020355
2025;3;1;80,59020355
2025;3;2;80,59020355
2025;3;3;80,59020355
2025;3;4;73,68665937
2025;3;5;73,68665937
2025;3;6;73,68665937
2025;3;7;73,68665937
2025;3;8;37,88050151
2025;3;9;37,88050151
2025;3;10;37,88050151
2025;3;11;37,88050151
2025;3;12;33,13571304
2025;3;13;33,13571304
2025;3;14;33,13571304
2025;3;15;33,13571304
2025;3;16;54,3484458
2025;3;17;54,3484458
2025;3;18;54,3484458
2025;3;19;54,3484458
2025;3;20;101,5687831
2025;3;21;101,5687831
2025;3;22;101,5687831
2025;3;23;101,5687831
2025;4;0;86,57590964
2025;4;1;86,57590964
2025;4;2;86,57590964
2025;4;3;86,57590964
2025;4;4;77,94428827
2025;4;5;77,94428827
2025;4;6;77,94428827
2025;4;7;77,94428827
2025;4;8;41,47114436
2025;4;9;41,47114436
2025;4;10;41,47114436
2025;4;11;41,47114436
2025;4;12;37,01429941
2025;4;13;37,01429941
2025;4;14;37,01429941
2025;4;15;37,01429941
2025;4;16;58,00071768
2025;4;17;58,00071768
2025;4;18;58,00071768
2025;4;19;58,00071768
2025;4;20;105,0425692
2025;4;21;105,0425692
2025;4;22;105,0425692
2025;4;23;105,0425692
2025;5;0;86,57590964
2025;5;1;86,57590964
2025;5;2;86,57590964
2025;5;3;86,57590964
2025;5;4;77,94428827
2025;5;5;77,94428827
2025;5;6;77,94428827
2025;5;7;77,94428827
2025;5;8;41,47114436
2025;5;9;41,47114436
2025;5;10;41,47114436
2025;5;11;41,47114436
2025;5;12;37,01429941
2025;5;13;37,01429941
2025;5;14;37,01429941
2025;5;15;37,01429941
2025;5;16;58,00071768
2025;5;17;58,00071768
2025;5;18;58,00071768
2025;5;19;58,00071768
2025;5;20;105,0425692
2025;5;21;105,0425692
2025;5;22;105,0425692
2025;5;23;105,0425692
2025;6;0;86,57590964
2025;6;1;86,57590964
2025;6;2;86,57590964
2025;6;3;86,57590964
2025;6;4;77,94428827
2025;6;5;77,94428827
2025;6;6;77,94428827
2025;6;7;77,94428827
2025;6;8;41,47114436
2025;6;9;41,47114436
2025;6;10;41,47114436
2025;6;11;41,47114436
2025;6;12;37,01429941
2025;6;13;37,01429941
2025;6;14;37,01429941
2025;6;15;37,01429941
2025;6;16;58,00071768
2025;6;17;58,00071768
2025;6;18;58,00071768
2025;6;19;58,00071768
2025;6;20;105,0425692
2025;6;21;105,0425692
2025;6;22;105,0425692
2025;6;23;105,0425692
2025;7;0;86,57590964
2025;7;1;86,57590964
2025;7;2;86,57590964
2025;7;3;86,57590964
2025;7;4;77,94428827
2025;7;5;77,94428827
2025;7;6;77,94428827
2025;7;7;77,94428827
2025;7;8;41,47114436
2025;7;9;41,47114436
2025;7;10;41,47114436
2025;7;11;41,47114436
2025;7;12;37,01429941
2025;7;13;37,01429941
2025;7;14;37,01429941
2025;7;15;37,01429941
2025;7;16;58,00071768
2025;7;17;58,00071768
2025;7;18;58,00071768
2025;7;19;58,00071768
2025;7;20;105,0425692
2025;7;21;105,0425692
2025;7;22;105,0425692
2025;7;23;105,0425692
2025;8;0;86,57590964
2025;8;1;86,57590964
2025;8;2;86,57590964
2025;8;3;86,57590964
2025;8;4;77,94428827
2025;8;5;77,94428827
2025;8;6;77,94428827
2025;8;7;77,94428827
2025;8;8;41,47114436
2025;8;9;41,47114436
2025;8;10;41,47114436
2025;8;11;41,47114436
2025;8;12;37,01429941
2025;8;13;37,01429941
2025;8;14;37,01429941
2025;8;15;37,01429941
2025;8;16;58,00071768
2025;8;17;58,00071768
2025;8;18;58,00071768
2025;8;19;58,00071768
2025;8;20;105,0425692
2025;8;21;105,0425692
2025;8;22;105,0425692
2025;8;23;105,0425692
2025;9;0;86,57590964
2025;9;1;86,57590964
2025;9;2;86,57590964
2025;9;3;86,57590964
2025;9;4;77,94428827
2025;9;5;77,94428827
2025;9;6;77,94428827
2025;9;7;77,94428827
2025;9;8;41,47114436
2025;9;9;41,47114436
2025;9;10;41,47114436
2025;9;11;41,47114436
2025;9;12;37,01429941
2025;9;13;37,01429941
2025;9;14;37,01429941
2025;9;15;37,01429941
2025;9;16;58,00071768
2025;9;17;58,00071768
2025;9;18;58,00071768
2025;9;19;58,00071768
2025;9;20;105,0425692
2025;9;21;105,0425692
2025;9;22;105,0425692
2025;9;23;105,0425692
2025;10;0;89,78600045
2025;10;1;89,78600045
2025;10;2;89,78600045
2025;10;3;89,78600045
2025;10;4;80,27882492
2025;10;5;80,27882492
2025;10;6;80,27882492
2025;10;7;80,27882492
2025;10;8;43,64075399
2025;10;9;43,64075399
2025;10;10;43,64075399
2025;10;11;43,64075399
2025;10;12;39,46589207
2025;10;13;39,46589207
2025;10;14;39,46589207
2025;10;15;39,46589207
2025;10;16;58,86271507
2025;10;17;58,86271507
2025;10;18;58,86271507
2025;10;19;58,86271507
2025;10;20;106,2422796
2025;10;21;106,2422796
2025;10;22;106,2422796
2025;10;23;106,2422796
2025;11;0;89,78600045
2025;11;1;89,78600045
2025;11;2;89,78600045
2025;11;3;89,78600045
2025;11;4;80,27882492
2025;11;5;80,27882492
2025;11;6;80,27882492
2025;11;7;80,27882492
2025;11;8;43,64075399
2025;11;9;43,64075399
2025;11;10;43,64075399
2025;11;11;43,64075399
2025;11;12;39,46589207
2025;11;13;39,46589207
2025;11;14;39,46589207
2025;11;15;39,46589207
2025;11;16;58,86271507
2025;11;17;58,86271507
2025;11;18;58,86271507
2025;11;19;58,86271507
2025;11;20;106,2422796
2025;11;21;106,2422796
2025;11;22;106,2422796
2025;11;23;106,2422796
2025;12;0;89,78600045
2025;12;1;89,78600045
2025;12;2;89,78600045
2025;12;3;89,78600045
2025;12;4;80,27882492
2025;12;5;80,27882492
2025;12;6;80,27882492
2025;12;7;80,27882492
2025;12;8;43,64075399
2025;12;9;43,64075399
2025;12;10;43,64075399
2025;12;11;43,64075399
2025;12;12;39,46589207
2025;12;13;39,46589207
2025;12;14;39,46589207
2025;12;15;39,46589207
2025;12;16;58,86271507
2025;12;17;58,86271507
2025;12;18;58,86271507
2025;12;19;58,86271507
2025;12;20;106,2422796
2025;12;21;106,2422796
2025;12;22;106,2422796
2025;12;23;106,2422796
2026;1;0;89,78600045
2026;1;1;89,78600045
2026;1;2;89,78600045
2026;1;3;89,78600045
2026;1;4;80,27882492
2026;1;5;80,27882492
2026;1;6;80,27882492
2026;1;7;80,27882492
2026;1;8;43,64075399
2026;1;9;43,64075399
2026;1;10;43,64075399
2026;1;11;43,64075399
2026;1;12;39,46589207
2026;1;13;39,46589207
2026;1;14;39,46589207
2026;1;15;39,46589207
2026;1;16;58,86271507
2026;1;17;58,86271507
2026;1;18;58,86271507
2026;1;19;58,86271507
2026;1;20;106,2422796
2026;1;21;106,2422796
2026;1;22;106,2422796
2026;1;23;106,2422796
2026;2;0;89,78600045
2026;2;1;89,78600045
2026;2;2;89,78600045
2026;2;3;89,78600045
2026;2;4;80,27882492
2026;2;5;80,27882492
