Hora;G solar;;;1
0;-0,01;;;
1;-0,01;;;
2;-0,01;;;
3;-0,01;;;
4;-0,01;;;
5;-0,01;;;
6;-0,01;;;
7;2,097177052;;;
8;2,168118749;;;
9;2,004222564;;;
10;3,604270809;;;
11;9,858303028;;;
12;10,23158155;;;
13;10,16157878;;;
14;10,09157602;;;
15;9,974417894;;;
16;9,700144774;;;
17;9,300680425;;;
18;8,143809134;;;
19;4,09293391;;;
20;0,175794218;;;
21;-0,01;;;
22;-0,01;;;
23;-0,01;;;
0;-0,01;;;
1;-0,01;;;
2;-0,01;;;
3;-0,01;;;
4;-0,01;;;
5;-0,01;;;
6;-0,01;;;
7;3,09849824;;;
8;8,268374408;;;
9;9,579230911;;;
10;10,17232436;;;
11;10,20278756;;;
12;10,15928361;;;
13;10,08834191;;;
14;10,04306442;;;
15;9,934669678;;;
16;9,711724963;;;
17;9,369118297;;;
18;8,231234343;;;
19;4,155320873;;;
20;0,183159635;;;
21;-0,01;;;
22;-0,01;;;
23;-0,01;;;
0;-0,01;;;
1;-0,01;;;
2;-0,01;;;
3;-0,01;;;
4;-0,01;;;
5;-0,01;;;
6;-0,01;;;
7;1,289276315;;;
8;2,283711985;;;
9;3,465621522;;;
10;8,651250919;;;
11;10,18932951;;;
12;10,23471133;;;
13;10,23387672;;;
14;10,16856863;;;
15;10,06006956;;;
16;9,909527106;;;
17;9,385914787;;;
18;8,217463307;;;
19;4,092725258;;;
20;0,206153091;;;
21;-0,01;;;
22;-0,01;;;
23;-0,01;;;
0;-0,01;;;
1;-0,01;;;
2;-0,01;;;
3;-0,01;;;
4;-0,01;;;
5;-0,01;;;
6;-0,01;;;
7;0,323206891;;;
8;0,514467793;;;
9;0,744871819;;;
10;1,207171733;;;
11;1,899166257;;;
12;5,59731519;;;
13;10,21436775;;;
14;10,22782581;;;
15;10,11984837;;;
16;9,971705417;;;
17;9,453309399;;;
18;8,27828538;;;
19;4,140819556;;;
20;0,2131638;;;
21;-0,01;;;
22;-0,01;;;
23;-0,01;;;
0;-0,01;;;
1;-0,01;;;
2;-0,01;;;
3;-0,01;;;
4;-0,01;;;
5;-0,01;;;
6;-0,01;;;
7;2,366233871;;;
8;2,624545109;;;
9;3,529051745;;;
10;7,150729702;;;
11;10,23679785;;;
12;10,18119208;;;
13;9,666969098;;;
14;9,736241579;;;
15;9,672602704;;;
16;9,417734225;;;
17;8,955987238;;;
18;7,781067545;;;
19;3,856322485;;;
20;0,204849016;;;
21;-0,01;;;
22;-0,01;;;
23;-0,01;;;
0;-0,01;;;
1;-0,01;;;
2;-0,01;;;
3;-0,01;;;
4;-0,01;;;
5;-0,01;;;
6;-0,01;;;
7;2,896210078;;;
8;8,407858303;;;
9;9,73279882;;;
10;10,24994293;;;
11;10,39506043;;;
12;10,34759209;;;
13;10,31086932;;;
14;10,25171647;;;
15;10,17587145;;;
16;9,950214256;;;
17;9,596131727;;;
18;8,450006017;;;
19;4,277277996;;;
20;0,18566346;;;
21;-0,01;;;
22;-0,01;;;
23;-0,01;;;
0;-0,01;;;
1;-0,01;;;
2;-0,01;;;
3;-0,01;;;
4;-0,01;;;
5;-0,01;;;
