Hora;G solar;;Fact;0,907407407
0;-0,008115164;;;
1;-0,008115164;;;
2;-0,008115164;;;
3;-0,008115164;;;
4;-0,008115164;;;
5;-0,008115164;;;
6;-0,008115164;;;
7;1,701893469;;;
8;1,759463816;;;
9;1,626459382;;;
10;2,924924695;;;
11;8,0001741;;;
12;8,30309572;;;
13;8,246287334;;;
14;8,189478947;;;
15;8,094403212;;;
16;7,871826091;;;
17;7,54765424;;;
18;6,608834271;;;
19;3,321482791;;;
20;0,142659882;;;
21;-0,008115164;;;
22;-0,008115164;;;
23;-0,008115164;;;
0;-0,008115164;;;
1;-0,008115164;;;
2;-0,008115164;;;
3;-0,008115164;;;
4;-0,008115164;;;
5;-0,008115164;;;
6;-0,008115164;;;
7;2,514481985;;;
8;6,709921028;;;
9;7,773702514;;;
10;8,255007548;;;
11;8,279728932;;;
12;8,244424764;;;
13;8,186854417;;;
14;8,150110989;;;
15;8,062146885;;;
16;7,881223604;;;
17;7,603192692;;;
18;6,679781258;;;
19;3,372110832;;;
20;0,148637039;;;
21;-0,008115164;;;
22;-0,008115164;;;
23;-0,008115164;;;
0;-0,008115164;;;
1;-0,008115164;;;
2;-0,008115164;;;
3;-0,008115164;;;
4;-0,008115164;;;
5;-0,008115164;;;
6;-0,008115164;;;
7;1,046268811;;;
8;1,853269617;;;
9;2,812408531;;;
10;7,020631577;;;
11;8,268807499;;;
12;8,305635589;;;
13;8,30495829;;;
14;8,251959706;;;
15;8,16391094;;;
16;8,041743277;;;
17;7,616823318;;;
18;6,668605837;;;
19;3,321313467;;;
20;0,167296604;;;
21;-0,008115164;;;
22;-0,008115164;;;
23;-0,008115164;;;
0;-0,008115164;;;
1;-0,008115164;;;
2;-0,008115164;;;
3;-0,008115164;;;
4;-0,008115164;;;
5;-0,008115164;;;
6;-0,008115164;;;
7;0,262287677;;;
8;0,417499026;;;
9;0,60447566;;;
10;0,9796396;;;
11;1,541204471;;;
12;4,542312798;;;
13;8,289126445;;;
14;8,300047878;;;
15;8,212422424;;;
16;8,092201993;;;
17;7,671515148;;;
18;6,717963944;;;
19;3,360342776;;;
20;0,172985909;;;
21;-0,008115164;;;
22;-0,008115164;;;
23;-0,008115164;;;
0;-0,008115164;;;
1;-0,008115164;;;
2;-0,008115164;;;
3;-0,008115164;;;
4;-0,008115164;;;
5;-0,008115164;;;
6;-0,008115164;;;
7;1,920237476;;;
8;2,129861269;;;
9;2,863883195;;;
10;5,802934075;;;
11;8,307328834;;;
12;8,262203842;;;
13;7,844903488;;;
14;7,901119238;;;
15;7,84947525;;;
16;7,642645312;;;
17;7,267930083;;;
18;6,314463541;;;
19;3,129468752;;;
20;0,166238326;;;
21;-0,008115164;;;
22;-0,008115164;;;
23;-0,008115164;;;
0;-0,008115164;;;
1;-0,008115164;;;
2;-0,008115164;;;
3;-0,008115164;;;
4;-0,008115164;;;
5;-0,008115164;;;
6;-0,008115164;;;
7;2,350321834;;;
8;6,823114489;;;
9;7,898325383;;;
10;8,317996281;;;
11;8,435761505;;;
12;8,39724017;;;
13;8,367439049;;;
14;8,319435539;;;
15;8,257886065;;;
16;8,074761564;;;
17;7,787417803;;;
18;6,857318049;;;
19;3,471081032;;;
20;0,150668933;;;
21;-0,008115164;;;
22;-0,008115164;;;
23;-0,008115164;;;
0;-0,008115164;;;
1;-0,008115164;;;
2;-0,008115164;;;
3;-0,008115164;;;
4;-0,008115164;;;
5;-0,008115164;;;
6;-0,008115164;;;
7;2,199199673;;;
8;6,848513172;;;
9;7,936846718;;;
10;8,318927566;;;
11;8,444312395;;;
12;8,486050897;;;
13;8,430512444;;;
14;8,351861191;;;
15;8,284131371;;;
16;8,121833789;;;
17;7,840839698;;;
18;6,948837968;;;
19;3,517306634;;;
20;0,164570479;;;
21;-0,008115164;;;
22;-0,008115164;;;
23;-0,008115164;;;
0;-0,008115164;;;
1;-0,008115164;;;
2;-0,008115164;;;
3;-0,008115164;;;
4;-0,008115164;;;
5;-0,008115164;;;
6;-0,008115164;;;
7;2,134771681;;;
8;6,709667041;;;
9;7,84685072;;;
10;8,376413251;;;
11;8,425094059;;;
12;8,404097815;;;
13;8,376074602;;;
14;8,306566874;;;
15;8,2308788;;;
16;8,0567285;;;
17;7,768199466;;;
18;6,901511756;;;
19;3,429003881;;;
20;0,156730752;;;
21;-0,008115164;;;
22;-0,008115164;;;
23;-0,008115164;;;
0;-0,008115164;;;
1;-0,008115164;;;
2;-0,008115164;;;
3;-0,008115164;;;
4;-0,008115164;;;
5;-0,008115164;;;
6;-0,008115164;;;
7;2,08185776;;;
8;6,821675231;;;
9;7,940317872;;;
10;8,310376676;;;
11;8,424586085;;;
12;8,483511029;;;
13;8,420352971;;;
14;8,32206007;;;
15;8,255261535;;;
16;8,113367562;;;
17;7,846596733;;;
18;6,949345942;;;
19;3,488860109;;;
20;0,149119614;;;
21;-0,008115164;;;
22;-0,008115164;;;
23;-0,008115164;;;
0;-0,008115164;;;
1;-0,008115164;;;
2;-0,008115164;;;
3;-0,008115164;;;
4;-0,008115164;;;
5;-0,008115164;;;
6;-0,008115164;;;
7;1,613252067;;;
8;6,493100941;;;
9;7,758209318;;;
10;8,252637004;;;
11;8,317996281;;;
12;8,378360483;;;
13;8,326208521;;;
14;8,259748636;;;
15;8,194135372;;;
16;8,014736011;;;
17;7,714608246;;;
18;6,839369646;;;
19;3,361697372;;;
20;0,171208001;;;
21;-0,008115164;;;
22;-0,008115164;;;
23;-0,008115164;;;
0;-0,008115164;;;
1;-0,008115164;;;
2;-0,008115164;;;
3;-0,008115164;;;
4;-0,008115164;;;
5;-0,008115164;;;
6;-0,008115164;;;
7;1,580403104;;;
8;6,261634281;;;
9;7,689124901;;;
10;8,264405061;;;
11;8,432629001;;;
12;8,356263629;;;
13;8,358295524;;;
14;8,322652706;;;
15;8,151973559;;;
16;7,64552383;;;
17;7,744832678;;;
18;6,639228028;;;
19;3,186192476;;;
20;0,18157913;;;
21;-0,008115164;;;
22;-0,008115164;;;
23;-0,008115164;;;
0;-0,008115164;;;
1;-0,008115164;;;
2;-0,008115164;;;
3;-0,008115164;;;
4;-0,008115164;;;
5;-0,008115164;;;
6;-0,008115164;;;
7;0,551714131;;;
8;1,025695878;;;
9;1,827193636;;;
10;5,82994134;;;
11;8,414849924;;;
12;8,477584669;;;
13;8,426110006;;;
14;8,357364239;;;
15;8,302926396;;;
16;8,144607941;;;
17;7,800963767;;;
18;7,016313801;;;
19;3,450508099;;;
20;0,141576205;;;
21;-0,008115164;;;
22;-0,008115164;;;
23;-0,008115164;;;
0;-0,008115164;;;
