"item","Pan de Azúcar","BA S/E DON GOYO 220KV BP2","addValue"
"2023-01-01 01","170.52","169.92",""
"2023-01-01 02","170.52","169.92",""
"2023-01-01 03","163.95","163.37",""
"2023-01-01 04","144.24","143.73",""
"2023-01-01 05","144.24","143.73",""
"2023-01-01 06","138.84","138.35",""
"2023-01-01 07","84.30","84.00",""
"2023-01-01 08","0.00","0.00",""
"2023-01-01 09","0.00","0.00",""
"2023-01-01 10","0.00","0.00",""
"2023-01-01 11","0.00","0.00",""
"2023-01-01 12","0.00","0.00",""
"2023-01-01 13","0.00","0.00",""
"2023-01-01 14","0.00","0.00",""
"2023-01-01 15","0.00","0.00",""
"2023-01-01 16","0.00","0.00",""
"2023-01-01 17","0.00","0.00",""
"2023-01-01 18","0.00","0.00",""
"2023-01-01 19","0.00","0.00",""
"2023-01-01 20","0.00","0.00",""
"2023-01-01 21","100.80","97.80",""
"2023-01-01 22","106.09","102.93",""
"2023-01-01 23","120.96","117.36",""
"2023-01-01 24","120.96","117.36",""
"2023-01-02 01","126.70","124.48",""
"2023-01-02 02","129.40","127.14",""
"2023-01-02 03","130.30","128.02",""
"2023-01-02 04","130.30","128.02",""
"2023-01-02 05","130.30","128.02",""
"2023-01-02 06","135.77","133.39",""
"2023-01-02 07","128.98","126.72",""
"2023-01-02 08","55.79","54.81",""
"2023-01-02 09","0.00","0.00",""
"2023-01-02 10","0.00","0.00",""
"2023-01-02 11","0.00","0.00",""
"2023-01-02 12","0.00","0.00",""
"2023-01-02 13","0.00","0.00",""
"2023-01-02 14","0.00","0.00",""
"2023-01-02 15","0.00","0.00",""
"2023-01-02 16","0.00","0.00",""
"2023-01-02 17","0.00","0.00",""
"2023-01-02 18","0.00","0.00",""
"2023-01-02 19","0.00","0.00",""
"2023-01-02 20","6.66","6.41",""
"2023-01-02 21","134.37","129.17",""
"2023-01-02 22","134.76","129.55",""
"2023-01-02 23","133.59","128.43",""
"2023-01-02 24","124.74","119.92",""
"2023-01-03 01","127.67","124.69",""
"2023-01-03 02","126.62","123.66",""
"2023-01-03 03","121.34","118.51",""
"2023-01-03 04","121.34","118.51",""
"2023-01-03 05","121.34","118.51",""
"2023-01-03 06","128.89","125.89",""
"2023-01-03 07","113.07","110.43",""
"2023-01-03 08","77.89","76.07",""
"2023-01-03 09","14.85","14.63",""
"2023-01-03 10","0.00","0.00",""
"2023-01-03 11","0.00","0.00",""
"2023-01-03 12","0.00","0.00",""
"2023-01-03 13","0.00","0.00",""
"2023-01-03 14","0.00","0.00",""
"2023-01-03 15","0.00","0.00",""
"2023-01-03 16","0.00","0.00",""
"2023-01-03 17","0.00","0.00",""
"2023-01-03 18","0.00","0.00",""
"2023-01-03 19","0.00","0.00",""
"2023-01-03 20","23.60","23.00",""
"2023-01-03 21","103.90","101.27",""
"2023-01-03 22","146.31","142.62",""
"2023-01-03 23","151.38","147.56",""
"2023-01-03 24","145.15","141.49",""
"2023-01-04 01","143.01","142.46",""
"2023-01-04 02","141.87","141.32",""
"2023-01-04 03","137.49","136.96",""
"2023-01-04 04","136.30","135.78",""
"2023-01-04 05","144.43","143.88",""
"2023-01-04 06","141.86","141.31",""
"2023-01-04 07","128.62","128.12",""
"2023-01-04 08","112.69","112.25",""
"2023-01-04 09","0.00","0.00",""
"2023-01-04 10","0.00","0.00",""
"2023-01-04 11","0.00","0.00",""
"2023-01-04 12","0.00","0.00",""
"2023-01-04 13","0.00","0.00",""
"2023-01-04 14","0.00","0.00",""
"2023-01-04 15","0.00","0.00",""
"2023-01-04 16","0.00","0.00",""
"2023-01-04 17","0.00","0.00",""
"2023-01-04 18","0.00","0.00",""
"2023-01-04 19","0.00","0.00",""
"2023-01-04 20","54.71","54.59",""
"2023-01-04 21","148.35","148.03",""
"2023-01-04 22","155.57","155.24",""
"2023-01-04 23","140.94","140.63",""
"2023-01-04 24","137.86","137.56",""
"2023-01-05 01","140.07","139.65",""
"2023-01-05 02","135.11","134.69",""
"2023-01-05 03","130.98","130.58",""
"2023-01-05 04","139.45","139.02",""
"2023-01-05 05","135.88","135.46",""
"2023-01-05 06","151.23","150.77",""
"2023-01-05 07","152.92","152.46",""
"2023-01-05 08","90.59","90.31",""
"2023-01-05 09","0.00","0.00",""
"2023-01-05 10","0.00","0.00",""
"2023-01-05 11","0.00","0.00",""
"2023-01-05 12","0.00","0.00",""
"2023-01-05 13","0.00","0.00",""
"2023-01-05 14","0.00","0.00",""
"2023-01-05 15","0.00","0.00",""
"2023-01-05 16","0.00","0.00",""
"2023-01-05 17","0.00","0.00",""
"2023-01-05 18","0.00","0.00",""
"2023-01-05 19","0.00","0.00",""
"2023-01-05 20","56.86","56.74",""
"2023-01-05 21","157.44","157.10",""
"2023-01-05 22","157.44","157.10",""
"2023-01-05 23","153.08","152.75",""
"2023-01-05 24","135.08","134.78",""
"2023-01-06 01","138.40","138.31",""
"2023-01-06 02","141.37","141.27",""
"2023-01-06 03","138.42","138.33",""
"2023-01-06 04","138.42","138.33",""
"2023-01-06 05","138.42","138.33",""
"2023-01-06 06","146.45","146.35",""
"2023-01-06 07","149.81","149.71",""
"2023-01-06 08","93.45","93.38",""
"2023-01-06 09","0.00","0.00",""
"2023-01-06 10","0.00","0.00",""
"2023-01-06 11","0.00","0.00",""
"2023-01-06 12","0.00","0.00",""
"2023-01-06 13","0.00","0.00",""
"2023-01-06 14","0.00","0.00",""
"2023-01-06 15","0.00","0.00",""
"2023-01-06 16","0.00","0.00",""
"2023-01-06 17","0.00","0.00",""
"2023-01-06 18","0.00","0.00",""
"2023-01-06 19","0.00","0.00",""
"2023-01-06 20","85.92","85.04",""
"2023-01-06 21","165.63","163.94",""
"2023-01-06 22","166.19","164.49",""
"2023-01-06 23","166.19","164.49",""
"2023-01-06 24","170.43","168.68",""
"2023-01-07 01","181.19","180.76",""
"2023-01-07 02","179.37","178.94",""
"2023-01-07 03","168.95","168.55",""
"2023-01-07 04","158.00","157.63",""
"2023-01-07 05","143.68","143.34",""
"2023-01-07 06","143.68","143.34",""
"2023-01-07 07","143.68","143.34",""
"2023-01-07 08","77.06","76.88",""
"2023-01-07 09","0.00","0.00",""
"2023-01-07 10","0.00","0.00",""
"2023-01-07 11","0.00","0.00",""
"2023-01-07 12","0.00","0.00",""
"2023-01-07 13","0.00","0.00",""
"2023-01-07 14","0.00","0.00",""
"2023-01-07 15","0.00","0.00",""
"2023-01-07 16","0.00","0.00",""
"2023-01-07 17","0.00","0.00",""
"2023-01-07 18","0.00","0.00",""
"2023-01-07 19","0.00","0.00",""
"2023-01-07 20","35.42","34.84",""
"2023-01-07 21","156.13","153.59",""
"2023-01-07 22","156.13","153.59",""
"2023-01-07 23","146.19","143.82",""
"2023-01-07 24","140.44","138.16",""
"2023-01-08 01","143.71","143.10",""
"2023-01-08 02","140.92","140.32",""
"2023-01-08 03","134.60","134.03",""
"2023-01-08 04","141.52","140.92",""
"2023-01-08 05","143.71","143.10",""
"2023-01-08 06","141.98","141.38",""
"2023-01-08 07","135.47","134.89",""
"2023-01-08 08","57.59","57.35",""
"2023-01-08 09","0.00","0.00",""
"2023-01-08 10","0.00","0.00",""
"2023-01-08 11","0.00","0.00",""
"2023-01-08 12","0.00","0.00",""
"2023-01-08 13","0.00","0.00",""
"2023-01-08 14","0.00","0.00",""
"2023-01-08 15","0.00","0.00",""
"2023-01-08 16","0.00","0.00",""
"2023-01-08 17","0.00","0.00",""
"2023-01-08 18","0.00","0.00",""
"2023-01-08 19","0.00","0.00",""
"2023-01-08 20","67.02","66.23",""
"2023-01-08 21","167.32","165.33",""
"2023-01-08 22","179.25","177.12",""
"2023-01-08 23","154.62","152.78",""
"2023-01-08 24","149.88","148.10",""
"2023-01-09 01","164.89","164.22",""
"2023-01-09 02","164.89","164.22",""
"2023-01-09 03","157.11","156.48",""
"2023-01-09 04","156.25","155.62",""
"2023-01-09 05","156.25","155.62",""
"2023-01-09 06","156.25","155.62",""
"2023-01-09 07","156.25","155.62",""
"2023-01-09 08","134.85","134.31",""
"2023-01-09 09","128.83","128.37",""
"2023-01-09 10","151.69","151.15",""
"2023-01-09 11","149.67","149.13",""
"2023-01-09 12","142.31","141.80",""
"2023-01-09 13","92.90","92.57",""
"2023-01-09 14","0.00","0.00",""
"2023-01-09 15","0.00","0.00",""
"2023-01-09 16","0.00","0.00",""
"2023-01-09 17","0.00","0.00",""
"2023-01-09 18","0.00","0.00",""
"2023-01-09 19","0.00","0.00",""
"2023-01-09 20","82.32","81.48",""
"2023-01-09 21","204.36","202.27",""
