Hora;G solar
0;-0,010942418
1;-0,010942418
2;-0,010942418
3;-0,010942418
4;-0,010942418
5;-0,010942418
6;0,011540324
7;7,222697951
8;8,966760865
9;9,897844873
10;10,40478419
11;10,66381628
12;10,72368972
13;10,72329148
14;10,69103011
15;10,5747335
16;10,20498587
17;9,50602675
18;8,189846418
19;5,843714975
20;-0,010942418
21;-0,010942418
22;-0,010942418
23;-0,010942418
0;-0,010942418
1;-0,010942418
2;-0,010942418
3;-0,010942418
4;-0,010942418
5;-0,010942418
6;0,007013553
7;7,265988661
8;9,035713149
9;10,04703892
10;10,46490796
11;10,62588203
12;10,66567417
13;10,59720304
14;10,55252898
15;10,44434351
16;10,18181786
17;9,56160084
18;8,317491817
19;6,032379932
20;-0,010942418
21;-0,010942418
22;-0,010942418
23;-0,010942418
0;-0,010942418
1;-0,010942418
2;-0,010942418
3;-0,010942418
4;-0,010942418
5;-0,010942418
6;0,00295803
7;7,134603372
8;8,834689004
9;9,727209395
10;10,23427233
11;10,54387388
12;10,55322596
13;10,58410107
14;10,51843463
15;10,39610739
16;10,06015308
17;9,392236894
18;8,221601726
19;5,954405709
20;-0,010942418
21;-0,010942418
22;-0,010942418
23;-0,010942418
0;-0,010942418
1;-0,010942418
2;-0,010942418
3;-0,010942418
4;-0,010942418
5;-0,010942418
6;-0,010942418
7;0,43534268
8;1,473971194
9;9,827998096
10;10,2983666
11;10,51650433
12;10,50993465
13;10,46047389
14;10,47679579
15;10,36613146
16;10,07484742
17;9,45007302
18;8,257190934
19;5,994985936
20;-0,010942418
21;-0,010942418
22;-0,010942418
23;-0,010942418
0;-0,010942418
1;-0,010942418
2;-0,010942418
3;-0,010942418
4;-0,010942418
5;-0,010942418
6;-0,010942418
7;0,337082842
8;0,937711322
9;2,01486125
10;4,10231634
11;10,69479151
12;10,67066499
13;10,59210861
14;10,51463844
15;10,41907418
16;10,09842337
17;9,455115745
18;8,277667867
19;6,012964109
20;-0,010942418
21;-0,010942418
22;-0,010942418
23;-0,010942418
0;-0,010942418
1;-0,010942418
2;-0,010942418
3;-0,010942418
4;-0,010942418
5;-0,010942418
6;-0,010942418
7;0,513532426
8;8,833530383
9;9,824025682
10;10,23487329
11;10,44857365
12;10,50267829
13;10,43596584
14;10,39418199
15;6,294947589
16;3,407407037
17;1,833286731
18;8,137546569
19;5,862675451
20;-0,010942418
21;-0,010942418
22;-0,010942418
23;-0,010942418
0;-0,010942418
1;-0,010942418
2;-0,010942418
3;-0,010942418
4;-0,010942418
5;-0,010942418
6;-0,010942418
7;0,527560888
8;0,914424895
9;1,929881295
10;2,970683836
11;6,669002962
12;7,882847432
13;6,907476708
14;8,717578102
15;10,47192349
16;10,1044097
17;9,417102885
18;8,208361547
19;5,909088987
20;-0,010942418
21;-0,010942418
22;-0,010942418
23;-0,010942418
0;-0,010942418
1;-0,010942418
2;-0,010942418
3;-0,010942418
4;-0,010942418
5;-0,010942418
6;-0,010942418
7;7,025611317
8;8,874266227
9;9,880258541
10;10,45537776
11;10,74069419
12;10,71160666
13;10,65526889
14;10,56790049
15;10,51606649
16;10,25919582
17;9,632532231
18;8,386117567
19;6,03599791
20;-0,010942418
21;-0,010942418
22;-0,010942418
23;-0,010942418
0;-0,010942418
1;-0,010942418
2;-0,010942418
3;-0,010942418
4;-0,010942418
5;-0,010942418
6;-0,010942418
7;7,198276707
8;9,057064373
9;9,96836062
10;10,41557782
11;10,59704512
12;10,62933999
13;10,66953878
14;10,55511615
15;10,43411725
16;10,07410624
17;9,509981362
18;8,391388117
19;6,138403379
20;-0,010942418
21;-0,010942418
22;-0,010942418
23;-0,010942418
0;-0,010942418
1;-0,010942418
2;-0,010942418
3;-0,010942418
4;-0,010942418
5;-0,010942418
6;-0,010942418
7;0,479636295
8;8,85556968
9;9,874453036
10;10,36508355
11;10,57690462
12;10,5901408
13;10,51109327
14;10,46010525
15;10,42930475
16;10,17784135
17;9,552607703
18;8,366300903
19;6,121247892
20;-0,010942418
21;-0,010942418
22;-0,010942418
23;-0,010942418
0;-0,010942418
1;-0,010942418
2;-0,010942418
3;-0,010942418
4;-0,010942418
5;-0,010942418
6;-0,010942418
7;7,020677003
8;8,943165606
9;9,94676377
10;10,53415087
11;10,70139639
12;10,74870112
13;10,66742856
14;10,76079608
15;10,68135011
16;10,37313169
17;9,738900913
18;8,505328288
19;6,156799196
20;-0,010942418
21;-0,010942418
22;-0,010942418
23;-0,010942418
0;-0,010942418
1;-0,010942418
2;-0,010942418
3;-0,010942418
4;-0,010942418
5;-0,010942418
6;-0,010942418
7;7,040499768
8;9,005146163
9;10,07364989
10;10,61238282
11;10,8540128
12;10,88935478
13;10,73294798
14;10,74192282
15;10,6352038
16;10,30812202
17;9,697376986
18;8,568373757
19;6,282171758
20;-0,010942418
21;-0,010942418
22;-0,010942418
23;-0,010942418
0;-0,010942418
1;-0,010942418
2;-0,010942418
3;-0,010942418
4;-0,010942418
5;-0,010942418
6;-0,010942418
7;6,945518972
8;8,917223403
9;10,00088691
10;10,55896846
11;10,75653784
12;10,7426971
13;10,75020778
14;10,69708805
15;10,58514248
16;10,3108239
17;9,682112596
18;8,536517937
19;6,208141045
20;-0,010942418
21;-0,010942418
22;-0,010942418
23;-0,010942418
0;-0,010942418
1;-0,010942418
2;-0,010942418
3;-0,010942418
4;-0,010942418
5;-0,010942418
6;-0,010942418
7;6,935444522
8;8,931089547
9;9,980501185
10;10,53652932
11;10,78791641
12;10,65036298
13;10,67497704
14;10,60371632
15;10,50151037
16;10,23723033
17;9,600813126
18;8,472105926
19;6,197781365
20;-0,010942418
21;-0,010942418
22;-0,010942418
23;-0,010942418
0;-0,010942418
1;-0,010942418
2;-0,010942418
3;-0,010942418
4;-0,010942418
5;-0,010942418
6;-0,010942418
7;0,393505221
8;1,158372212
9;3,092256302
10;10,39249801
11;10,62223895
12;10,6237428
13;10,49350453
14;10,52559058
15;10,41853612
16;10,12478792
17;9,537976879
18;8,384329281
19;6,10634874
20;-0,010942418
21;-0,010942418
22;-0,010942418
23;-0,010942418
0;-0,010942418
1;-0,010942418
2;-0,010942418
3;-0,010942418
4;-0,010942418
5;-0,010942418
6;-0,010942418
7;0,313471782
8;0,931395063
9;1,867778925
10;10,41631399
11;10,6735877
12;10,65788576
13;10,60036367
14;10,53302665
15;10,36464531
16;10,14066877
17;9,501810911
18;8,363509712
19;6,050411011
20;-0,010942418
21;-0,010942418
22;-0,010942418
23;-0,010942418
0;-0,010942418
1;-0,010942418
2;-0,010942418
3;-0,010942418
4;-0,010942418
5;-0,010942418
6;-0,010942418
7;0,279688763
8;0,765077135
9;1,3991668
10;2,484097438
11;5,926232573
12;10,71504472
13;10,69915156
14;10,63218328
15;10,52691092
16;10,1591634
17;9,540416933
18;8,388292194
19;6,089393673
20;-0,010942418
21;-0,010942418
22;-0,010942418
23;-0,010942418
0;-0,010942418
1;-0,010942418
2;-0,010942418
3;-0,010942418
4;-0,010942418
5;-0,010942418
6;-0,010942418
7;0,239506876
8;0,701069966
9;1,200725825
10;1,50502963
11;1,805144299
12;1,996237108
13;2,869122154
14;2,115486334
15;3,317127232
16;2,674543681
17;1,735524445
18;1,005750311
19;6,058589563
20;-0,010942418
21;-0,010942418
22;-0,010942418
23;-0,010942418
0;-0,010942418
1;-0,010942418
2;-0,010942418
3;-0,010942418
4;-0,010942418
5;-0,010942418
6;-0,010942418
7;0,289008833
8;0,780991193
9;1,192365653
10;1,438376885
11;2,210077789
12;7,542551976
13;5,981302711
14;7,143079556
15;6,879926238
16;4,902888751
17;3,453263816
18;1,59649076
19;6,047319089
20;-0,010942418
21;-0,010942418
22;-0,010942418
23;-0,010942418
0;-0,010942418
1;-0,010942418
2;-0,010942418
3;-0,010942418
4;-0,010942418
5;-0,010942418
6;-0,010942418
7;0,304507048
8;0,885680201
9;1,309445453
10;2,068270714
11;4,67656297
12;7,364856162
13;10,5488625
14;10,53377653
15;10,47228762
16;10,20467384
17;9,600572301
18;8,421815487
19;6,065364569
20;-0,010942418
21;-0,010942418
22;-0,010942418
23;-0,010942418
0;-0,010942418
1;-0,010942418
2;-0,010942418
3;-0,010942418
4;-0,010942418
5;-0,010942418
6;-0,010942418
7;0,24531058
8;0,695096443
9;1,169848608
10;1,596613472
11;2,512723521
12;3,130871226
13;10,57424195
14;10,56906151
15;10,4144479
16;10,14587952
17;9,574001733
18;8,40485892
19;6,064396668
20;-0,010942418
21;-0,010942418
22;-0,010942418
23;-0,010942418
0;-0,010942418
1;-0,010942418
2;-0,010942418
3;-0,010942418
4;-0,010942418
5;-0,010942418
6;-0,010942418
7;0,272498013
8;0,853442742
9;1,52440685
10;3,719144918
11;10,65641731
12;10,65302255
13;10,65327608
14;10,64060216
15;10,61488398
16;10,32195726
17;9,67677354
18;8,436249491
19;6,033273626
20;-0,010942418
21;-0,010942418
22;-0,010942418
23;-0,010942418
0;-0,010942418
1;-0,010942418
2;-0,010942418
3;-0,010942418
4;-0,010942418
5;-0,010942418
6;-0,010942418
7;6,689996349
8;8,865910957
9;10,02103111
10;10,56661925
11;10,73184067
12;10,72588975
13;10,63959366
14;10,67695095
15;10,5661194
16;10,42751536
17;9,81334717
18;8,564164118
19;6,155854297
20;-0,010942418
21;-0,010942418
22;-0,010942418
23;-0,010942418
0;-0,010942418
1;-0,010942418
2;-0,010942418
3;-0,010942418
4;-0,010942418
5;-0,010942418
6;-0,010942418
7;6,495899427
8;8,668536692
9;9,818248081
10;10,26971662
11;10,56154182
12;10,49480817
13;10,52631125
14;10,59512902
15;10,47535434
16;10,20028028
17;9,607423615
18;8,457929349
19;6,102463134
20;-0,010942418
21;-0,010942418
22;-0,010942418
23;-0,010942418
0;-0,010942418
1;-0,010942418
2;-0,010942418
3;-0,010942418
4;-0,010942418
5;-0,010942418
6;-0,010942418
7;6,387184199
8;8,606474326
9;9,66497111
10;10,21361927
11;10,46425579
12;10,45173718
13;10,43672842
14;10,43584613
15;10,40426664
16;10,15422679
17;9,524681393
18;8,349908894
19;5,964066615
20;-0,010942418
21;-0,010942418
22;-0,010942418
23;-0,010942418
0;-0,010942418
1;-0,010942418
2;-0,010942418
3;-0,010942418
4;-0,010942418
5;-0,010942418
6;-0,010942418
7;0,358253848
8;8,600796335
9;9,736531566
10;10,22504316
11;10,52308782
12;10,42706631
13;10,43318665
14;10,39299486
15;10,32856935
16;10,06466745
17;9,478181149
18;8,28728557
19;5,867498954
20;-0,010942418
21;-0,010942418
22;-0,010942418
23;-0,010942418
0;-0,010942418
1;-0,010942418
2;-0,010942418
3;-0,010942418
4;-0,010942418
5;-0,010942418
6;-0,010942418
7;6,383982165
8;8,673484808
9;9,786610884
10;10,36287572
11;10,61845985
12;10,57630496
13;10,53204965
14;10,55427147
15;10,49137381
16;10,20591337
17;9,707447835
18;8,462369512
19;5,922444679
20;-0,010942418
21;-0,010942418
22;-0,010942418
23;-0,010942418
0;-0,010942418
1;-0,010942418
2;-0,010942418
3;-0,010942418
4;-0,010942418
5;-0,010942418
