Hora;G solar
0;-0,009
1;-0,009
2;-0,009
3;-0,009
4;-0,009
5;-0,009
6;-0,009
7;1,419
8;6,906
9;8,269
10;8,895
11;9,087
12;9,121
13;9,161
14;9,139
15;9,052
16;8,906
17;8,408
18;7,606
19;5,163
20;0,886
21;-0,009
22;-0,009
23;-0,009
0;-0,009
1;-0,009
2;-0,009
3;-0,009
4;-0,009
5;-0,009
6;-0,009
7;1,438
8;7,073
9;8,271
10;8,894
11;9,037
12;9,055
13;9,089
14;9,037
15;8,946
16;8,790
17;8,471
18;7,737
19;5,340
20;0,937
21;-0,009
22;-0,009
23;-0,009
0;-0,009
1;-0,009
2;-0,009
3;-0,009
4;-0,009
5;-0,009
6;-0,009
7;1,369
8;7,004
9;8,299
10;8,884
11;9,049
12;9,078
13;9,112
14;9,090
15;9,027
16;8,833
17;8,481
18;7,767
19;5,374
20;0,952
21;-0,009
22;-0,009
23;-0,009
0;-0,009
1;-0,009
2;-0,009
3;-0,009
4;-0,009
5;-0,009
6;-0,009
7;1,089
8;5,759
9;7,729
10;8,749
11;9,045
12;9,018
13;9,062
14;9,034
15;8,952
16;8,828
17;8,392
18;7,527
19;5,094
20;0,881
21;-0,009
22;-0,009
23;-0,009
0;-0,009
1;-0,009
2;-0,009
3;-0,009
4;-0,009
5;-0,009
6;-0,009
7;1,219
8;6,869
9;8,156
10;8,728
11;8,871
12;8,905
13;8,948
14;8,944
15;8,886
16;8,701
17;8,339
18;7,618
19;5,284
20;0,932
21;-0,009
22;-0,009
23;-0,009
0;-0,009
1;-0,009
2;-0,009
3;-0,009
4;-0,009
5;-0,009
6;-0,009
7;1,148
8;6,716
9;8,018
10;8,606
11;8,779
12;8,819
13;8,846
14;8,824
15;8,772
16;8,582
17;8,213
18;7,472
19;5,185
20;0,906
21;-0,009
22;-0,009
23;-0,009
0;-0,009
1;-0,009
2;-0,009
3;-0,009
4;-0,009
5;-0,009
6;-0,009
7;1,076
8;6,795
9;8,165
10;8,788
11;8,962
12;9,004
13;8,979
14;8,174
15;8,234
16;8,506
17;8,377
18;7,410
19;4,879
20;0,581
21;-0,009
22;-0,009
23;-0,009
0;-0,009
1;-0,009
2;-0,009
3;-0,009
4;-0,009
5;-0,009
6;-0,009
7;0,943
8;5,179
9;6,731
10;7,652
11;8,981
12;8,172
13;8,945
14;8,989
15;8,708
16;7,817
17;8,150
18;7,611
19;5,332
20;0,924
21;-0,009
22;-0,009
23;-0,009
0;-0,009
1;-0,009
2;-0,009
3;-0,009
4;-0,009
5;-0,009
6;-0,009
7;0,993
8;6,855
9;8,201
10;8,815
11;8,984
12;9,039
13;9,073
14;9,061
