Hora;G solar
0;-18,33
1;-18,33
2;-18,33
3;-18,33
4;-18,33
5;-18,33
6;-18,33
7;18236,18
8;23207,27
9;25585,58
10;27710,28
11;28744,75
12;29165,14
13;29043,06
14;28783,85
15;28455,28
16;27318,96
17;25365,88
18;21616,69
19;14287,16
20;-18,33
21;-18,33
22;-18,33
23;-18,33
0;-18,33
1;-18,33
2;-18,33
3;-18,33
4;-18,33
5;-18,33
6;-18,33
7;1184,34
8;2773,83
9;5033,14
10;10284,68
11;28666,83
12;28954,97
13;29125,51
14;28787,04
15;28472,63
16;27161,64
17;25188,80
18;21677,13
19;14543,10
20;-18,33
21;-18,33
22;-18,33
23;-18,33
0;-18,33
1;-18,33
2;-18,33
3;-18,33
4;-18,33
5;-18,33
6;-18,33
7;834,62
8;2611,94
9;8722,68
10;27670,43
11;28478,36
12;29045,38
13;29017,04
14;28651,96
15;28435,93
16;27394,51
17;25452,85
18;21850,66
19;14518,18
20;-18,33
21;-18,33
22;-18,33
23;-18,33
0;-18,33
1;-18,33
2;-18,33
3;-18,33
4;-18,33
5;-18,33
6;-18,33
7;1172,74
8;4120,23
9;25951,43
10;27651,62
11;28678,01
12;29025,00
13;29253,52
14;29105,92
15;28359,64
16;27540,30
17;25556,66
18;22023,88
19;14726,95
20;-18,33
21;-18,33
22;-18,33
23;-18,33
0;-18,33
1;-18,33
2;-18,33
3;-18,33
4;-18,33
5;-18,33
6;-18,33
7;583,01
8;1947,22
9;5486,68
10;12841,51
11;19933,19
12;22678,17
13;23896,51
14;20213,49
15;17183,16
16;13560,00
17;7744,23
18;3461,73
19;14674,60
20;-18,33
21;-18,33
22;-18,33
23;-18,33
0;-18,33
1;-18,33
2;-18,33
3;-18,33
4;-18,33
5;-18,33
6;-18,33
7;829,55
8;2483,00
9;4657,57
10;5721,62
11;28374,32
12;28759,51
13;28754,19
14;28767,82
15;28271,58
16;27093,17
17;25229,01
18;21663,59
19;14461,43
20;-18,33
21;-18,33
22;-18,33
23;-18,33
0;-18,33
1;-18,33
2;-18,33
3;-18,33
4;-18,33
5;-18,33
6;-18,33
7;811,91
8;2339,02
9;4195,07
10;10017,39
11;28346,81
12;28782,74
13;28907,65
14;28846,17
15;28222,82
16;27300,08
17;25370,76
18;21710,78
19;14474,72
20;-18,33
21;-18,33
22;-18,33
23;-18,33
0;-18,33
1;-18,33
2;-18,33
3;-18,33
4;-18,33
5;-18,33
6;-18,33
7;17778,69
8;23123,05
9;26069,07
10;27632,85
11;28590,76
12;28993,30
13;28975,18
14;28599,94
15;28209,08
16;26942,61
17;25059,85
18;21719,03
19;14649,62
20;-18,33
21;-18,33
22;-18,33
23;-18,33
0;-18,33
1;-18,33
2;-18,33
3;-18,33
4;-18,33
5;-18,33
6;-18,33
7;730,99
8;2381,19
9;4802,86
10;27541,42
11;28453,58
12;28885,08
13;28799,46
14;28492,39
15;28266,86
16;27229,39
17;25224,33
18;21759,86
19;14674,80
20;-18,33
21;-18,33
22;-18,33
23;-18,33
0;-18,33
1;-18,33
2;-18,33
3;-18,33
4;-18,33
5;-18,33
6;-18,33
7;879,02
8;2843,99
9;26108,60
10;27649,78
11;28311,57
12;28974,40
13;29254,07
14;29045,28
15;28603,78
16;27480,03
17;25392,37
18;21919,87
19;14793,37
20;-18,33
21;-18,33
22;-18,33
23;-18,33
0;-18,33
1;-18,33
2;-18,33
3;-18,33
4;-18,33
5;-18,33
6;-18,33
7;714,42
8;2268,63
9;4497,60
10;27446,99
11;28700,63
12;28862,42
13;28907,94
14;29115,72
15;28499,09
16;27326,47
17;25356,70
18;21892,32
19;14777,82
20;-18,33
21;-18,33
22;-18,33
23;-18,33
0;-18,33
1;-18,33
2;-18,33
3;-18,33
4;-18,33
5;-18,33
6;-18,33
7;752,05
8;2484,49
9;4694,74
10;8427,18
11;28611,66
12;29055,99
13;29184,56
14;29030,03
15;28533,48
16;27496,01
17;25564,10
18;21990,43
19;14800,60
20;-18,33
21;-18,33
22;-18,33
23;-18,33
0;-18,33
1;-18,33
2;-18,33
3;-18,33
4;-18,33
5;-18,33
6;-18,33
7;796,65
8;2672,65
9;4946,97
10;27435,88
11;28616,69
12;29072,88
13;29258,52
14;28786,36
15;28626,79
16;27471,14
17;25579,13
18;21913,75
19;14756,81
20;-18,33
21;-18,33
22;-18,33
23;-18,33
0;-18,33
1;-18,33
2;-18,33
3;-18,33
4;-18,33
5;-18,33
6;-18,33
7;861,45
8;3337,36
9;25590,37
10;27286,64
11;28634,60
12;29247,99
13;29018,46
14;28840,87
15;28530,29
16;27752,60
17;25683,66
18;22075,16
19;14936,32
20;-18,33
21;-18,33
22;-18,33
23;-18,33
0;-18,33
1;-18,33
2;-18,33
3;-18,33
4;-18,33
5;-18,33
6;-18,33
7;17039,01
8;22987,78
9;25910,45
10;27451,19
11;28629,28
12;28948,25
13;29013,51
14;28831,73
15;28340,71
16;27315,19
17;25420,50
18;21984,14
19;14916,04
20;-18,33
21;-18,33
22;-18,33
23;-18,33
0;-18,33
1;-18,33
2;-18,33
3;-18,33
4;-18,33
5;-18,33
6;-18,33
7;858,77
8;2868,21
9;6547,25
10;27701,11
11;28779,80
12;29193,26
13;29234,40
14;29229,71
15;28794,60
16;27553,56
17;25761,30
18;22164,59
19;14984,39
20;-18,33
21;-18,33
22;-18,33
23;-18,33
0;-18,33
1;-18,33
2;-18,33
3;-18,33
4;-18,33
5;-18,33
6;-18,33
7;750,49
8;2394,14
9;5132,12
10;27664,18
11;28815,65
12;29204,87
13;29494,18
14;29453,44
15;28659,27
16;27808,93
17;25697,91
18;22266,75
19;15072,88
20;-18,33
21;-18,33
22;-18,33
23;-18,33
0;-18,33
1;-18,33
2;-18,33
3;-18,33
4;-18,33
5;-18,33
6;-18,33
7;575,92
8;1827,50
9;3235,47
10;4991,64
11;6816,58
12;9834,19
13;17865,82
14;22865,85
15;28881,33
16;27709,12
17;25936,98
18;22302,77
19;15043,77
20;-18,33
21;-18,33
22;-18,33
