Año;Mes;Hora;CMg
2025;1;0;138,0103456
2025;1;1;133,219993
2025;1;2;129,7038519
2025;1;3;129,7039284
2025;1;4;129,7028237
2025;1;5;129,7028881
2025;1;6;6,745475521
2025;1;7;6,745464281
2025;1;8;1,346434706
2025;1;9;0,407845595
2025;1;10;0,946872295
2025;1;11;0,946686119
2025;1;12;0,947771339
2025;1;13;0,948237772
2025;1;14;0,948911884
2025;1;15;0,949268341
2025;1;16;0,949135414
2025;1;17;0,949129569
2025;1;18;0,949128408
2025;1;19;0,949268341
2025;1;20;145,8226177
2025;1;21;148,0531784
2025;1;22;146,9565542
2025;1;23;146,9567082
2025;2;0;156,9842647
2025;2;1;157,6469311
2025;2;2;149,7383066
2025;2;3;149,7383959
2025;2;4;149,7381785
2025;2;5;149,7376667
2025;2;6;34,78309512
2025;2;7;34,78298434
2025;2;8;12,77298443
2025;2;9;8,655596002
2025;2;10;4,711265426
2025;2;11;4,406176631
2025;2;12;4,408408613
2025;2;13;4,408374421
2025;2;14;4,412098687
2025;2;15;4,41341291
2025;2;16;4,413414076
2025;2;17;4,419707442
2025;2;18;4,723970771
2025;2;19;4,721303805
2025;2;20;162,7356959
2025;2;21;163,4812125
2025;2;22;162,73375
2025;2;23;162,7330391
2025;3;0;167,6982903
2025;3;1;168,8302891
2025;3;2;167,7070908
2025;3;3;167,7068441
2025;3;4;167,7072804
2025;3;5;167,7086969
2025;3;6;168,7350243
2025;3;7;52,36434274
2025;3;8;52,36416056
2025;3;9;38,38022276
2025;3;10;26,27258034
2025;3;11;9,610309488
2025;3;12;9,619306255
2025;3;13;9,61932987
2025;3;14;9,639970519
2025;3;15;9,653657913
2025;3;16;9,651858308
2025;3;17;9,64930481
2025;3;18;26,44358028
2025;3;19;170,7570383
2025;3;20;169,8855784
2025;3;21;169,8863654
2025;3;22;169,8865206
2025;3;23;167,7396784
2025;4;0;142,5938825
2025;4;1;142,2240314
2025;4;2;142,1386266
2025;4;3;142,1393533
2025;4;4;142,138667
2025;4;5;142,1385073
2025;4;6;142,7620177
2025;4;7;58,26162529
2025;4;8;67,32542716
2025;4;9;27,03611512
2025;4;10;9,664474254
2025;4;11;9,646125324
2025;4;12;9,657641032
2025;4;13;9,662670521
2025;4;14;9,674930813
2025;4;15;9,688574526
2025;4;16;9,67237479
2025;4;17;59,29436373
2025;4;18;58,77064613
2025;4;19;142,9461813
2025;4;20;143,0839173
2025;4;21;143,0828299
2025;4;22;142,8497725
2025;4;23;142,60962
2025;5;0;145,4047735
2025;5;1;143,0377911
2025;5;2;140,5573028
2025;5;3;134,9759138
2025;5;4;133,4242946
2025;5;5;133,4241795
2025;5;6;139,0060867
2025;5;7;44,1741076
2025;5;8;50,12448425
2025;5;9;35,38220139
2025;5;10;30,09735083
2025;5;11;29,55804964
2025;5;12;29,57371468
2025;5;13;29,62862589
2025;5;14;29,64886173
2025;5;15;30,299727
2025;5;16;30,33214229
2025;5;17;60,53375988
2025;5;18;146,8587257
2025;5;19;147,9712438
2025;5;20;148,0159054
2025;5;21;148,0156638
2025;5;22;147,9158614
2025;5;23;147,6737996
2025;6;0;107,6528087
2025;6;1;103,1345269
2025;6;2;97,78145203
2025;6;3;96,44402841
2025;6;4;96,44349118
2025;6;5;96,44436468
2025;6;6;103,4690378
2025;6;7;112,2582367
2025;6;8;43,63424963
2025;6;9;26,18719264
2025;6;10;26,40181469
2025;6;11;26,36279012
2025;6;12;26,31824842
2025;6;13;42,82845469
2025;6;14;42,87192051
2025;6;15;43,00394747
2025;6;16;43,05686717
2025;6;17;46,65262305
2025;6;18;127,4298812
2025;6;19;129,4677071
2025;6;20;129,4682681
2025;6;21;129,469087
2025;6;22;118,4866456
2025;6;23;116,4033876
2025;7;0;100,4316045
2025;7;1;100,0087514
2025;7;2;99,01222166
2025;7;3;98,80127787
2025;7;4;98,80154311
2025;7;5;98,80038561
2025;7;6;100,0115383
2025;7;7;102,6015217
2025;7;8;65,54931598
2025;7;9;12,99055701
2025;7;10;12,41721147
2025;7;11;22,93662727
2025;7;12;12,43452143
2025;7;13;12,45039278
2025;7;14;12,46233484
2025;7;15;12,46539731
2025;7;16;21,78313184
2025;7;17;65,5591979
2025;7;18;124,8650281
2025;7;19;128,8600246
2025;7;20;125,0959221
2025;7;21;125,0959843
2025;7;22;103,4593937
2025;7;23;102,5618064
2025;8;0;80,93480542
2025;8;1;80,23111629
2025;8;2;78,15908744
2025;8;3;78,17631265
2025;8;4;78,17743719
2025;8;5;78,17530499
2025;8;6;80,13884768
2025;8;7;25,46509127
2025;8;8;10,04217608
2025;8;9;16,72647707
2025;8;10;16,75049212
2025;8;11;16,76968412
2025;8;12;16,76968884
2025;8;13;16,2523093
2025;8;14;16,22636768
2025;8;15;16,22650372
2025;8;16;16,2264519
2025;8;17;25,68555981
2025;8;18;31,60811366
2025;8;19;84,55690936
2025;8;20;85,33087525
2025;8;21;84,97963478
2025;8;22;83,15087874
2025;8;23;82,43368889
2025;9;0;75,87422676
2025;9;1;74,55938337
2025;9;2;68,45112467
2025;9;3;67,01442911
2025;9;4;67,01873247
2025;9;5;67,01912769
2025;9;6;5,590494176
2025;9;7;5,209705013
2025;9;8;5,209771632
2025;9;9;1,018248025
2025;9;10;1,44823017
2025;9;11;1,44822311
2025;9;12;0,759915924
2025;9;13;0,75990783
2025;9;14;0,760813794
2025;9;15;1,450558904
2025;9;16;0,785438254
2025;9;17;4,351836279
2025;9;18;0,693287004
2025;9;19;78,02302828
2025;9;20;78,28180534
2025;9;21;78,16365
2025;9;22;77,42896467
2025;9;23;77,4274907
2025;10;0;80,31069738
2025;10;1;77,78734123
2025;10;2;77,38186572
2025;10;3;77,43908801
2025;10;4;77,43967006
2025;10;5;77,43289131
2025;10;6;3,99808415
2025;10;7;1,062428339
2025;10;8;1,082813372
2025;10;9;0,30485261
2025;10;10;0,611884993
2025;10;11;0,611630001
2025;10;12;0,611642434
2025;10;13;0,092510784
2025;10;14;0,092608748
2025;10;15;0,60968224
2025;10;16;0,60968224
2025;10;17;0,837624691
2025;10;18;0,885613823
2025;10;19;83,64222204
2025;10;20;87,58800703
2025;10;21;87,48215354
2025;10;22;87,48182375
2025;10;23;82,13493926
2025;11;0;68,95050365
2025;11;1;67,51089667
2025;11;2;63,17123979
2025;11;3;63,17110126
2025;11;4;63,17114052
2025;11;5;63,09378867
2025;11;6;0,193958223
2025;11;7;0,193954534
2025;11;8;0,097820984
2025;11;9;0,099139527
2025;11;10;0
2025;11;11;0
2025;11;12;0
2025;11;13;0
2025;11;14;0
2025;11;15;0
2025;11;16;0
2025;11;17;0
2025;11;18;0
2025;11;19;74,57355646
2025;11;20;84,01372829
2025;11;21;84,50802274
2025;11;22;84,50845709
2025;11;23;72,65641466
2025;12;0;61,49356371
2025;12;1;58,75405356
2025;12;2;54,96646849
2025;12;3;54,96648037
2025;12;4;54,96615979
2025;12;5;54,96644827
2025;12;6;2,242404276
2025;12;7;1,37993811
2025;12;8;0,693782129
2025;12;9;0,702717035
2025;12;10;6,2883E-05
2025;12;11;0
2025;12;12;0
2025;12;13;0
2025;12;14;0
2025;12;15;6,29426E-05
2025;12;16;6,29426E-05
2025;12;17;6,29426E-05
2025;12;18;6,29426E-05
2025;12;19;6,29493E-05
2025;12;20;69,80969034
2025;12;21;73,67796112
2025;12;22;73,67858572
2025;12;23;69,40468771
2026;1;0;73,74385136
2026;1;1;74,34048061
2026;1;2;71,97080113
2026;1;3;71,97084354
2026;1;4;71,97023056
2026;1;5;71,97026629
2026;1;6;0,741196581
2026;1;7;0,741195346
2026;1;8;0,177037231
2026;1;9;0,04896897
2026;1;10;0,103404746
2026;1;11;0,103401574
2026;1;12;0,103520107
2026;1;13;0,103571053
2026;1;14;0,103644683
2026;1;15;0,10366641
2026;1;16;0,103651893
2026;1;17;0,103651255
2026;1;18;0,103651128
2026;1;19;0,10366641
2026;1;20;76,4182461
2026;1;21;76,93484693
2026;1;22;76,59119654
2026;1;23;76,36184512
2026;2;0;83,63603901
2026;2;1;83,98908581
2026;2;2;84,01508081
2026;2;3;84,01513093
2026;2;4;84,01500894
2026;2;5;84,01472178
2026;2;6;1,478222258
2026;2;7;1,47821755
2026;2;8;0,660721851
2026;2;9;0,496364583
2026;2;10;0,16412208
2026;2;11;0,16371594
2026;2;12;0,163798871
2026;2;13;0,163797601
2026;2;14;0,16393598
2026;2;15;0,163984811
2026;2;16;0,163984854
2026;2;17;0,164218691
2026;2;18;0,164564684
2026;2;19;0,164471778
2026;2;20;85,2533732
2026;2;21;85,58394602
2026;2;22;85,25235381
2026;2;23;85,25198138
2026;3;0;93,90891954
2026;3;1;94,71974976
2026;3;2;94,79380417
2026;3;3;94,82370569
2026;3;4;94,82395235
2026;3;5;94,8247533
2026;3;6;94,73122058
2026;3;7;32,1287682
2026;3;8;34,99257665
2026;3;9;6,561891273
2026;3;10;5,948330301
2026;3;11;5,959038153
2026;3;12;5,964616753
2026;3;13;4,534980857
2026;3;14;5,976204348
2026;3;15;5,984689713
2026;3;16;5,983574065
2026;3;17;5,983217875
2026;3;18;4,543964965
2026;3;19;94,31092635
2026;3;20;93,85238378
2026;3;21;93,85281857
2026;3;22;93,87060276
2026;3;23;93,92644939
2026;4;0;97,54023208
2026;4;1;97,60725151
2026;4;2;97,48942839
2026;4;3;97,48992681
2026;4;4;97,48945609
2026;4;5;97,48934656
2026;4;6;98,1838036
2026;4;7;41,61837368
2026;4;8;48,32477329
2026;4;9;19,78456207
2026;4;10;8,715807859
2026;4;11;8,699260063
2026;4;12;8,709645388
2026;4;13;8,71418118
2026;4;14;8,725238
2026;4;15;8,737542444
2026;4;16;10,27056065
2026;4;17;45,41836967
2026;4;18;53,44185596
2026;4;19;97,36152857
2026;4;20;97,51477855
2026;4;21;97,51403741
2026;4;22;97,6860122
2026;4;23;97,61001551
2026;5;0;98,8818737
2026;5;1;99,20643739
2026;5;2;98,69440186
2026;5;3;97,79101461
2026;5;4;97,52441721
2026;5;5;97,52433308
2026;5;6;98,4281218
2026;5;7;38,1198612
2026;5;8;33,9509256
2026;5;9;34,87796101
2026;5;10;32,09491587
2026;5;11;31,36490177
2026;5;12;31,3815244
2026;5;13;34,68476734
2026;5;14;36,33205115
2026;5;15;33,02123078
2026;5;16;33,41219687
2026;5;17;41,03228344
2026;5;18;98,78467806
2026;5;19;98,31783597
2026;5;20;98,17210571
2026;5;21;98,17194551
2026;5;22;98,3761498
2026;5;23;98,78559749
2026;6;0;98,22484488
2026;6;1;97,22568357
2026;6;2;94,69097743
2026;6;3;94,26935002
2026;6;4;94,26882491
2026;6;5;94,26967871
2026;6;6;97,36644677
2026;6;7;98,75562575
2026;6;8;41,19493021
2026;6;9;30,55899672
2026;6;10;28,14642177
2026;6;11;28,10481849
2026;6;12;31,51181206
2026;6;13;42,75962808
2026;6;14;42,80302404
2026;6;15;42,93483883
2026;6;16;42,98767349
2026;6;17;45,06179923
2026;6;18;99,00355058
2026;6;19;99,01304863
2026;6;20;99,01347766
2026;6;21;99,07476633
2026;6;22;99,92393156
2026;6;23;99,60944078
2026;7;0;96,48728487
2026;7;1;95,92132903
2026;7;2;93,37748227
2026;7;3;92,84086301
2026;7;4;92,84111225
2026;7;5;92,84002457
2026;7;6;95,92400202
2026;7;7;95,4896271
2026;7;8;57,38220311
2026;7;9;11,31456382
2026;7;10;11,39227585
2026;7;11;21,31251774
2026;7;12;11,40815702
2026;7;13;11,42271833
2026;7;14;11,43367467
2026;7;15;11,43648435
2026;7;16;19,50741755
2026;7;17;57,4195212
2026;7;18;99,64237424
2026;7;19;100,4964625
2026;7;20;99,82662777
2026;7;21;99,82667746
2026;7;22;95,98051898
2026;7;23;96,13022223
2026;8;0;78,87495292
2026;8;1;79,03005751
2026;8;2;78,38168428
2026;8;3;78,36661132
2026;8;4;78,3677386
2026;8;5;78,36560121
2026;8;6;79,03184826
2026;8;7;25,35423086
2026;8;8;15,09095353
2026;8;9;18,05134641
2026;8;10;17,24181312
2026;8;11;17,26156805
2026;8;12;17,81906275
2026;8;13;18,65538646
2026;8;14;18,79468752
2026;8;15;20,18857859
2026;8;16;18,97005945
2026;8;17;25,57329855
2026;8;18;30,25987255
2026;8;19;79,40735793
2026;8;20;80,89198757
2026;8;21;80,74396647
2026;8;22;76,58765302
2026;8;23;77,17868603
2026;9;0;73,22300679
2026;9;1;73,55934388
2026;9;2;72,29323729
2026;9;3;72,01219575
2026;9;4;72,01682004
2026;9;5;72,01724473
2026;9;6;8,131591912
2026;9;7;4,262588059
2026;9;8;4,262642567
2026;9;9;2,58124809
2026;9;10;0,769767694
2026;9;11;0,769763941
2026;9;12;0,23557891
2026;9;13;0,235576401
2026;9;14;0,235857255
2026;9;15;0,77100547
2026;9;16;0,577857179
2026;9;17;1,758095078
2026;9;18;0,695604596
2026;9;19;73,34221096
2026;9;20;72,64535676
2026;9;21;72,53570884
2026;9;22;72,63121826
2026;9;23;72,78240133
2026;10;0;75,80337467
2026;10;1;71,31249998
2026;10;2;70,41034463
2026;10;3;70,46241162
2026;10;4;70,46294123
2026;10;5;70,4567732
2026;10;6;0,125846197
2026;10;7;0,126184126
2026;10;8;0,025538228
2026;10;9;0,025634262
2026;10;10;0,018703289
2026;10;11;0,018695495
2026;10;12;0,018695875
2026;10;13;0,018781921
2026;10;14;0,01880181
2026;10;15;0,042064133
2026;10;16;0,042064133
2026;10;17;0,042284407
2026;10;18;0,042410341
2026;10;19;73,9076166
2026;10;20;71,80772972
2026;10;21;71,7209473
2026;10;22;71,72067692
2026;10;23;72,57575722
2026;11;0;54,45906985
2026;11;1;54,17665463
2026;11;2;52,64082395
2026;11;3;52,64070851
2026;11;4;52,64074123
2026;11;5;52,57628365
2026;11;6;0,003585046
2026;11;7;0,002933162
2026;11;8;0,001643711
