Hora;G solar;CMg;;
1;-0,015;119,47;;
2;-0,015;108,53;;
3;-0,015;107,64;;
4;-0,015;107,64;;
5;-0,015;107,64;;
6;-0,015;107,64;;
7;-0,015;0,00;;
8;5,959205417;0,00;;
9;7,586106588;0,00;;
10;8,36446377;0,00;;
11;9,059818984;0,00;;
12;9,398371234;0,00;;
13;9,535955973;0,00;;
14;9,496002066;0,00;;
15;9,411169699;0,00;;
16;9,303638462;0,00;;
17;8,931750925;0,00;;
18;8,292559684;0,00;;
19;7,065553392;0,00;;
20;4,666796196;0,00;;
21;-0,015;135,62;;
22;-0,015;140,12;;
23;-0,015;137,74;;
24;-0,015;137,74;;
1;-0,015;119,47;;
2;-0,015;108,53;;
3;-0,015;107,64;;
4;-0,015;107,64;;
5;-0,015;107,64;;
6;-0,015;107,64;;
7;-0,015;0,00;;
8;0,378602774;0,00;;
9;0,898798278;0,00;;
10;1,638209143;0,00;;
11;3,356893949;0,00;;
12;9,372870827;0,00;;
13;9,467173214;0,00;;
14;9,52298364;0,00;;
15;9,412213332;0,00;;
16;9,309315866;0,00;;
17;8,880265394;0,00;;
18;8,234607757;0,00;;
19;7,085332865;0,00;;
20;4,750561366;0,00;;
21;-0,015;135,62;;
22;-0,015;140,12;;
23;-0,015;137,74;;
24;-0,015;137,74;;
1;-0,015;119,47;;
2;-0,015;108,53;;
3;-0,015;107,64;;
4;-0,015;107,64;;
5;-0,015;107,64;;
6;-0,015;107,64;;
7;-0,015;0,00;;
8;0,264148373;0,00;;
9;0,845816703;0,00;;
10;2,845696383;0,00;;
11;9,046778175;0,00;;
12;9,311192052;0,00;;
13;9,496761954;0,00;;
14;9,487485685;0,00;;
15;9,368004739;0,00;;
16;9,297302855;0,00;;
17;8,956476158;0,00;;
18;8,321022976;0,00;;
19;7,142125768;0,00;;
20;4,742403736;0,00;;
21;-0,015;135,62;;
22;-0,015;140,12;;
23;-0,015;137,74;;
24;-0,015;137,74;;
1;-0,015;119,47;;
2;-0,015;108,53;;
3;-0,015;107,64;;
4;-0,015;107,64;;
5;-0,015;107,64;;
6;-0,015;107,64;;
7;-0,015;0,00;;
8;0,374804433;0,00;;
9;1,339438229;0,00;;
10;8,484194732;0,00;;
11;9,040620285;0,00;;
12;9,376529523;0,00;;
13;9,490091117;0,00;;
14;9,564878148;0,00;;
15;9,51657503;0,00;;
16;9,272336138;0,00;;
17;9,004188842;0,00;;
18;8,354996303;0,00;;
19;7,198814012;0,00;;
20;4,810727556;0,00;;
21;-0,015;135,62;;
22;-0,015;140,12;;
23;-0,015;137,74;;
24;-0,015;137,74;;
1;-0,015;119,47;;
2;-0,015;108,53;;
3;-0,015;107,64;;
4;-0,015;107,64;;
5;-0,015;107,64;;
6;-0,015;107,64;;
7;-0,015;0,00;;
8;0,181804651;0,00;;
9;0,628273581;0,00;;
10;1,786641975;0,00;;
11;4,193675083;0,00;;
12;6,514588436;0,00;;
13;7,412947367;0,00;;
14;7,811676947;0,00;;
15;6,60632331;0,00;;
16;5,614579773;0,00;;
17;4,428816736;0,00;;
18;2,525476268;0,00;;
19;1,123929847;0,00;;
20;4,793595876;0,00;;
21;-0,015;135,62;;
22;-0,015;140,12;;
23;-0,015;137,74;;
24;-0,015;137,74;;
1;-0,015;119,47;;
2;-0,015;108,53;;
3;-0,015;107,64;;
4;-0,015;107,64;;
5;-0,015;107,64;;
6;-0,015;107,64;;
7;-0,015;0,00;;
8;0,262489897;0,00;;
9;0,803617637;0,00;;
10;1,515296008;0,00;;
11;1,863531418;0,00;;
12;9,277142183;0,00;;
13;9,403202562;0,00;;
14;9,401462002;0,00;;
15;9,405923102;0,00;;
16;9,243515563;0,00;;
17;8,857854233;0,00;;
18;8,247765621;0,00;;
19;7,080901533;0,00;;
20;4,723831739;0,00;;
21;-0,015;135,62;;
22;-0,015;140,12;;
23;-0,015;137,74;;
24;-0,015;137,74;;
1;-0,015;119,47;;
2;-0,015;108,53;;
3;-0,015;107,64;;
4;-0,015;107,64;;
5;-0,015;107,64;;
6;-0,015;107,64;;
7;-0,015;0,00;;
8;0,256716196;0,00;;
9;0,756498813;0,00;;
10;1,36393302;0,00;;
11;3,269419318;0,00;;
12;9,268139267;0,00;;
13;9,410806817;0,00;;
14;9,451684061;0,00;;
15;9,431563887;0,00;;
16;9,227557727;0,00;;
17;8,925570332;0,00;;
18;8,294158442;0,00;;
19;7,096347635;0,00;;
20;4,728182539;0,00;;
21;-0,015;135,62;;
22;-0,015;140,12;;
23;-0,015;137,74;;
24;-0,015;137,74;;
1;-0,015;119,47;;
2;-0,015;108,53;;
3;-0,015;107,64;;
4;-0,015;107,64;;
5;-0,015;107,64;;
6;-0,015;107,64;;
7;-0,015;0,00;;
8;5,809479796;0,00;;
9;7,558542294;0,00;;
10;8,522695196;0,00;;
11;9,034479261;0,00;;
12;9,347975095;0,00;;
13;9,479716756;0,00;;
14;9,473787194;0,00;;
15;9,350980848;0,00;;
16;9,223062107;0,00;;
17;8,808582021;0,00;;
18;8,192403995;0,00;;
19;7,099045839;0,00;;
20;4,785422522;0,00;;
21;-0,015;135,62;;
22;-0,015;140,12;;
23;-0,015;137,74;;
24;-0,015;137,74;;
1;-0,015;119,47;;
2;-0,015;108,53;;
3;-0,015;107,64;;
4;-0,015;107,64;;
