Hora;G solar
0;-0,21
1;-0,21
2;-0,21
3;-0,21
4;-0,21
5;-0,21
6;-0,21
7;61,47
8;77,20
9;85,50
10;90,03
11;93,58
12;93,77
13;94,00
14;93,55
15;92,59
16;89,43
17;83,11
18;71,59
19;50,27
20;-0,21
21;-0,21
22;-0,21
23;-0,21
0;-0,21
1;-0,21
2;-0,21
3;-0,21
4;-0,21
5;-0,21
6;-0,19
7;62,27
8;78,47
9;86,47
10;91,39
11;93,25
12;93,35
13;93,00
14;94,14
15;92,49
16;89,32
17;83,04
18;72,28
19;51,48
20;-0,21
21;-0,21
22;-0,21
23;-0,21
0;-0,21
1;-0,21
2;-0,21
3;-0,21
4;-0,21
5;-0,21
6;-0,21
7;3,49
8;9,57
9;19,02
10;89,80
11;91,83
12;92,93
13;93,23
14;93,20
15;92,14
16;88,69
17;82,69
18;71,84
19;51,18
20;-0,21
21;-0,21
22;-0,21
23;-0,21
0;-0,21
1;-0,21
2;-0,21
3;-0,21
4;-0,21
5;-0,21
6;-0,21
7;3,30
8;9,39
9;20,69
10;89,39
11;91,23
12;91,79
13;92,08
14;92,91
15;91,61
16;88,64
17;82,89
18;71,94
19;51,50
20;-0,21
21;-0,21
22;-0,21
23;-0,21
0;-0,21
1;-0,21
2;-0,21
3;-0,21
4;-0,21
5;-0,21
6;-0,21
7;3,01
8;7,72
9;13,37
10;27,43
11;92,81
12;94,11
13;93,61
14;93,44
15;92,13
16;88,89
17;82,71
18;72,22
19;51,84
20;-0,21
21;-0,21
22;-0,21
23;-0,21
0;-0,21
1;-0,21
2;-0,21
3;-0,21
4;-0,21
5;-0,21
6;-0,21
7;2,95
8;7,46
9;12,57
10;18,14
11;60,38
12;91,40
13;71,14
14;75,31
15;62,86
16;24,18
17;28,80
18;70,99
19;50,64
20;-0,21
21;-0,21
22;-0,21
23;-0,21
0;-0,21
1;-0,21
2;-0,21
3;-0,21
4;-0,21
5;-0,21
6;-0,21
7;3,56
8;11,79
9;23,34
10;29,53
11;91,40
12;93,08
13;93,38
