Año;Mes;Hora;CMg
2025;1;0;112,2682538
2025;1;1;103,6626194
2025;1;2;102,3767206
2025;1;3;102,3778341
2025;1;4;102,3768316
2025;1;5;102,376682
2025;1;6;0
2025;1;7;0
2025;1;8;0
2025;1;9;0
2025;1;10;0
2025;1;11;0
2025;1;12;0
2025;1;13;0
2025;1;14;0
2025;1;15;0
2025;1;16;0
2025;1;17;0
2025;1;18;0
2025;1;19;0
2025;1;20;127,7318383
2025;1;21;132,0201505
2025;1;22;129,6694284
2025;1;23;129,669223
2025;2;0;129,1660459
2025;2;1;129,7544822
2025;2;2;120,1173685
2025;2;3;120,1167385
2025;2;4;120,1169472
2025;2;5;120,1172381
2025;2;6;11,3262111
2025;2;7;11,32615762
2025;2;8;6,557255025
2025;2;9;5,573545856
2025;2;10;0,997218789
2025;2;11;0,99704365
2025;2;12;0,997495796
2025;2;13;0,997477611
2025;2;14;0,99801346
2025;2;15;0,998122717
2025;2;16;0,998119079
2025;2;17;0,99927109
2025;2;18;0,999275611
2025;2;19;0,99713146
2025;2;20;136,3759429
2025;2;21;137,166685
2025;2;22;136,3754681
2025;2;23;136,3749733
2025;3;0;136,5503358
2025;3;1;137,3714418
2025;3;2;136,8753515
2025;3;3;136,8741657
2025;3;4;136,8743298
2025;3;5;136,8749931
2025;3;6;137,3833256
2025;3;7;33,70163975
2025;3;8;33,70168768
2025;3;9;17,30175199
2025;3;10;8,561801285
2025;3;11;8,47421969
2025;3;12;8,479279745
2025;3;13;8,479374328
2025;3;14;8,492362639
2025;3;15;8,5
2025;3;16;8,499188576
2025;3;17;8,497811772
2025;3;18;8,599192901
2025;3;19;142,4732705
2025;3;20;141,3594394
2025;3;21;141,3598193
2025;3;22;141,35956
2025;3;23;135,6538215
2025;4;0;126,3886667
2025;4;1;125,375567
2025;4;2;125,3190381
2025;4;3;125,3191733
2025;4;4;125,3193262
2025;4;5;125,3187557
2025;4;6;125,813854
2025;4;7;46,89541447
2025;4;8;54,33085711
2025;4;9;23,20549006
2025;4;10;9,979832366
2025;4;11;9,967887128
2025;4;12;9,976726141
2025;4;13;9,979157387
