Año;Mes;Hora;CMg
2025;1;0;141,5157545
2025;1;1;135,1755376
2025;1;2;131,4332682
2025;1;3;131,4330002
2025;1;4;131,4333913
2025;1;5;131,4320874
2025;1;6;6,878663353
2025;1;7;6,878712942
2025;1;8;1,377019129
2025;1;9;0,410913031
2025;1;10;0,954899077
2025;1;11;0,953646091
2025;1;12;0,953638245
2025;1;13;0,953664727
2025;1;14;0,95368176
2025;1;15;0,954968101
2025;1;16;0,954943548
2025;1;17;0,95493072
2025;1;18;0,954899055
2025;1;19;0,955064354
2025;1;20;148,8936646
2025;1;21;151,3231191
2025;1;22;150,2811613
2025;1;23;150,280859
2025;2;0;159,4673735
2025;2;1;159,6193465
2025;2;2;151,2840439
2025;2;3;151,2839611
2025;2;4;151,2839488
2025;2;5;151,2851297
2025;2;6;35,28395459
2025;2;7;35,28435299
2025;2;8;12,93219146
2025;2;9;8,719000125
2025;2;10;4,757554586
2025;2;11;4,447150465
2025;2;12;4,447406931
2025;2;13;4,44739253
2025;2;14;4,447411434
2025;2;15;4,447953156
2025;2;16;4,447986846
2025;2;17;4,447765495
2025;2;18;4,757660047
2025;2;19;4,769614292
2025;2;20;165,2966673
2025;2;21;166,0322185
2025;2;22;165,2990837
2025;2;23;165,2985478
2025;3;0;171,1582829
2025;3;1;171,0889359
2025;3;2;169,8850074
2025;3;3;169,8854579
2025;3;4;169,8855303
2025;3;5;169,8851991
2025;3;6;170,9740588
2025;3;7;53,50223549
2025;3;8;53,5020221
2025;3;9;38,9868247
2025;3;10;26,68221164
2025;3;11;9,738529285
2025;3;12;9,73973637
2025;3;13;9,739614185
2025;3;14;9,739568575
2025;3;15;9,739842802
2025;3;16;9,739846949
2025;3;17;9,739081326
2025;3;18;26,67829926
2025;3;19;173,2113561
2025;3;20;173,4467084
2025;3;21;173,4462536
2025;3;22;173,4466177
2025;3;23;171,7254099
2025;4;0;145,4529124
2025;4;1;144,2049348
2025;4;2;144,0659258
2025;4;3;144,0652367
