Hora;G solar
0;-0,01
1;-0,01
2;-0,01
3;-0,01
4;-0,01
5;-0,01
6;0,022881533
7;6,874756506
8;8,560693627
9;9,483526303
10;9,933477116
11;10,15856599
12;10,22281589
13;10,09288948
14;10,03597035
15;9,865555252
16;9,533703987
17;8,938842134
18;7,709695338
19;5,559371979
20;-0,01
21;-0,01
22;-0,01
23;-0,01
0;-0,01
1;-0,01
2;-0,01
3;-0,01
4;-0,01
5;-0,01
6;0,017492218
7;6,834998354
8;8,449476639
9;9,317256241
10;9,755140364
11;9,890432876
12;9,92390986
13;9,872817566
14;9,823044405
15;9,679300413
16;9,3711196
17;8,77531581
18;7,699829488
19;5,691469708
20;-0,01
21;-0,01
22;-0,01
23;-0,01
0;-0,01
1;-0,01
2;-0,01
3;-0,01
4;-0,01
5;-0,01
6;0,014385451
7;6,757385301
8;8,382518375
9;9,182991032
10;9,5968499
11;9,712801892
12;9,783776507
13;9,720565611
14;9,644974808
15;9,464458512
16;9,15630064
17;8,564114434
18;7,525070199
19;5,567173079
20;-0,01
21;-0,01
22;-0,01
23;-0,01
0;-0,01
1;-0,01
2;-0,01
3;-0,01
4;-0,01
5;-0,01
6;0,010400999
7;6,639216292
8;8,306827583
9;9,197979226
10;9,484290016
11;9,721521897
12;9,666384921
13;9,655914663
14;9,61900956
15;9,497313083
16;9,209782508
17;8,62561319
18;7,571973951
19;5,574789099
20;-0,01
21;-0,01
22;-0,01
23;-0,01
0;-0,01
1;-0,01
2;-0,01
3;-0,01
4;-0,01
5;-0,01
6;0,007094438
7;0,489255747
8;1,605754644
9;9,183445092
10;9,65450852
11;9,731953128
12;9,789482879
13;9,754630918
14;9,742293694
15;9,581835018
16;9,259846403
17;8,650391466
18;7,604646916
19;5,607444699
20;-0,01
21;-0,01
22;-0,01
23;-0,01
0;-0,01
1;-0,01
2;-0,01
3;-0,01
4;-0,01
5;-0,01
6;0,002253139
7;6,580117255
8;8,299467383
9;9,194468027
10;9,603842136
11;9,789179349
12;9,823418585
13;9,79304069
14;9,74454599
15;9,597380277
16;3,279264424
17;1,406740876
18;0,805455184
19;5,60180066
20;-0,01
21;-0,01
22;-0,01
23;-0,01
0;-0,01
1;-0,01
2;-0,01
3;-0,01
4;-0,01
5;-0,01
6;-0,002736498
7;6,402469272
8;1,307860929
9;2,358189129
10;2,7638708
11;4,528243821
12;4,8263249
13;8,03562691
14;8,014569042
15;9,558819243
16;9,231616703
17;8,63920036
18;7,598614988
19;5,559639041
20;-0,01
21;-0,01
22;-0,01
23;-0,01
0;-0,01
1;-0,01
2;-0,01
3;-0,01
4;-0,01
5;-0,01
6;-0,006510463
7;6,512424159
8;8,174374137
9;9,132052193
10;9,58211122
11;9,694518471
12;9,798845587
13;9,727724189
14;9,646357187
15;9,524093775
16;9,251848069
17;8,776076873
18;7,653899023
19;5,580156297
20;-0,01
21;-0,01
22;-0,01
23;-0,01
0;-0,01
1;-0,01
2;-0,01
3;-0,01
4;-0,01
5;-0,01
6;-0,008667706
7;6,800443068
8;8,489983698
9;9,31859475
10;9,796831746
11;10,0520267
12;10,02489989
13;9,991749101
14;9,921638371
15;9,783593347
16;9,46353522
