Hora;G solar
0;-0,01
1;-0,01
2;-0,01
3;-0,01
4;-0,01
5;-0,01
6;0,03
7;7,52
8;9,37
9;10,38
10;10,87
11;11,12
12;11,19
13;11,04
14;10,98
15;10,80
16;10,43
17;9,78
18;8,44
19;6,08
20;-0,01
21;-0,01
22;-0,01
23;-0,01
0;-0,01
1;-0,01
2;-0,01
3;-0,01
4;-0,01
5;-0,01
6;0,02
7;7,48
8;9,25
9;10,20
10;10,67
11;10,82
12;10,86
13;10,80
14;10,75
15;10,59
16;10,25
17;9,60
18;8,43
19;6,23
20;-0,01
21;-0,01
22;-0,01
23;-0,01
0;-0,01
1;-0,01
2;-0,01
3;-0,01
4;-0,01
5;-0,01
6;0,02
7;7,39
8;9,17
9;10,05
10;10,50
11;10,63
12;10,71
13;10,64
14;10,55
15;10,36
16;10,02
17;9,37
18;8,23
19;6,09
20;-0,01
21;-0,01
22;-0,01
23;-0,01
0;-0,01
1;-0,01
2;-0,01
3;-0,01
4;-0,01
5;-0,01
6;0,01
7;7,26
8;9,09
9;10,06
10;10,38
11;10,64
12;10,58
13;10,57
14;10,53
15;10,39
16;10,08
17;9,44
18;8,29
19;6,10
20;-0,01
21;-0,01
22;-0,01
23;-0,01
0;-0,01
1;-0,01
2;-0,01
3;-0,01
4;-0,01
5;-0,01
6;0,01
7;0,54
8;1,76
9;10,05
10;10,56
11;10,65
12;10,71
13;10,67
14;10,66
15;10,48
16;10,13
17;9,47
18;8,32
19;6,14
20;-0,01
21;-0,01
22;-0,01
23;-0,01
0;-0,01
1;-0,01
2;-0,01
3;-0,01
4;-0,01
5;-0,01
6;0,00
7;7,20
8;9,08
9;10,06
10;10,51
11;10,71
12;10,75
13;10,72
14;10,66
15;10,50
16;3,59
17;1,54
18;0,88
19;6,13
20;-0,01
21;-0,01
22;-0,01
23;-0,01
0;-0,01
1;-0,01
2;-0,01
3;-0,01
4;-0,01
5;-0,01
6;0,00
7;7,01
8;1,43
9;2,58
10;3,02
11;4,95
12;5,28
13;8,79
14;8,77
15;10,46
16;10,10
17;9,45
18;8,31
19;6,08
20;-0,01
21;-0,01
22;-0,01
23;-0,01
0;-0,01
1;-0,01
2;-0,01
3;-0,01
4;-0,01
5;-0,01
6;-0,01
7;7,13
8;8,94
9;9,99
10;10,49
11;10,61
12;10,72
13;10,64
14;10,56
15;10,42
16;10,12
17;9,60
18;8,38
19;6,11
20;-0,01
21;-0,01
22;-0,01
23;-0,01
0;-0,01
1;-0,01
2;-0,01
3;-0,01
4;-0,01
5;-0,01
6;-0,01
7;7,44
8;9,29
9;10,20
10;10,72
11;11,00
12;10,97
13;10,93
14;10,86
15;10,71
16;10,36
17;9,72
18;8,53
19;6,32
20;-0,01
21;-0,01
22;-0,01
23;-0,01
0;-0,01
1;-0,01
2;-0,01
3;-0,01
4;-0,01
5;-0,01
6;-0,01
7;7,23
8;9,09
9;10,05
10;10,55
11;10,73
12;10,79
13;10,78
14;10,67
15;10,52
16;10,25
17;9,65
18;8,52
19;6,32
20;-0,01
21;-0,01
22;-0,01
23;-0,01
0;-0,01
1;-0,01
2;-0,01
3;-0,01
4;-0,01
5;-0,01
