Hora;G solar
0;-0,0157
1;-0,0157
2;-0,0157
3;-0,0157
4;-0,0157
5;-0,0157
6;0,0435
7;7,1676
8;8,7890
9;9,4453
10;9,6492
11;9,6910
12;9,6465
13;9,5010
14;9,5027
15;9,4697
16;9,3398
17;8,9985
18;7,9737
19;5,7996
20;-0,0157
21;-0,0157
22;-0,0157
23;-0,0157
0;-0,0157
1;-0,0157
2;-0,0157
3;-0,0157
4;-0,0157
5;-0,0157
6;0,0372
7;7,1154
8;8,6609
9;9,2691
10;9,4717
11;9,4331
12;9,3642
13;9,2915
14;9,2975
15;9,2863
16;9,1754
17;8,8286
18;7,9567
19;5,9281
20;-0,0157
21;-0,0157
22;-0,0157
23;-0,0157
0;-0,0157
1;-0,0157
2;-0,0157
3;-0,0157
4;-0,0157
5;-0,0157
6;0,0336
7;7,0335
8;8,5931
9;9,1335
10;9,3155
11;9,2613
12;9,2291
13;9,1446
14;9,1254
15;9,0751
16;8,9583
17;8,6069
18;7,7676
19;5,7951
20;-0,0157
21;-0,0157
22;-0,0157
23;-0,0157
0;-0,0157
1;-0,0157
2;-0,0157
3;-0,0157
4;-0,0157
5;-0,0157
6;0,0289
7;6,9054
8;8,5158
9;9,1512
10;9,2035
11;9,2671
12;9,1158
13;9,0801
14;9,0960
15;9,1024
16;9,0080
17;8,6683
18;7,8184
19;5,8025
20;-0,0157
21;-0,0157
22;-0,0157
23;-0,0157
0;-0,0157
1;-0,0157
2;-0,0157
3;-0,0157
4;-0,0157
5;-0,0157
6;0,0251
7;0,5314
8;1,5710
9;9,1357
10;9,3698
11;9,2740
12;9,2259
13;9,1673
14;9,2063
15;9,1787
16;9,0533
17;8,6890
18;7,8484
19;5,8330
20;-0,0157
21;-0,0157
22;-0,0157
23;-0,0157
0;-0,0157
1;-0,0157
2;-0,0157
3;-0,0157
4;-0,0157
5;-0,0157
6;0,0194
7;6,8418
8;8,5109
9;9,1486
10;9,3178
11;9,3252
12;9,2542
13;9,1984
14;9,2040
15;9,1882
16;3,1307
17;1,3438
18;0,8140
19;5,8232
20;-0,0157
21;-0,0157
22;-0,0157
23;-0,0157
0;-0,0157
1;-0,0157
2;-0,0157
3;-0,0157
4;-0,0157
5;-0,0157
6;0,0134
7;6,6463
8;1,2827
9;2,2522
10;2,6374
11;4,3216
12;4,6045
13;7,6551
14;7,6408
15;9,1460
16;9,0159
17;8,6694
18;7,8346
19;5,7737
20;-0,0157
21;-0,0157
22;-0,0157
23;-0,0157
0;-0,0157
1;-0,0157
2;-0,0157
3;-0,0157
4;-0,0157
5;-0,0157
6;0,0090
7;6,7566
8;8,3634
9;9,0757
10;9,2890
11;9,2284
12;9,2240
13;9,1297
14;9,1033
15;9,1064
16;9,0250
17;8,7968
18;7,8813
19;5,7889
20;-0,0157
21;-0,0157
22;-0,0157
