Hora;G solar;;
0;-0,015;;
1;-0,015;;
2;-0,015;;
3;-0,015;;
4;-0,015;;
5;-0,015;;
6;-0,015;;
7;14,92051354;;
8;18,98776647;;
9;20,93365942;;
10;22,67204746;;
11;23,51842808;;
12;23,86238993;;
13;23,76250517;;
14;23,55042425;;
15;23,28159615;;
16;22,35187732;;
17;20,75389921;;
18;17,68638348;;
19;11,68949049;;
20;-0,015;;
21;-0,015;;
22;-0,015;;
23;-0,015;;
0;-0,015;;
1;-0,015;;
2;-0,015;;
3;-0,015;;
4;-0,015;;
5;-0,015;;
6;-0,015;;
7;0,969006935;;
8;2,269495694;;
9;4,118022857;;
10;8,414734873;;
11;23,45467707;;
12;23,69043303;;
13;23,8299591;;
14;23,55303333;;
15;23,29578967;;
16;22,22316348;;
17;20,6090194;;
18;17,73583216;;
19;11,89890342;;
20;-0,015;;
21;-0,015;;
22;-0,015;;
23;-0,015;;
0;-0,015;;
1;-0,015;;
2;-0,015;;
3;-0,015;;
4;-0,015;;
5;-0,015;;
6;-0,015;;
7;0,682870933;;
8;2,137041758;;
9;7,136740958;;
10;22,63944543;;
11;23,30048013;;
12;23,76440489;;
13;23,74121421;;
14;23,44251185;;
15;23,26575713;;
16;22,4136904;;
17;20,82505744;;
18;17,87781443;;
19;11,87850934;;
20;-0,015;;
21;-0,015;;
22;-0,015;;
23;-0,015;;
0;-0,015;;
1;-0,015;;
2;-0,015;;
3;-0,015;;
4;-0,015;;
5;-0,015;;
6;-0,015;;
7;0,959511082;;
8;3,371095573;;
9;21,23298683;;
10;22,62405072;;
11;23,46382381;;
12;23,74772779;;
13;23,93469537;;
14;23,81393758;;
15;23,20334034;;
16;22,5329721;;
17;20,90999075;;
18;18,01953503;;
19;12,04931889;;
20;-0,015;;
21;-0,015;;
22;-0,015;;
23;-0,015;;
0;-0,015;;
1;-0,015;;
2;-0,015;;
3;-0,015;;
4;-0,015;;
5;-0,015;;
6;-0,015;;
7;0,477011629;;
8;1,593183953;;
9;4,489104938;;
10;10,50668771;;
11;16,30897109;;
12;18,55486841;;
13;19,55169237;;
14;16,53830827;;
15;14,05894943;;
16;11,09454184;;
17;6,33619067;;
18;2,832324618;;
19;12,00648969;;
20;-0,015;;
21;-0,015;;
22;-0,015;;
23;-0,015;;
0;-0,015;;
1;-0,015;;
2;-0,015;;
3;-0,015;;
4;-0,015;;
5;-0,015;;
6;-0,015;;
7;0,678724742;;
8;2,031544092;;
9;3,810740018;;
10;4,681328544;;
11;23,21535546;;
12;23,53050641;;
13;23,52615501;;
14;23,53730775;;
15;23,13128891;;
16;22,16713559;;
17;20,64191405;;
18;17,72475383;;
19;11,83207935;;
20;-0,015;;
21;-0,015;;
22;-0,015;;
23;-0,015;;
0;-0,015;;
1;-0,015;;
2;-0,015;;
3;-0,015;;
4;-0,015;;
5;-0,015;;
6;-0,015;;
7;0,66429049;;
8;1,913747031;;
9;3,432332549;;
10;8,196048294;;
11;23,19284817;;
12;23,54951705;;
13;23,65171016;;
14;23,60140972;;
15;23,09139432;;
16;22,33642583;;
17;20,75789611;;
18;17,76336908;;
19;11,84295635;;
20;-0,015;;
21;-0,015;;
22;-0,015;;
23;-0,015;;
0;-0,015;;
1;-0,015;;
2;-0,015;;
3;-0,015;;
4;-0,015;;
5;-0,015;;
6;-0,015;;
7;14,54619949;;
8;18,91885574;;
9;21,32923799;;
10;22,60869815;;
11;23,39243774;;
12;23,72179189;;
13;23,70696799;;
14;23,39995212;;
15;23,08015526;;
16;22,04395505;;
17;20,50350998;;
18;17,77011459;;
19;11,98605631;;
20;-0,015;;
21;-0,015;;
22;-0,015;;
23;-0,015;;
0;-0,015;;
1;-0,015;;
2;-0,015;;
3;-0,015;;
4;-0,015;;
5;-0,015;;
6;-0,015;;
7;0,598082189;;
8;1,948243028;;
9;3,929613991;;
10;22,53388752;;
11;23,28020077;;
12;23,63324939;;
13;23,56319124;;
14;23,31195372;;
15;23,12743137;;
16;22,27859385;;
17;20,63808662;;
18;17,80352585;;
19;12,00665739;;
20;-0,015;;
21;-0,015;;
22;-0,015;;
23;-0,015;;
0;-0,015;;
1;-0,015;;
2;-0,015;;
3;-0,015;;
4;-0,015;;
5;-0,015;;
6;-0,015;;
7;0,719196779;;
8;2,326898187;;
9;21,3615809;;
10;22,62254594;;
11;23,16400963;;
12;23,70632874;;
13;23,93514897;;
14;23,76432041;;
15;23,4030936;;
16;22,48365883;;
17;20,77557495;;
18;17,93443973;;
19;12,10366423;;
20;-0,015;;
21;-0,015;;
22;-0,015;;
23;-0,015;;
0;-0,015;;
1;-0,015;;
2;-0,015;;
3;-0,015;;
4;-0,015;;
5;-0,015;;
6;-0,015;;
7;0,584523024;;
8;1,856150681;;
9;3,679856539;;
10;22,45663121;;
11;23,48233378;;
12;23,61470837;;
13;23,65195312;;
14;23,82195037;;
15;23,31743594;;
16;22,35801897;;
17;20,7463946;;
18;17,91190049;;
19;12,09094565;;
20;-0,015;;
21;-0,015;;
22;-0,015;;
23;-0,015;;
0;-0,015;;
1;-0,015;;
2;-0,015;;
3;-0,015;;
4;-0,015;;
5;-0,015;;
6;-0,015;;
7;0,615316561;;
8;2,032768256;;
9;3,841154303;;
10;6,894966824;;
11;23,40953893;;
12;23,77308252;;
13;23,87827489;;
14;23,75183898;;
15;23,34557216;;
16;22,49673471;;
17;20,91607813;;
18;17,99216711;;
19;12,10957918;;
20;-0,015;;
21;-0,015;;
22;-0,015;;
23;-0,015;;
0;-0,015;;
1;-0,015;;
2;-0,015;;
3;-0,015;;
4;-0,015;;
5;-0,015;;
6;-0,015;;
7;0,651804925;;
8;2,186711795;;
9;4,047521076;;
10;22,44753981;;
11;23,41365208;;
12;23,78690312;;
13;23,93878734;;
14;23,55247334;;
15;23,42191782;;
16;22,47638921;;
17;20,92837967;;
18;17,92943191;;
19;12,07375259;;
20;-0,015;;
21;-0,015;;
22;-0,015;;
23;-0,015;;
0;-0,015;;
1;-0,015;;
2;-0,015;;
3;-0,015;;
4;-0,015;;
5;-0,015;;
6;-0,015;;
7;0,704824854;;
8;2,730568648;;
9;20,937577;;
10;22,32542982;;
11;23,42831129;;
12;23,93017384;;
13;23,74237704;;
14;23,59707383;;
15;23,34296861;;
16;22,70667562;;
17;21,01390136;;
18;18,06149196;;
19;12,22062689;;
20;-0,015;;
21;-0,015;;
22;-0,015;;
23;-0,015;;
0;-0,015;;
1;-0,015;;
2;-0,015;;
3;-0,015;;
4;-0,015;;
5;-0,015;;
6;-0,015;;
7;13,94100974;;
8;18,80818295;;
9;21,19946189;;
10;22,46006768;;
11;23,42395544;;
12;23,68493171;;
13;23,73832765;;
14;23,58959361;;
15;23,18785766;;
16;22,34879425;;
17;20,79858893;;
18;17,98702325;;
19;12,20403011;;
20;-0,015;;
21;-0,015;;
22;-0,015;;
23;-0,015;;
0;-0,015;;
1;-0,015;;
2;-0,015;;
3;-0,015;;
4;-0,015;;
5;-0,015;;
6;-0,015;;
7;0,702629395;;
8;2,346713654;;
9;5,356837148;;
10;22,66454556;;
11;23,54710855;;
12;23,88539376;;
13;23,91905563;;
14;23,91521844;;
15;23,55922064;;
16;22,54382309;;
17;21,07742331;;
18;18,13466639;;
19;12,25995482;;
20;-0,015;;
21;-0,015;;
22;-0,015;;
23;-0,015;;
0;-0,015;;
1;-0,015;;
2;-0,015;;
3;-0,015;;
4;-0,015;;
5;-0,015;;
6;-0,015;;
7;0,614033454;;
8;1,958844561;;
9;4,199010962;;
10;22,63433141;;
11;23,57644409;;
12;23,89489237;;
13;24,13160465;;
14;24,09826939;;
15;23,44849321;;
16;22,75275735;;
17;21,02556493;;
18;18,21825311;;
19;12,33235667;;
20;-0,015;;
21;-0,015;;
22;-0,015;;
23;-0,015;;
0;-0,015;;
1;-0,015;;
2;-0,015;;
3;-0,015;;
4;-0,015;;
5;-0,015;;
6;-0,015;;
7;0,471209668;;
8;1,495225943;;
9;2,647201732;;
10;4,084069511;;
11;5,577205371;;
12;8,04615943;;
13;14,61748647;;
14;18,70842537;;
15;23,63017698;;
16;22,67109584;;
17;21,2211684;;
18;18,24771795;;
19;12,30853884;;
20;-0,015;;
21;-0,015;;
22;-0,015;;
23;-0,015;;
0;-0,015;;
1;-0,015;;
2;-0,015;;
3;-0,015;;
4;-0,015;;
5;-0,015;;
6;-0,015;;
7;0,450920788;;
8;1,533248169;;
9;2,920863767;;
10;4,182110647;;
11;6,780556568;;
12;12,28546624;;
13;24,02858943;;
14;23,89859289;;
15;23,65863835;;
16;22,8691979;;
17;21,29025452;;
18;18,4274414;;
19;12,35660405;;
20;-0,015;;
21;-0,015;;
22;-0,015;;
23;-0,015;;
0;-0,015;;
1;-0,015;;
2;-0,015;;
3;-0,015;;
4;-0,015;;
5;-0,015;;
6;-0,015;;
7;13,81516266;;
8;18,82719471;;
9;21,27254564;;
10;22,74324693;;
11;23,61580498;;
12;23,85933839;;
13;24,13015352;;
14;23,86308428;;
15;23,5275638;;
16;22,94254905;;
17;21,26080046;;
18;18,38244431;;
19;12,28018151;;
20;-0,015;;
21;-0,015;;
22;-0,015;;
23;-0,015;;
0;-0,015;;
1;-0,015;;
2;-0,015;;
3;-0,015;;
4;-0,015;;
5;-0,015;;
6;-0,015;;
7;0,619568371;;
8;2,491358544;;
9;21,05445385;;
10;22,53745179;;
11;23,58080574;;
12;23,76974175;;
13;24,08992826;;
14;23,72351397;;
15;23,45203061;;
16;22,80326905;;
17;21,19433629;;
18;18,29039522;;
19;12,24575109;;
20;-0,015;;
21;-0,015;;
22;-0,015;;
23;-0,015;;
0;-0,015;;
1;-0,015;;
2;-0,015;;
3;-0,015;;
4;-0,015;;
5;-0,015;;
6;-0,015;;
7;0,518015212;;
8;1,55190409;;
9;3,307947984;;
10;6,31264366;;
11;23,41928588;;
12;23,93370585;;
13;24,05881176;;
14;23,92808287;;
15;23,41526319;;
16;22,73128766;;
17;21,22434383;;
18;18,15668098;;
19;12,10640981;;
20;-0,015;;
21;-0,015;;
22;-0,015;;
23;-0,015;;
0;-0,015;;
1;-0,015;;
2;-0,015;;
3;-0,015;;
4;-0,015;;
5;-0,015;;
6;-0,015;;
7;0,541884365;;
8;2,427058882;;
9;21,0169013;;
10;21,96083586;;
11;23,27527873;;
12;23,77179334;;
13;23,76973745;;
14;23,56054485;;
15;23,14112312;;
16;22,52051033;;
17;20,9188308;;
18;18,13508203;;
19;12,05041011;;
20;-0,015;;
21;-0,015;;
22;-0,015;;
23;-0,015;;
0;-0,015;;
1;-0,015;;
2;-0,015;;
3;-0,015;;
4;-0,015;;
5;-0,015;;
6;-0,015;;
7;13,03696011;;
8;18,28418291;;
9;20,59124297;;
10;22,14690889;;
11;23,22346703;;
12;23,37336326;;
13;23,66739857;;
14;23,54674523;;
15;23,16072076;;
16;22,4458576;;
17;20,88710513;;
18;17,95879635;;
