Hora;G solar
0;-0,018333333
1;-0,018333333
2;-0,018333333
3;-0,018333333
4;-0,018333333
5;-0,018333333
6;-0,018333333
7;18,23618322
8;23,20727013
9;25,58558374
10;27,71028023
11;28,74474544
12;29,16514325
13;29,04306187
14;28,78385186
15;28,45528419
16;27,31896116
17;25,36587681
18;21,61669092
19;14,28715504
20;-0,018333333
21;-0,018333333
22;-0,018333333
23;-0,018333333
0;-0,018333333
1;-0,018333333
2;-0,018333333
3;-0,018333333
4;-0,018333333
5;-0,018333333
6;-0,018333333
7;1,184341809
8;2,77382807
9;5,033139047
10;10,28467596
11;28,66682753
12;28,95497371
13;29,12550557
14;28,78704074
15;28,47263181
16;27,16164426
17;25,18880148
18;21,6771282
19;14,54310417
20;-0,018333333
21;-0,018333333
22;-0,018333333
23;-0,018333333
0;-0,018333333
1;-0,018333333
2;-0,018333333
3;-0,018333333
4;-0,018333333
5;-0,018333333
6;-0,018333333
7;0,834620029
8;2,611939926
9;8,722683394
10;27,67043331
11;28,4783646
12;29,04538375
13;29,01703959
14;28,65195892
15;28,43592539
16;27,39451048
17;25,45284798
18;21,85066207
19;14,51817808
20;-0,018333333
21;-0,018333333
22;-0,018333333
23;-0,018333333
0;-0,018333333
1;-0,018333333
2;-0,018333333
3;-0,018333333
4;-0,018333333
5;-0,018333333
6;-0,018333333
7;1,172735766
8;4,120227923
9;25,95142835
10;27,65161754
11;28,67800688
12;29,02500064
13;29,25351656
14;29,1059237
15;28,3596382
16;27,54029924
17;25,55665537
18;22,02387615
19;14,72694531
20;-0,018333333
21;-0,018333333
22;-0,018333333
23;-0,018333333
0;-0,018333333
1;-0,018333333
2;-0,018333333
3;-0,018333333
4;-0,018333333
5;-0,018333333
6;-0,018333333
7;0,583014213
8;1,947224831
9;5,486683813
10;12,8415072
11;19,93318689
12;22,67817251
13;23,89651289
14;20,21348789
15;17,18316042
16;13,55999558
17;7,744233041
18;3,461730089
19;14,67459851
20;-0,018333333
21;-0,018333333
22;-0,018333333
23;-0,018333333
0;-0,018333333
1;-0,018333333
2;-0,018333333
3;-0,018333333
4;-0,018333333
5;-0,018333333
6;-0,018333333
7;0,829552463
8;2,482998334
9;4,657571134
10;5,721623776
11;28,37432334
12;28,75950783
13;28,75418945
14;28,76782059
15;28,27157533
16;27,09316571
17;25,22900606
18;21,66358802
19;14,46143031
20;-0,018333333
21;-0,018333333
22;-0,018333333
23;-0,018333333
0;-0,018333333
1;-0,018333333
2;-0,018333333
3;-0,018333333
4;-0,018333333
5;-0,018333333
6;-0,018333333
7;0,811910599
8;2,33902415
9;4,195073115
10;10,01739236
11;28,34681443
12;28,78274305
13;28,90764574
14;28,84616743
15;28,22281528
16;27,30007601
17;25,37076191
18;21,71078444
19;14,47472443
20;-0,018333333
21;-0,018333333
22;-0,018333333
23;-0,018333333
0;-0,018333333
1;-0,018333333
2;-0,018333333
3;-0,018333333
4;-0,018333333
5;-0,018333333
6;-0,018333333
7;17,77868827
8;23,1230459
9;26,06906865
10;27,6328533
11;28,59075724
12;28,9933012
13;28,97518309
14;28,59994148
15;28,20907866
16;26,94261173
17;25,05984554
18;21,71902895
19;14,64962437
20;-0,018333333
21;-0,018333333
22;-0,018333333
23;-0,018333333
0;-0,018333333
1;-0,018333333
2;-0,018333333
3;-0,018333333
4;-0,018333333
5;-0,018333333
6;-0,018333333
7;0,730989341
8;2,381185924
9;4,802861545
10;27,54141808
11;28,45357872
12;28,88508259
13;28,79945596
14;28,49238788
15;28,26686056
16;27,22939248
17;25,22432809
18;21,75986493
19;14,67480347
20;-0,018333333
21;-0,018333333
22;-0,018333333
23;-0,018333333
0;-0,018333333
1;-0,018333333
2;-0,018333333
3;-0,018333333
4;-0,018333333
5;-0,018333333
6;-0,018333333
7;0,879018286
8;2,843986673
9;26,10859888
10;27,64977836
11;28,31156732
12;28,97440179
13;29,25407096
14;29,04528051
15;28,60378106
16;27,48002746
17;25,39236938
18;21,91987077
19;14,7933674
20;-0,018333333
21;-0,018333333
22;-0,018333333
23;-0,018333333
0;-0,018333333
1;-0,018333333
2;-0,018333333
3;-0,018333333
4;-0,018333333
5;-0,018333333
6;-0,018333333
7;0,71441703
8;2,268628611
9;4,497602437
10;27,4469937
11;28,70063018
12;28,86242133
13;28,9079427
14;29,11571711
15;28,49908836
16;27,32646763
17;25,35670451
18;21,89232283
19;14,77782245
20;-0,018333333
21;-0,018333333
22;-0,018333333
23;-0,018333333
0;-0,018333333
1;-0,018333333
2;-0,018333333
3;-0,018333333
4;-0,018333333
5;-0,018333333
6;-0,018333333
7;0,752053575
8;2,484494536
9;4,694744148
10;8,427181674
11;28,61165869
12;29,05598974
13;29,1845582
14;29,03002542
15;28,53347708
16;27,49600909
17;25,56409549
18;21,99042647
19;14,80059677
20;-0,018333333
21;-0,018333333
22;-0,018333333
23;-0,018333333
0;-0,018333333
1;-0,018333333
2;-0,018333333
3;-0,018333333
4;-0,018333333
5;-0,018333333
6;-0,018333333
7;0,796650463
8;2,672647749
9;4,946970205
10;27,43588199
11;28,61668588
12;29,07288158
13;29,25851786
14;28,7863563
15;28,62678844
16;27,47114237
17;25,57913071
18;21,91375011
19;14,75680872
20;-0,018333333
21;-0,018333333
22;-0,018333333
23;-0,018333333
0;-0,018333333
1;-0,018333333
2;-0,018333333
3;-0,018333333
4;-0,018333333
5;-0,018333333
6;-0,018333333
7;0,8614526
8;3,337361681
9;25,59037189
10;27,28663644
11;28,63460268
12;29,24799025
13;29,01846082
14;28,84086801
15;28,53029497
16;27,75260354
17;25,68365722
18;22,07515684
19;14,93632175
20;-0,018333333
21;-0,018333333
22;-0,018333333
23;-0,018333333
0;-0,018333333
1;-0,018333333
2;-0,018333333
3;-0,018333333
4;-0,018333333
5;-0,018333333
6;-0,018333333
7;17,0390119
8;22,98777915
9;25,91045341
10;27,45119383
11;28,62927888
12;28,94824987
13;29,01351157
14;28,83172552
15;28,34071492
16;27,31519297
17;25,42049758
18;21,98413953
19;14,91603679
20;-0,018333333
21;-0,018333333
22;-0,018333333
23;-0,018333333
0;-0,018333333
1;-0,018333333
2;-0,018333333
3;-0,018333333
4;-0,018333333
5;-0,018333333
6;-0,018333333
7;0,858769261
8;2,868205576
9;6,547245404
10;27,70111124
11;28,77979934
12;29,19325904
13;29,23440133
14;29,22971143
15;28,79460301
16;27,55356155
17;25,76129515
18;22,16459225
19;14,98438922
20;-0,018333333
21;-0,018333333
22;-0,018333333
23;-0,018333333
0;-0,018333333
1;-0,018333333
2;-0,018333333
3;-0,018333333
4;-0,018333333
5;-0,018333333
6;-0,018333333
7;0,750485332
8;2,394143352
9;5,132124509
10;27,66418283
11;28,81565388
12;29,20486845
13;29,49418345
14;29,45344037
15;28,65926948
16;27,80892565
17;25,69791269
18;22,2667538
19;15,07288038
20;-0,018333333
21;-0,018333333
22;-0,018333333
23;-0,018333333
0;-0,018333333
1;-0,018333333
2;-0,018333333
3;-0,018333333
4;-0,018333333
5;-0,018333333
6;-0,018333333
7;0,575922928
8;1,827498375
9;3,235468784
10;4,991640513
11;6,816584343
12;9,834194859
13;17,86581679
14;22,86585323
15;28,88132742
16;27,70911713
17;25,93698359
18;22,30276639
19;15,0437697
20;-0,018333333
21;-0,018333333
22;-0,018333333
23;-0,018333333
0;-0,018333333
1;-0,018333333
2;-0,018333333
3;-0,018333333
4;-0,018333333
5;-0,018333333
6;-0,018333333
7;0,551125408
8;1,873969985
9;3,569944604
10;5,111468569
11;8,287346916
12;15,01556985
13;29,36827597
14;29,20939131
15;28,91611353
16;27,95124188
17;26,02142219
18;22,52242838
19;15,10251607
20;-0,018333333
21;-0,018333333
22;-0,018333333
23;-0,018333333
0;-0,018333333
1;-0,018333333
2;-0,018333333
3;-0,018333333
4;-0,018333333
5;-0,018333333
6;-0,018333333
7;16,88519881
8;23,01101576
9;25,999778
10;27,79730181
11;28,86376164
12;29,16141358
13;29,49240986
14;29,1659919
15;28,7559113
16;28,04089328
17;25,98542278
18;22,46743193
19;15,00911074
20;-0,018333333
21;-0,018333333
22;-0,018333333
23;-0,018333333
0;-0,018333333
1;-0,018333333
2;-0,018333333
3;-0,018333333
4;-0,018333333
5;-0,018333333
6;-0,018333333
7;0,757250231
8;3,044993776
9;25,73322137
10;27,54577441
11;28,8209848
12;29,05190658
13;29,44324565
14;28,99540596
15;28,66359297
16;27,87066217
17;25,9041888
18;22,35492749
19;14,96702911
20;-0,018333333
21;-0,018333333
22;-0,018333333
23;-0,018333333
0;-0,018333333
1;-0,018333333
2;-0,018333333
3;-0,018333333
4;-0,018333333
5;-0,018333333
6;-0,018333333
7;0,633129704
8;1,896771666
9;4,043047535
10;7,715453363
11;28,62357164
12;29,25230715
13;29,40521438
14;29,24543462
15;28,61865501
16;27,78268492
17;25,94086467
18;22,19149898
19;14,79672311
20;-0,018333333
21;-0,018333333
22;-0,018333333
23;-0,018333333
0;-0,018333333
1;-0,018333333
2;-0,018333333
3;-0,018333333
4;-0,018333333
5;-0,018333333
6;-0,018333333
7;0,662303113
8;2,966405301
9;25,68732381
10;26,84102161
11;28,44756289
12;29,05441408
13;29,05190133
14;28,79622149
15;28,28359493
16;27,52506819
17;25,56745986
18;22,16510025
19;14,72827903
20;-0,018333333
21;-0,018333333
22;-0,018333333
23;-0,018333333
0;-0,018333333
1;-0,018333333
2;-0,018333333
3;-0,018333333
4;-0,018333333
5;-0,018333333
6;-0,018333333
7;15,93406235
8;22,34733467
9;25,16707474
10;27,0684442
11;28,38423748
12;28,56744398
13;28,92682047
14;28,77935528
15;28,30754759
16;27,43382596
17;25,52868405
18;21,94963999
19;14,51883602
20;-0,018333333
21;-0,018333333
22;-0,018333333
23;-0,018333333
0;-0,018333333
1;-0,018333333
2;-0,018333333
3;-0,018333333
4;-0,018333333
5;-0,018333333
6;-0,018333333
7;15,79913096
8;22,3154983
9;25,2231921
10;26,67625029
11;28,24148106
12;28,66873297
13;28,92408849
14;28,53030953
15;28,18384467
16;27,35291556
17;25,46750593
18;21,8968743
19;14,41251196
20;-0,018333333
21;-0,018333333
22;-0,018333333
23;-0,018333333
0;-0,018333333
1;-0,018333333
2;-0,018333333
3;-0,018333333
4;-0,018333333
5;-0,018333333
6;-0,018333333
7;15,79597978
8;22,28673723
9;25,17748559
10;26,8773745
11;27,85094653
12;28,51033536
13;28,39625832
14;28,60350281
15;28,04762841
16;27,15810189
17;25,29724302
18;21,79945802
19;14,27777678
20;-0,018333333
21;-0,018333333
22;-0,018333333
23;-0,018333333
0;-0,018333333
1;-0,018333333
2;-0,018333333
3;-0,018333333
4;-0,018333333
5;-0,018333333
6;-0,018333333
7;0,507909291
8;2,159140956
9;7,838275415
10;12,5802434
11;16,97440827
12;28,31587126
13;28,56676032
14;28,63355308
15;28,32533315
16;27,33477514
17;25,44497268
18;21,97762997
19;14,26459512
20;-0,018333333
21;-0,018333333
22;-0,018333333
23;-0,018333333
0;-0,018333333
1;-0,018333333
2;-0,018333333
3;-0,018333333
4;-0,018333333
5;-0,018333333
6;-0,018333333
7;15,69026806
8;22,45533314
9;25,25188608
10;26,33432336
11;28,31067874
12;28,79411259
13;28,57263486
14;28,79906266
15;28,41896827
16;27,36023909
17;25,55287495
18;21,97709646
19;14,27305279
20;-0,018333333
21;-0,018333333
22;-0,018333333
23;-0,018333333
0;-0,018333333
1;-0,018333333
2;-0,018333333
3;-0,018333333
4;-0,018333333
5;-0,018333333
6;-0,018333333
7;15,57101277
8;22,3349085
9;25,29827694
10;26,72195835
11;28,23801319
12;28,73480286
13;28,72396584
14;28,62221694
15;28,39178863
16;27,30979622
17;25,39615644
18;21,9179923
19;14,29219693
20;-0,018333333
21;-0,018333333
22;-0,018333333
23;-0,018333333
0;-0,018333333
1;-0,018333333
