"item","BA S/E DON GOYO 220KV BP2","BA S/E NUEVA PAN DE AZUCAR 220KV BPA","addValue"
"2023-01-01 01","169.92","170.41",""
"2023-01-01 02","169.92","170.41",""
"2023-01-01 03","163.37","163.85",""
"2023-01-01 04","143.73","144.15",""
"2023-01-01 05","143.73","144.15",""
"2023-01-01 06","138.35","138.75",""
"2023-01-01 07","84.00","84.24",""
"2023-01-01 08","0.00","0.00",""
"2023-01-01 09","0.00","0.00",""
"2023-01-01 10","0.00","0.00",""
"2023-01-01 11","0.00","0.00",""
"2023-01-01 12","0.00","0.00",""
"2023-01-01 13","0.00","0.00",""
"2023-01-01 14","0.00","0.00",""
"2023-01-01 15","0.00","0.00",""
"2023-01-01 16","0.00","0.00",""
"2023-01-01 17","0.00","0.00",""
"2023-01-01 18","0.00","0.00",""
"2023-01-01 19","0.00","0.00",""
"2023-01-01 20","0.00","0.00",""
"2023-01-01 21","97.80","101.00",""
"2023-01-01 22","102.93","106.30",""
"2023-01-01 23","117.36","121.20",""
"2023-01-01 24","117.36","121.20",""
"2023-01-02 01","124.48","126.82",""
"2023-01-02 02","127.14","129.53",""
"2023-01-02 03","128.02","130.43",""
"2023-01-02 04","128.02","130.43",""
"2023-01-02 05","128.02","130.43",""
"2023-01-02 06","133.39","135.90",""
"2023-01-02 07","126.72","129.11",""
"2023-01-02 08","54.81","55.84",""
"2023-01-02 09","0.00","0.00",""
"2023-01-02 10","0.00","0.00",""
"2023-01-02 11","0.00","0.00",""
"2023-01-02 12","0.00","0.00",""
"2023-01-02 13","0.00","0.00",""
"2023-01-02 14","0.00","0.00",""
"2023-01-02 15","0.00","0.00",""
"2023-01-02 16","0.00","0.00",""
"2023-01-02 17","0.00","0.00",""
"2023-01-02 18","0.00","0.00",""
"2023-01-02 19","0.00","0.00",""
"2023-01-02 20","6.41","6.68",""
"2023-01-02 21","129.17","134.65",""
"2023-01-02 22","129.55","135.04",""
"2023-01-02 23","128.43","133.87",""
"2023-01-02 24","119.92","125.00",""
"2023-01-03 01","124.69","127.85",""
"2023-01-03 02","123.66","126.79",""
"2023-01-03 03","118.51","121.51",""
"2023-01-03 04","118.51","121.51",""
"2023-01-03 05","118.51","121.51",""
"2023-01-03 06","125.89","129.08",""
"2023-01-03 07","110.43","113.23",""
"2023-01-03 08","76.07","78.00",""
"2023-01-03 09","14.63","14.90",""
"2023-01-03 10","0.00","0.00",""
"2023-01-03 11","0.00","0.00",""
"2023-01-03 12","0.00","0.00",""
"2023-01-03 13","0.00","0.00",""
"2023-01-03 14","0.00","0.00",""
"2023-01-03 15","0.00","0.00",""
"2023-01-03 16","0.00","0.00",""
"2023-01-03 17","0.00","0.00",""
"2023-01-03 18","0.00","0.00",""
"2023-01-03 19","0.00","0.00",""
"2023-01-03 20","23.00","23.60",""
"2023-01-03 21","101.27","103.91",""
"2023-01-03 22","142.62","146.33",""
"2023-01-03 23","147.56","151.39",""
"2023-01-03 24","141.49","145.16",""
"2023-01-04 01","142.46","142.78",""
"2023-01-04 02","141.32","141.64",""
"2023-01-04 03","136.96","137.27",""
"2023-01-04 04","135.78","136.08",""
"2023-01-04 05","143.88","144.20",""
"2023-01-04 06","141.31","141.63",""
"2023-01-04 07","128.12","128.41",""
"2023-01-04 08","112.25","112.50",""
"2023-01-04 09","0.00","0.00",""
"2023-01-04 10","0.00","0.00",""
"2023-01-04 11","0.00","0.00",""
"2023-01-04 12","0.00","0.00",""
"2023-01-04 13","0.00","0.00",""
"2023-01-04 14","0.00","0.00",""
"2023-01-04 15","0.00","0.00",""
"2023-01-04 16","0.00","0.00",""
"2023-01-04 17","0.00","0.00",""
"2023-01-04 18","0.00","0.00",""
"2023-01-04 19","0.00","0.00",""
"2023-01-04 20","54.59","54.57",""
"2023-01-04 21","148.03","147.98",""
"2023-01-04 22","155.24","155.18",""
"2023-01-04 23","140.63","140.58",""
"2023-01-04 24","137.56","137.51",""
"2023-01-05 01","139.65","139.87",""
"2023-01-05 02","134.69","134.91",""
"2023-01-05 03","130.58","130.79",""
"2023-01-05 04","139.02","139.25",""
"2023-01-05 05","135.46","135.69",""
"2023-01-05 06","150.77","151.01",""
"2023-01-05 07","152.46","152.71",""
"2023-01-05 08","90.31","90.45",""
"2023-01-05 09","0.00","0.00",""
"2023-01-05 10","0.00","0.00",""
"2023-01-05 11","0.00","0.00",""
"2023-01-05 12","0.00","0.00",""
"2023-01-05 13","0.00","0.00",""
"2023-01-05 14","0.00","0.00",""
"2023-01-05 15","0.00","0.00",""
"2023-01-05 16","0.00","0.00",""
"2023-01-05 17","0.00","0.00",""
"2023-01-05 18","0.00","0.00",""
"2023-01-05 19","0.00","0.00",""
"2023-01-05 20","56.74","56.73",""
"2023-01-05 21","157.10","157.08",""
"2023-01-05 22","157.10","157.08",""
"2023-01-05 23","152.75","152.73",""
"2023-01-05 24","134.78","134.76",""
"2023-01-06 01","138.31","138.18",""
"2023-01-06 02","141.27","141.14",""
"2023-01-06 03","138.33","138.20",""
"2023-01-06 04","138.33","138.20",""
"2023-01-06 05","138.33","138.20",""
"2023-01-06 06","146.35","146.21",""
"2023-01-06 07","149.71","149.57",""
"2023-01-06 08","93.38","93.30",""
"2023-01-06 09","0.00","0.00",""
"2023-01-06 10","0.00","0.00",""
"2023-01-06 11","0.00","0.00",""
"2023-01-06 12","0.00","0.00",""
"2023-01-06 13","0.00","0.00",""
"2023-01-06 14","0.00","0.00",""
"2023-01-06 15","0.00","0.00",""
"2023-01-06 16","0.00","0.00",""
"2023-01-06 17","0.00","0.00",""
"2023-01-06 18","0.00","0.00",""
"2023-01-06 19","0.00","0.00",""
"2023-01-06 20","85.04","85.79",""
"2023-01-06 21","163.94","165.39",""
"2023-01-06 22","164.49","165.95",""
"2023-01-06 23","164.49","165.95",""
"2023-01-06 24","168.68","170.18",""
"2023-01-07 01","180.76","180.92",""
"2023-01-07 02","178.94","179.09",""
"2023-01-07 03","168.55","168.69",""
"2023-01-07 04","157.63","157.76",""
"2023-01-07 05","143.34","143.46",""
"2023-01-07 06","143.34","143.46",""
"2023-01-07 07","143.34","143.46",""
"2023-01-07 08","76.88","76.94",""
"2023-01-07 09","0.00","0.00",""
"2023-01-07 10","0.00","0.00",""
"2023-01-07 11","0.00","0.00",""
"2023-01-07 12","0.00","0.00",""
"2023-01-07 13","0.00","0.00",""
"2023-01-07 14","0.00","0.00",""
"2023-01-07 15","0.00","0.00",""
"2023-01-07 16","0.00","0.00",""
"2023-01-07 17","0.00","0.00",""
"2023-01-07 18","0.00","0.00",""
"2023-01-07 19","0.00","0.00",""
"2023-01-07 20","34.84","35.40",""
"2023-01-07 21","153.59","156.06",""
"2023-01-07 22","153.59","156.06",""
"2023-01-07 23","143.82","146.13",""
"2023-01-07 24","138.16","140.38",""
"2023-01-08 01","143.10","143.59",""
"2023-01-08 02","140.32","140.80",""
"2023-01-08 03","134.03","134.48",""
"2023-01-08 04","140.92","141.40",""
"2023-01-08 05","143.10","143.59",""
"2023-01-08 06","141.38","141.86",""
"2023-01-08 07","134.89","135.35",""
"2023-01-08 08","57.35","57.54",""
"2023-01-08 09","0.00","0.00",""
"2023-01-08 10","0.00","0.00",""
"2023-01-08 11","0.00","0.00",""
"2023-01-08 12","0.00","0.00",""
"2023-01-08 13","0.00","0.00",""
"2023-01-08 14","0.00","0.00",""
"2023-01-08 15","0.00","0.00",""
"2023-01-08 16","0.00","0.00",""
"2023-01-08 17","0.00","0.00",""
"2023-01-08 18","0.00","0.00",""
"2023-01-08 19","0.00","0.00",""
"2023-01-08 20","66.23","66.97",""
"2023-01-08 21","165.33","167.17",""
"2023-01-08 22","177.12","179.10",""
"2023-01-08 23","152.78","154.48",""
"2023-01-08 24","148.10","149.76",""
"2023-01-09 01","164.22","164.67",""
"2023-01-09 02","164.22","164.67",""
"2023-01-09 03","156.48","156.90",""
"2023-01-09 04","155.62","156.04",""
"2023-01-09 05","155.62","156.04",""
"2023-01-09 06","155.62","156.04",""
"2023-01-09 07","155.62","156.04",""
"2023-01-09 08","134.31","134.67",""
"2023-01-09 09","128.37","129.06",""
"2023-01-09 10","151.15","151.96",""
"2023-01-09 11","149.13","149.93",""
"2023-01-09 12","141.80","142.56",""
"2023-01-09 13","92.57","93.07",""
"2023-01-09 14","0.00","0.00",""
"2023-01-09 15","0.00","0.00",""
"2023-01-09 16","0.00","0.00",""
"2023-01-09 17","0.00","0.00",""
"2023-01-09 18","0.00","0.00",""
"2023-01-09 19","0.00","0.00",""
"2023-01-09 20","81.48","82.21",""
"2023-01-09 21","202.27","204.08",""
"2023-01-09 22","202.27","204.08",""
"2023-01-09 23","202.27","204.08",""
"2023-01-09 24","202.27","204.08",""
"2023-01-10 01","186.92","187.19",""
"2023-01-10 02","147.89","148.10",""
"2023-01-10 03","132.10","132.28",""
"2023-01-10 04","144.75","144.96",""
"2023-01-10 05","137.35","137.55",""
"2023-01-10 06","141.43","141.63",""
"2023-01-10 07","151.74","151.95",""
"2023-01-10 08","136.38","136.57",""
"2023-01-10 09","76.80","77.67",""
"2023-01-10 10","58.47","59.13",""
"2023-01-10 11","16.57","16.75",""
"2023-01-10 12","0.00","0.00",""
"2023-01-10 13","45.47","45.97",""
"2023-01-10 14","0.00","0.00",""
"2023-01-10 15","0.00","0.00",""
"2023-01-10 16","0.00","0.00",""
"2023-01-10 17","0.00","0.00",""
"2023-01-10 18","0.00","0.00",""
"2023-01-10 19","0.00","0.00",""
"2023-01-10 20","96.21","98.19",""
"2023-01-10 21","178.48","182.13",""
"2023-01-10 22","178.48","182.13",""
"2023-01-10 23","178.48","182.13",""
"2023-01-10 24","178.48","182.13",""
"2023-01-11 01","168.30","170.45",""
"2023-01-11 02","139.23","141.01",""
"2023-01-11 03","151.67","153.61",""
"2023-01-11 04","168.30","170.45",""
"2023-01-11 05","168.30","170.45",""
"2023-01-11 06","168.30","170.45",""
"2023-01-11 07","168.30","170.45",""
"2023-01-11 08","128.34","129.98",""
"2023-01-11 09","37.12","37.64",""
"2023-01-11 10","0.00","0.00",""
"2023-01-11 11","0.00","0.00",""
"2023-01-11 12","0.00","0.00",""
"2023-01-11 13","0.00","0.00",""
"2023-01-11 14","0.00","0.00",""
"2023-01-11 15","0.00","0.00",""
"2023-01-11 16","0.00","0.00",""
"2023-01-11 17","0.00","0.00",""
"2023-01-11 18","0.00","0.00",""
"2023-01-11 19","0.00","0.00",""
"2023-01-11 20","128.09","131.63",""
"2023-01-11 21","158.93","163.31",""
"2023-01-11 22","158.93","163.31",""
"2023-01-11 23","158.93","163.31",""
"2023-01-11 24","158.93","163.31",""
"2023-01-12 01","179.18","183.38",""
"2023-01-12 02","168.33","172.28",""
"2023-01-12 03","143.02","146.38",""
"2023-01-12 04","143.02","146.38",""
"2023-01-12 05","143.02","146.38",""
"2023-01-12 06","143.02","146.38",""
"2023-01-12 07","177.60","181.77",""
"2023-01-12 08","123.02","125.91",""
"2023-01-12 09","41.03","41.78",""
"2023-01-12 10","0.00","0.00",""
"2023-01-12 11","0.00","0.00",""
"2023-01-12 12","0.00","0.00",""
"2023-01-12 13","0.00","0.00",""
"2023-01-12 14","0.00","0.00",""
"2023-01-12 15","0.00","0.00",""
"2023-01-12 16","0.00","0.00",""
"2023-01-12 17","0.00","0.00",""
"2023-01-12 18","0.00","0.00",""
"2023-01-12 19","0.00","0.00",""
"2023-01-12 20","145.99","148.83",""
"2023-01-12 21","223.14","227.47",""
"2023-01-12 22","226.24","230.64",""
"2023-01-12 23","233.48","238.02",""
"2023-01-12 24","226.41","230.81",""
"2023-01-13 01","228.30","232.43",""
"2023-01-13 02","160.58","163.49",""
"2023-01-13 03","152.45","155.21",""
"2023-01-13 04","152.45","155.21",""
"2023-01-13 05","152.45","155.21",""
"2023-01-13 06","152.45","155.21",""
"2023-01-13 07","152.45","155.21",""
"2023-01-13 08","110.47","112.47",""
"2023-01-13 09","22.67","23.20",""
"2023-01-13 10","0.00","0.00",""
"2023-01-13 11","0.00","0.00",""
"2023-01-13 12","0.00","0.00",""
"2023-01-13 13","0.00","0.00",""
"2023-01-13 14","0.00","0.00",""
"2023-01-13 15","0.00","0.00",""
"2023-01-13 16","0.00","0.00",""
"2023-01-13 17","0.00","0.00",""
"2023-01-13 18","0.00","0.00",""
"2023-01-13 19","0.00","0.00",""
"2023-01-13 20","111.74","113.67",""
"2023-01-13 21","204.47","208.00",""
"2023-01-13 22","173.98","176.98",""
