Año;Mes;Hora;CMg
2025;1;0;144,3833315
2025;1;1;139,8199719
2025;1;2;139,6268131
2025;1;3;139,6268954
2025;1;4;139,6257062
2025;1;5;139,6257755
2025;1;6;6,594628465
2025;1;7;6,594617476
2025;1;8;1,334358689
2025;1;9;0,42084573
2025;1;10;0,92222972
2025;1;11;0,922201432
2025;1;12;0,923258585
2025;1;13;0,923712954
2025;1;14;0,92436963
2025;1;15;0,924563408
2025;1;16;0,92443394
2025;1;17;0,924428247
2025;1;18;0,924427116
2025;1;19;0,924563408
2025;1;20;151,9010634
2025;1;21;154,0442534
2025;1;22;152,9945187
2025;1;23;152,994679
2025;2;0;161,9980181
2025;2;1;162,6818487
2025;2;2;155,2207446
2025;2;3;155,2208372
2025;2;4;155,2206118
2025;2;5;155,2200813
2025;2;6;34,37356758
2025;2;7;34,3734581
2025;2;8;12,9131891
2025;2;9;8,882227644
2025;2;10;4,577371247
2025;2;11;4,29592212
2025;2;12;4,298098252
2025;2;13;4,298064915
2025;2;14;4,30169599
2025;2;15;4,302977327
2025;2;16;4,302978464
2025;2;17;4,309114353
2025;2;18;4,589715507
2025;2;19;4,587124336
2025;2;20;167,0012916
2025;2;21;167,6257073
2025;2;22;166,9992948
2025;2;23;166,9985652
2025;3;0;175,020249
2025;3;1;176,2373663
2025;3;2;175,214766
2025;3;3;175,2145083
2025;3;4;175,2149641
2025;3;5;175,216444
2025;3;6;176,1521827
2025;3;7;50,56081592
2025;3;8;50,56064002
2025;3;9;36,91445193
2025;3;10;24,80185626
2025;3;11;9,178701657
2025;3;12;9,18729437
2025;3;13;9,187316925
2025;3;14;9,207030583
2025;3;15;9,220103264
2025;3;16;9,21838448
2025;3;17;9,215945662
2025;3;18;24,96328372
2025;3;19;174,6704675
2025;3;20;173,2554933
2025;3;21;173,256296
2025;3;22;173,2564543
2025;3;23;173,9326719
2025;4;0;147,3970166
2025;4;1;147,5232071
2025;4;2;147,5450848
2025;4;3;147,5458392
2025;4;4;147,5451267
2025;4;5;147,544961
2025;4;6;147,6945172
2025;4;7;56,27923143
2025;4;8;64,95778538
2025;4;9;26,02865473
2025;4;10;8,814064494
2025;4;11;8,797330149
2025;4;12;8,807832551
2025;4;13;8,812419477
2025;4;14;8,823600945
2025;4;15;8,836044102
2025;4;16;8,919854417
2025;4;17;56,86696488
2025;4;18;56,90633906
2025;4;19;147,3109253
2025;4;20;147,3442449
2025;4;21;147,343125
2025;4;22;147,3384321
2025;4;23;147,3041995
2025;5;0;150,4357387
