Hora;G solar
0;-0,575
1;-0,575
2;-0,575
3;-0,575
4;-0,575
5;-0,575
6;-0,575
7;6,5631
8;14,514
9;21,475
10;30,602
11;39,529
12;85,631
13;210,866
14;228,73
15;225,633
16;220,952
17;211,638
18;194,588
19;129,074
20;14,694
21;-0,575
22;-0,575
23;-0,575
0;-0,575
1;-0,575
2;-0,575
3;-0,575
4;-0,575
5;-0,575
6;-0,575
7;7,7684
8;16,753
9;25,873
10;31,101
11;35,859
12;63,673
13;205,874
14;228,69
15;226,134
16;221,462
17;212,514
18;196,476
19;131,35
20;14,992
21;-0,575
22;-0,575
23;-0,575
0;-0,575
1;-0,575
2;-0,575
3;-0,575
4;-0,575
5;-0,575
6;-0,575
7;7,1111
8;22,841
9;33,098
10;83,676
11;152,275
12;223,296
13;224,017
14;222,523
15;219,415
16;215,596
17;204,33
18;184,551
19;115,966
20;13,025
21;-0,575
22;-0,575
23;-0,575
0;-0,575
1;-0,575
2;-0,575
3;-0,575
4;-0,575
5;-0,575
6;-0,575
7;6,8043
8;17,645
9;25,107
10;46,888
11;151,38
12;221,213
13;221,357
14;219,741
15;217,844
16;212,146
17;201,16
18;178,953
19;95,994
20;6,1711
21;-0,575
22;-0,575
23;-0,575
0;-0,575
1;-0,575
2;-0,575
3;-0,575
4;-0,575
5;-0,575
6;-0,575
7;5,4394
8;13,12
9;20,694
10;43,115
11;79,529
12;47,555
13;48,955
14;71,374
15;59,315
16;46,277
17;73,892
18;122,533
19;71,816
20;10,92
21;-0,575
22;-0,575
23;-0,575
0;-0,575
1;-0,575
2;-0,575
3;-0,575
4;-0,575
5;-0,575
6;-0,575
7;14,978
8;79,665
9;169,596
10;201,571
11;213,261
12;216,357
13;208,03
14;185,625
15;209,977
16;201,376
17;177,096
18;147,589
19;87,961
20;8,6932
21;-0,575
22;-0,575
23;-0,575
0;-0,575
1;-0,575
2;-0,575
3;-0,575
4;-0,575
5;-0,575
6;-0,575
7;16,096
8;92,338
9;179,576
10;203,405
11;214,311
12;217,173
13;217,889
14;216,413
15;213,501
16;208,44
17;193,34
18;164,902
19;98,776
20;10,624
21;-0,575
22;-0,575
23;-0,575
0;-0,575
1;-0,575
2;-0,575
3;-0,575
4;-0,575
5;-0,575
6;-0,575
7;16,351
8;55,531
9;101,716
10;130,918
11;118,01
12;138,866
13;216,875
14;211,015
15;219,94
16;214,122
17;204,217
18;181,913
19;113,611
20;13,39
21;-0,575
22;-0,575
23;-0,575
0;-0,575
1;-0,575
2;-0,575
3;-0,575
4;-0,575
5;-0,575
6;-0,575
7;17,922
8;102,406
9;201,573
10;216,854
11;221,703
12;224,487
13;225,201
14;223,759
15;220,976
16;216,212
17;207,765
18;188,967
19;121,41
20;14,769
21;-0,575
22;-0,575
23;-0,575
0;-0,575
1;-0,575
2;-0,575
3;-0,575
4;-0,575
5;-0,575
6;-0,575
7;17,713
8;103,743
9;207,593
10;219,982
11;225,527
12;227,432
13;227,608
14;226,138
15;223,433
16;219,375
17;210,223
18;195,169
19;128,415
20;15,272
21;-0,575
22;-0,575
23;-0,575
0;-0,575
1;-0,575
2;-0,575
3;-0,575
4;-0,575
5;-0,575
6;-0,575
7;16,663
8;103,36
9;207,201
10;220,068
11;225,909
12;227,912
13;228,445
14;226,894
15;224,388
16;219,774
17;210,074
18;194,438
19;127,837
20;15,295
21;-0,575
22;-0,575
23;-0,575
0;-0,575
1;-0,575
2;-0,575
3;-0,575
4;-0,575
5;-0,575
6;-0,575
7;14,619
8;68,165
9;157,749
10;220,67
11;225,465
12;227,854
13;227,914
14;226,612
15;224,185
16;219,727
17;211,525
18;191,843
19;125,163
20;14,78
21;-0,575
22;-0,575
23;-0,575
0;-0,575
1;-0,575
2;-0,575
3;-0,575
4;-0,575
5;-0,575
6;-0,575
7;6,5877
8;22,464
9;34,007
10;50,14
11;116,561
12;223,344
13;225,456
14;224,749
15;222,208
16;217,544
17;210,075
18;191,395
19;124,962
20;14,606
21;-0,575
22;-0,575
23;-0,575
0;-0,575
1;-0,575
2;-0,575
3;-0,575
4;-0,575
5;-0,575
6;-0,575
7;5,8495
8;19,1
9;38,587
10;33,788
11;46,575
12;169,313
13;222,459
14;221,195
15;218,679
16;215,459
17;204,691
18;185,576
19;116,902
20;12,788
21;-0,575
22;-0,575
23;-0,575
0;-0,575
1;-0,575
2;-0,575
3;-0,575
4;-0,575
5;-0,575
6;-0,575
7;7,9823
8;43,003
9;160,548
10;210,212
11;217,411
12;219,882
13;218,934
14;217,902
15;216,482
16;211,542
17;201,254
18;179,235
19;111,617
20;12,514
21;-0,575
22;-0,575
23;-0,575
0;-0,575
1;-0,575
2;-0,575
3;-0,575
4;-0,575
5;-0,575
6;-0,575
7;12,389
8;86,966
9;189,038
10;208,462
11;215,348
12;218,156
13;217,399
14;216,325
15;214,682
16;209,992
17;199,613
18;177,611
19;109,967
20;11,756
21;-0,575
22;-0,575
23;-0,575
0;-0,575
1;-0,575
2;-0,575
3;-0,575
4;-0,575
5;-0,575
6;-0,575
7;9,759
8;40,682
9;114,92
10;181,251
11;201,423
12;218,018
13;217,826
14;217,27
15;215,172
16;202,233
17;183,602
18;88,082
19;56,008
20;10,833
21;-0,575
22;-0,575
23;-0,575
0;-0,575
1;-0,575
2;-0,575
3;-0,575
4;-0,575
5;-0,575
6;-0,575
7;7,12
8;52,912
9;155,507
10;198,401
11;210,845
12;214,341
13;214,259
14;213,587
15;211,307
16;206,684
17;194,179
18;170,632
19;102,375
20;11,249
21;-0,575
22;-0,575
23;-0,575
0;-0,575
1;-0,575
2;-0,575
3;-0,575
4;-0,575
5;-0,575
6;-0,575
7;3,3112
8;39,869
9;36,685
10;108,503
11;203,266
12;213,038
13;212,833
14;212,151
15;210,001
16;203,085
17;185,871
18;157,975
19;90,1
20;9,0114
21;-0,575
22;-0,575
23;-0,575
0;-0,575
1;-0,575
2;-0,575
3;-0,575
4;-0,575
5;-0,575
6;-0,575
7;9,813
8;75,627
9;172,237
10;200,651
11;212,278
12;215,984
13;215,529
14;214,526
15;212,928
16;206,995
17;192,205
18;163,622
19;96,031
20;9,784
21;-0,575
22;-0,575
23;-0,575
0;-0,575
1;-0,575
2;-0,575
3;-0,575
4;-0,575
5;-0,575
6;-0,575
7;3,7823
8;17,062
9;35,562
10;49,215
11;67,325
12;173,294
13;215,375
14;216,877
15;214,999
16;209,638
17;198,598
18;174,82
19;104,505
20;10,811
21;-0,575
22;-0,575
23;-0,575
0;-0,575
1;-0,575
2;-0,575
3;-0,575
4;-0,575
5;-0,575
6;-0,575
7;4,0381
8;32,535
9;83,94
10;179,905
11;211,017
12;214,404
13;214,388
14;213,544
15;211,699
16;206,366
17;195,255
18;167,954
19;98,699
20;10,62
21;-0,575
22;-0,575
23;-0,575
0;-0,575
1;-0,575
2;-0,575
3;-0,575
4;-0,575
5;-0,575
6;-0,575
7;9,1399
8;67,595
9;131,634
10;201,976
11;210,18
12;213,256
13;212,067
14;211,7
15;209,802
16;204,779
17;194,392
18;171,862
19;103,966
20;8,6488
21;-0,575
22;-0,575
23;-0,575
0;-0,575
1;-0,575
2;-0,575
3;-0,575
4;-0,575
5;-0,575
6;-0,575
7;6,9048
8;65,004
9;151,741
10;195,536
11;206,265
12;208,895
13;203,015
14;203,217
15;182,808
