Hora;G solar
0;-0,70
1;-0,70
2;-0,70
3;-0,70
4;-0,70
5;-0,70
6;-0,70
7;8,37
8;19,49
9;25,72
10;37,02
11;48,16
12;104,32
13;252,93
14;270,42
15;268,62
16;265,03
17;257,04
18;237,53
19;130,54
20;15,31
21;-0,70
22;-0,70
23;-0,70
0;-0,70
1;-0,70
2;-0,70
3;-0,70
4;-0,70
5;-0,70
6;-0,70
7;9,80
8;22,21
9;31,00
10;37,64
11;43,73
12;77,74
13;247,27
14;270,46
15;269,21
16;265,71
17;258,12
18;239,92
19;132,72
20;15,52
21;-0,70
22;-0,70
23;-0,70
0;-0,70
1;-0,70
2;-0,70
3;-0,70
4;-0,70
5;-0,70
6;-0,70
7;9,03
8;29,31
9;39,65
10;101,35
11;184,17
12;266,43
13;266,04
14;265,46
15;262,62
16;259,88
17;249,10
18;226,18
19;118,20
20;13,62
21;-0,70
22;-0,70
23;-0,70
0;-0,70
1;-0,70
2;-0,70
3;-0,70
4;-0,70
5;-0,70
6;-0,70
7;8,62
8;23,12
9;30,05
10;56,63
11;182,98
12;264,21
13;263,29
14;262,57
15;260,87
16;256,19
17;245,22
18;219,63
19;99,28
20;7,21
21;-0,70
22;-0,70
23;-0,70
0;-0,70
1;-0,70
2;-0,70
3;-0,70
4;-0,70
5;-0,70
6;-0,70
7;6,97
8;17,51
9;24,75
10;52,07
11;96,60
12;58,13
13;59,80
14;87,28
15;73,50
16;58,82
17;94,22
18;153,35
19;76,47
20;11,64
21;-0,70
22;-0,70
23;-0,70
0;-0,70
1;-0,70
2;-0,70
3;-0,70
4;-0,70
5;-0,70
6;-0,70
7;21,98
8;110,60
9;204,60
10;242,64
11;255,74
12;259,00
13;248,50
14;223,34
15;252,11
16;243,66
17;217,18
18;182,69
19;91,77
20;9,61
21;-0,70
22;-0,70
23;-0,70
0;-0,70
1;-0,70
2;-0,70
3;-0,70
4;-0,70
5;-0,70
6;-0,70
7;24,84
8;132,45
9;216,16
10;244,45
11;256,59
12;259,63
13;259,32
14;258,73
15;255,98
16;251,64
17;235,91
18;202,93
19;102,21
20;11,37
21;-0,70
22;-0,70
23;-0,70
0;-0,70
1;-0,70
2;-0,70
3;-0,70
4;-0,70
5;-0,70
6;-0,70
7;26,50
8;72,99
9;122,98
10;158,35
11;142,88
12;168,07
13;258,61
14;253,38
15;262,96
16;258,24
17;248,51
18;222,90
19;116,13
20;14,01
21;-0,70
22;-0,70
23;-0,70
0;-0,70
1;-0,70
2;-0,70
3;-0,70
4;-0,70
5;-0,70
6;-0,70
7;31,66
8;155,41
9;242,65
10;259,45
11;264,05
