Año;Mes;Hora;CMg
2025;1;0;129,80
2025;1;1;126,87
2025;1;2;125,62
2025;1;3;125,62
2025;1;4;125,62
2025;1;5;125,62
2025;1;6;5,71
2025;1;7;5,71
2025;1;8;1,16
2025;1;9;0,37
2025;1;10;0,80
2025;1;11;0,80
2025;1;12;0,80
2025;1;13;0,80
2025;1;14;0,80
2025;1;15;0,80
2025;1;16;0,80
2025;1;17;0,80
2025;1;18;0,80
2025;1;19;0,80
2025;1;20;135,98
2025;1;21;137,60
2025;1;22;136,72
2025;1;23;136,72
2025;2;0;147,75
2025;2;1;148,37
2025;2;2;140,86
2025;2;3;140,86
2025;2;4;140,86
2025;2;5;140,86
2025;2;6;31,56
2025;2;7;31,56
2025;2;8;11,64
2025;2;9;7,87
2025;2;10;4,21
2025;2;11;3,99
2025;2;12;3,99
2025;2;13;3,99
2025;2;14;3,99
2025;2;15;3,99
2025;2;16;3,99
2025;2;17;4,00
2025;2;18;4,22
2025;2;19;4,22
2025;2;20;152,68
2025;2;21;153,27
2025;2;22;152,68
2025;2;23;152,68
2025;3;0;160,05
2025;3;1;161,24
2025;3;2;160,63
2025;3;3;160,63
2025;3;4;160,63
2025;3;5;160,63
2025;3;6;161,19
2025;3;7;45,03
2025;3;8;45,03
2025;3;9;34,68
2025;3;10;24,15
2025;3;11;8,24
2025;3;12;8,24
2025;3;13;8,24
2025;3;14;8,26
2025;3;15;8,27
2025;3;16;8,27
2025;3;17;8,27
2025;3;18;24,30
2025;3;19;159,40
2025;3;20;158,07
2025;3;21;158,07
2025;3;22;158,07
2025;3;23;158,92
2025;4;0;132,81
2025;4;1;132,84
2025;4;2;132,83
2025;4;3;132,84
2025;4;4;132,83
2025;4;5;132,83
2025;4;6;133,09
2025;4;7;50,23
2025;4;8;57,99
2025;4;9;23,18
2025;4;10;7,89
2025;4;11;7,88
2025;4;12;7,89
2025;4;13;7,89
2025;4;14;7,90
2025;4;15;7,91
2025;4;16;7,95
2025;4;17;50,82
2025;4;18;50,65
2025;4;19;132,94
2025;4;20;133,00
2025;4;21;133,00
2025;4;22;132,87
2025;4;23;132,75
2025;5;0;135,90
2025;5;1;134,23
2025;5;2;132,43
2025;5;3;128,37
2025;5;4;127,24
2025;5;5;127,24
2025;5;6;131,30
2025;5;7;38,77
2025;5;8;43,79
2025;5;9;20,31
2025;5;10;13,30
2025;5;11;12,82
2025;5;12;12,83
2025;5;13;12,85
2025;5;14;12,86
2025;5;15;13,39
2025;5;16;13,41
2025;5;17;52,77
2025;5;18;136,83
2025;5;19;136,88
2025;5;20;136,77
2025;5;21;136,77
2025;5;22;137,01
2025;5;23;137,62
2025;6;0;102,33
2025;6;1;97,58
2025;6;2;91,59
2025;6;3;90,10
2025;6;4;90,10
2025;6;5;90,10
2025;6;6;97,96
2025;6;7;105,72
2025;6;8;37,45
2025;6;9;6,83
2025;6;10;6,84
2025;6;11;6,83
2025;6;12;6,82
2025;6;13;33,08
2025;6;14;33,11
2025;6;15;33,22
2025;6;16;33,26
2025;6;17;39,39
2025;6;18;118,16
2025;6;19;119,65
2025;6;20;119,65
2025;6;21;119,65
2025;6;22;111,90
2025;6;23;110,06
2025;7;0;94,05
2025;7;1;93,97
2025;7;2;93,61
2025;7;3;93,53
2025;7;4;93,53
2025;7;5;93,53
2025;7;6;93,97
2025;7;7;95,98
2025;7;8;57,21
2025;7;9;2,89
2025;7;10;2,31
2025;7;11;11,44
2025;7;12;2,32
2025;7;13;2,32
2025;7;14;2,32
2025;7;15;2,32
2025;7;16;11,94
2025;7;17;57,22
2025;7;18;116,93
2025;7;19;120,75
2025;7;20;117,14
2025;7;21;117,14
2025;7;22;96,40
2025;7;23;95,70
2025;8;0;74,13
2025;8;1;73,73
2025;8;2;72,46
2025;8;3;72,47
2025;8;4;72,47
2025;8;5;72,47
2025;8;6;73,68
2025;8;7;22,16
2025;8;8;1,30
2025;8;9;6,88
2025;8;10;6,89
2025;8;11;6,90
2025;8;12;6,90
2025;8;13;6,65
2025;8;14;6,64
2025;8;15;6,64
2025;8;16;6,64
2025;8;17;22,36
2025;8;18;27,51
2025;8;19;76,80
2025;8;20;78,31
2025;8;21;77,63
2025;8;22;74,06
2025;8;23;74,08
2025;9;0;70,99
2025;9;1;70,41
2025;9;2;66,06
2025;9;3;65,03
2025;9;4;65,04
2025;9;5;65,04
2025;9;6;5,33
2025;9;7;4,90
2025;9;8;4,90
2025;9;9;0,89
2025;9;10;1,29
2025;9;11;1,29
2025;9;12;0,63
2025;9;13;0,63
2025;9;14;0,64
2025;9;15;1,29
2025;9;16;0,67
2025;9;17;4,09
2025;9;18;0,66
2025;9;19;71,32
2025;9;20;70,29
2025;9;21;70,18
2025;9;22;70,53
2025;9;23;70,78
2025;10;0;72,30
2025;10;1;72,25
2025;10;2;72,21
2025;10;3;72,27
2025;10;4;72,27
2025;10;5;72,26
2025;10;6;3,78
2025;10;7;0,97
2025;10;8;0,81
2025;10;9;0,29
2025;10;10;0,54
2025;10;11;0,54
2025;10;12;0,54
2025;10;13;0,04
2025;10;14;0,04
2025;10;15;0,57
2025;10;16;0,57
2025;10;17;0,60
2025;10;18;0,60
2025;10;19;74,68
2025;10;20;78,88
2025;10;21;78,79
2025;10;22;78,79
2025;10;23;73,33
2025;11;0;67,19
2025;11;1;67,01
2025;11;2;65,61
2025;11;3;65,61
2025;11;4;65,61
2025;11;5;65,53
2025;11;6;0,14
2025;11;7;0,14
2025;11;8;0,07
2025;11;9;0,07
2025;11;10;0,00
2025;11;11;0,00
2025;11;12;0,00
2025;11;13;0,00
2025;11;14;0,00
2025;11;15;0,00
2025;11;16;0,00
2025;11;17;0,00
2025;11;18;0,00
2025;11;19;69,56
2025;11;20;77,66
2025;11;21;77,41
2025;11;22;77,41
2025;11;23;67,77
2025;12;0;64,57
2025;12;1;64,21
2025;12;2;62,97
2025;12;3;62,97
2025;12;4;62,97
2025;12;5;62,97
2025;12;6;2,05
2025;12;7;1,26
2025;12;8;0,63
2025;12;9;0,64
2025;12;10;0,00
2025;12;11;0,00
2025;12;12;0,00
2025;12;13;0,00
2025;12;14;0,00
2025;12;15;0,00
2025;12;16;0,00
2025;12;17;0,00
2025;12;18;0,00
2025;12;19;0,00
2025;12;20;65,30
2025;12;21;67,05
2025;12;22;67,05
2025;12;23;64,92
2026;1;0;69,78
2026;1;1;71,22
2026;1;2;70,70
2026;1;3;70,70
2026;1;4;70,70
2026;1;5;70,70
2026;1;6;0,00
2026;1;7;0,00
2026;1;8;0,00
2026;1;9;0,00
2026;1;10;0,00
2026;1;11;0,00
2026;1;12;0,00
2026;1;13;0,00
2026;1;14;0,00
2026;1;15;0,00
2026;1;16;0,00
2026;1;17;0,00
2026;1;18;0,00
2026;1;19;0,00
2026;1;20;70,70
2026;1;21;70,74
2026;1;22;70,60
2026;1;23;70,51
2026;2;0;75,75
2026;2;1;76,07
2026;2;2;77,31
2026;2;3;77,31
2026;2;4;77,31
2026;2;5;77,31
2026;2;6;1,26
2026;2;7;1,26
2026;2;8;0,54
2026;2;9;0,40
2026;2;10;0,14
2026;2;11;0,14
