Año;Mes;Hora;CMg
2025;1;0;112,6414687
2025;1;1;109,6119769
2025;1;2;107,7369299
2025;1;3;107,7369934
2025;1;4;107,7360758
2025;1;5;107,7361293
2025;1;6;4,835029707
2025;1;7;4,835021651
2025;1;8;0,993769502
2025;1;9;0,326751466
2025;1;10;0,673449281
2025;1;11;0,673428624
2025;1;12;0,6742006
2025;1;13;0,674532399
2025;1;14;0,67501193
2025;1;15;0,675153434
2025;1;16;0,675058892
2025;1;17;0,675054734
2025;1;18;0,675053909
2025;1;19;0,675153434
2025;1;20;118,462724
2025;1;21;120,0357896
2025;1;22;119,2051493
2025;1;23;119,2052742
2025;2;0;130,400109
2025;2;1;130,9505576
2025;2;2;122,9112599
2025;2;3;122,9113332
2025;2;4;122,9111548
2025;2;5;122,9107347
2025;2;6;29,96943787
2025;2;7;29,96934241
2025;2;8;10,62482331
2025;2;9;7,037308175
2025;2;10;4,170171669
2025;2;11;3,872389771
2025;2;12;3,874351359
2025;2;13;3,874321309
2025;2;14;3,877594398
2025;2;15;3,87874941
2025;2;16;3,878750434
2025;2;17;3,884281389
2025;2;18;4,181417793
2025;2;19;4,179057131
2025;2;20;134,8064362
2025;2;21;135,1976355
2025;2;22;134,8048243
2025;2;23;134,8042354
2025;3;0;138,7619381
2025;3;1;139,7813575
2025;3;2;139,1992986
2025;3;3;139,1990939
2025;3;4;139,199456
2025;3;5;139,2006317
2025;3;6;139,7356198
2025;3;7;40,1794765
2025;3;8;40,17933672
2025;3;9;31,02634916
2025;3;10;22,05549744
2025;3;11;7,449442566
2025;3;12;7,45641642
2025;3;13;7,456434725
2025;3;14;7,472434348
2025;3;15;7,483044147
2025;3;16;7,481649181
2025;3;17;7,479669834
2025;3;18;22,19904971
2025;3;19;138,0665068
2025;3;20;136,953442
2025;3;21;136,9540765
2025;3;22;136,9542016
2025;3;23;137,8601012
2025;4;0;113,9177034
2025;4;1;113,6401586
2025;4;2;113,5673973
2025;4;3;113,567978
2025;4;4;113,5674296
2025;4;5;113,567302
2025;4;6;114,0860192
2025;4;7;42,1059048
2025;4;8;48,59704582
2025;4;9;19,49752296
2025;4;10;6,614020121
2025;4;11;6,601462771
2025;4;12;6,609343709
2025;4;13;6,612785711
2025;4;14;6,621176216
2025;4;15;6,630513485
2025;4;16;6,667285295
2025;4;17;42,50785632
2025;4;18;42,39621791
2025;4;19;113,7713309
2025;4;20;113,8859106
2025;4;21;113,8850451
2025;4;22;113,9981685
2025;4;23;113,9347973
2025;5;0;117,447481
2025;5;1;115,4659832
2025;5;2;114,3619849
2025;5;3;111,877826
2025;5;4;111,1867964
2025;5;5;111,1867004
2025;5;6;113,6712838
2025;5;7;33,87531395
2025;5;8;38,41312979
2025;5;9;17,87607692
2025;5;10;11,83294739
2025;5;11;11,48881671
2025;5;12;11,4949055
2025;5;13;11,51624875
2025;5;14;11,52411415
2025;5;15;11,91251275
2025;5;16;11,92525701
2025;5;17;46,05045876
2025;5;18;118,5396927
2025;5;19;118,7812289
2025;5;20;118,7003704
2025;5;21;118,7001767
2025;5;22;118,8826584
2025;5;23;119,3302972
2025;6;0;93,56657066
2025;6;1;89,07951654
2025;6;2;83,53181562
2025;6;3;82,1456209
2025;6;4;82,14516332
2025;6;5;82,14590732
2025;6;6;89,42620825
2025;6;7;97,06823859
2025;6;8;32,8051676
2025;6;9;6,343687485
2025;6;10;6,351536961
2025;6;11;6,342148742
2025;6;12;6,331433258
2025;6;13;29,23687711
2025;6;14;29,26654908
2025;6;15;29,35667739
2025;6;16;29,39280306
2025;6;17;34,73894163
2025;6;18;106,924579
2025;6;19;107,92131
2025;6;20;107,9217777
2025;6;21;107,9224603
2025;6;22;102,9863575
2025;6;23;101,1750021
2025;7;0;84,38958707
2025;7;1;84,20885435
2025;7;2;83,72681934
2025;7;3;83,62437311
2025;7;4;83,6245976
2025;7;5;83,6236179
2025;7;6;84,21120095
2025;7;7;86,2438215
2025;7;8;51,44811164
2025;7;9;2,813842473
2025;7;10;2,240567401
2025;7;11;10,3691609
2025;7;12;2,243690818
2025;7;13;2,246554653
2025;7;14;2,248709483
2025;7;15;2,249262076
2025;7;16;10,86897006
2025;7;17;51,45733785
2025;7;18;103,8566895
2025;7;19;107,0554739
2025;7;20;104,048736
2025;7;21;104,0487878
2025;7;22;86,76582185
2025;7;23;86,0613343
2025;8;0;64,98882443
2025;8;1;64,70022831
2025;8;2;63,71214251
2025;8;3;63,72618381
2025;8;4;63,72710049
2025;8;5;63,7253624
2025;8;6;64,65683764
2025;8;7;20,38616961
2025;8;8;1,257946566
2025;8;9;6,423208252
2025;8;10;6,431771663
2025;8;11;6,439140912
2025;8;12;6,439142725
2025;8;13;6,176590467
2025;8;14;6,163435985
2025;8;15;6,163487661
2025;8;16;6,163467977
2025;8;17;20,56338452
2025;8;18;25,30515541
2025;8;19;68,58059991
2025;8;20;70,74564516
2025;8;21;69,76198935
2025;8;22;64,64505257
2025;8;23;64,75408228
2025;9;0;61,9014321
2025;9;1;61,39322234
2025;9;2;57,37741485
2025;9;3;56,43294954
2025;9;4;56,43657341
2025;9;5;56,43690622
2025;9;6;5,2249269
2025;9;7;4,876783868
2025;9;8;4,87684623
2025;9;9;0,879152024
2025;9;10;1,337165871
2025;9;11;1,337159352
2025;9;12;0,67992902
2025;9;13;0,679921778
2025;9;14;0,680732382
2025;9;15;1,339316015
2025;9;16;0,711525492
2025;9;17;4,111911542
2025;9;18;0,658736101
2025;9;19;61,88203064
2025;9;20;61,2258479
2025;9;21;61,13343612
2025;9;22;61,13224626
2025;9;23;61,40969478
2025;10;0;61,62568422
2025;10;1;61,70838887
2025;10;2;61,69633055
2025;10;3;61,74195371
2025;10;4;61,74241778
2025;10;5;61,73701311
2025;10;6;3,68925361
2025;10;7;1,058183526
2025;10;8;0,837569149
2025;10;9;0,332344176
2025;10;10;0,523064018
2025;10;11;0,522846041
2025;10;12;0,522856669
2025;10;13;0,05755598
2025;10;14;0,057616929
2025;10;15;0,563362054
2025;10;16;0,563362054
2025;10;17;0,606857939
2025;10;18;0,616015961
2025;10;19;63,38540444
2025;10;20;67,73481641
2025;10;21;67,65295626
2025;10;22;67,65270122
2025;10;23;62,24316161
2025;11;0;57,35888139
2025;11;1;57,1485969
2025;11;2;55,84216068
2025;11;3;55,84203822
2025;11;4;55,84207293
2025;11;5;55,77369538
2025;11;6;0,048251047
2025;11;7;0,048250129
2025;11;8;0,024334956
2025;11;9;0,024662971
2025;11;10;0
2025;11;11;0
2025;11;12;0
2025;11;13;0
2025;11;14;0
2025;11;15;0
2025;11;16;0
2025;11;17;0
2025;11;18;0
2025;11;19;59,34108238
2025;11;20;67,21017625
2025;11;21;66,97815216
2025;11;22;66,97849641
2025;11;23;57,81553801
2025;12;0;55,32067028
2025;12;1;55,02209297
2025;12;2;54,1654751
2025;12;3;54,16548681
2025;12;4;54,1651709
2025;12;5;54,16545517
2025;12;6;2,361365935
2025;12;7;1,453145225
2025;12;8;0,73021197
2025;12;9;0,739930635
2025;12;10;0
2025;12;11;0
2025;12;12;0
2025;12;13;0
2025;12;14;0
2025;12;15;0
2025;12;16;0
2025;12;17;0
2025;12;18;0
2025;12;19;0
2025;12;20;56,33500391
2025;12;21;58,01184069
2025;12;22;58,01233248
2025;12;23;56,00817501
2026;1;0;61,34285044
2026;1;1;62,54390091
2026;1;2;61,87122147
2026;1;3;61,87125793
2026;1;4;61,87073096
2026;1;5;61,87076168
2026;1;6;0,002491259
2026;1;7;0,002491255
2026;1;8;0,002491507
2026;1;9;0,002500011
2026;1;10;0
2026;1;11;0
2026;1;12;0
2026;1;13;0
2026;1;14;0
2026;1;15;0
2026;1;16;0
2026;1;17;0
2026;1;18;0
2026;1;19;0
2026;1;20;62,37215706
2026;1;21;62,45940897
2026;1;22;62,30990144
2026;1;23;62,21005317
2026;2;0;68,65796218
2026;2;1;68,9477831
2026;2;2;70,07970081
2026;2;3;70,07974261
2026;2;4;70,07964086
2026;2;5;70,07940132
2026;2;6;1,445015646
2026;2;7;1,445011043
2026;2;8;0,68904046
2026;2;9;0,536731046
2026;2;10;0,151385175
2026;2;11;0,151330575
2026;2;12;0,151407232
2026;2;13;0,151406058
2026;2;14;0,151533968
2026;2;15;0,151579105
2026;2;16;0,151579145
2026;2;17;0,151795292
2026;2;18;0,15179343
2026;2;19;0,151707734
2026;2;20;69,08533366
2026;2;21;69,24833864
2026;2;22;69,08450759
2026;2;23;69,08420579
2026;3;0;81,96902705
2026;3;1;82,83933644
2026;3;2;83,26764783
2026;3;3;83,43923219
2026;3;4;83,43944924
2026;3;5;83,44015402
2026;3;6;82,87361826
2026;3;7;28,00492355
2026;3;8;30,47654618
2026;3;9;5,793094547
2026;3;10;4,988057917
2026;3;11;4,998570573
2026;3;12;5,003250024
2026;3;13;3,762717152
2026;3;14;5,013809483
2026;3;15;5,020928383
2026;3;16;5,019992397
2026;3;17;5,018853049
2026;3;18;3,7743365
2026;3;19;81,24358393
2026;3;20;80,11026345
2026;3;21;80,11063457
2026;3;22;80,34521965
2026;3;23;81,53228797
2026;4;0;84,27553672
2026;4;1;83,96581356
2026;4;2;83,75775535
2026;4;3;83,75818356
2026;4;4;83,75777915
2026;4;5;83,75768504
2026;4;6;84,83520252
2026;4;7;33,01972592
2026;4;8;38,28286803
2026;4;9;14,85228707
2026;4;10;5,566693068
2026;4;11;5,556124168
2026;4;12;5,562757164
2026;4;13;5,565654126
2026;4;14;5,572715998
2026;4;15;5,580574715
2026;4;16;6,735889531
2026;4;17;35,58993973
2026;4;18;41,62675261
2026;4;19;83,14101097
2026;4;20;83,37858012
2026;4;21;83,37794642
2026;4;22;84,27790604
2026;4;23;84,44103456
2026;5;0;84,60775077
2026;5;1;85,22067269
2026;5;2;84,98795164
2026;5;3;84,4672528
2026;5;4;84,31330764
2026;5;5;84,31323492
2026;5;6;84,83431237
2026;5;7;30,9327799
2026;5;8;27,67934909
2026;5;9;15,72445102
2026;5;10;10,39987135
2026;5;11;9,836542458
2026;5;12;9,841755586
2026;5;13;12,44441036
2026;5;14;13,74598321
2026;5;15;11,02926343
2026;5;16;11,32109343
2026;5;17;31,74422412
2026;5;18;84,12300306
2026;5;19;82,57256034
2026;5;20;82,21345706
2026;5;21;82,2133229
2026;5;22;82,71620258
2026;5;23;83,72285577
2026;6;0;84,43516034
2026;6;1;83,59319882
2026;6;2;81,71555573
2026;6;3;81,40331737
2026;6;4;81,40286393
2026;6;5;81,40360121
2026;6;6;83,69746988
2026;6;7;85,87187417
2026;6;8;31,8527047
2026;6;9;14,4581474
2026;6;10;9,384403744
2026;6;11;9,370532639
2026;6;12;14,24765097
2026;6;13;30,16437285
2026;6;14;30,19498612
2026;6;15;30,28797361
2026;6;16;30,32524532
2026;6;17;33,61954057
2026;6;18;82,79857069
2026;6;19;82,10153931
2026;6;20;82,10189506
2026;6;21;82,43515138
2026;6;22;87,09316422
2026;6;23;86,60106638
2026;7;0;80,27250162
2026;7;1;80,24837581
2026;7;2;78,45788029
2026;7;3;78,08000762
2026;7;4;78,08021723
2026;7;5;78,07930248
2026;7;6;80,25061205
2026;7;7;78,10957534
2026;7;8;44,78237996
2026;7;9;1,47865073
2026;7;10;1,510866692
2026;7;11;9,235568988
2026;7;12;1,512972884
2026;7;13;1,514904035
2026;7;14;1,516357087
2026;7;15;1,516729713
2026;7;16;9,102094373
2026;7;17;44,82455397
2026;7;18;81,71096965
2026;7;19;82,57430336
2026;7;20;81,86206536
2026;7;21;81,86210611
2026;7;22;77,7711018
2026;7;23;78,51186489
2026;8;0;63,25198966
2026;8;1;64,02424331
2026;8;2;64,42391918
2026;8;3;64,45818139
2026;8;4;64,4591086
2026;8;5;64,45735055
2026;8;6;64,02569404
2026;8;7;21,05423233
2026;8;8;3,499957313
2026;8;9;6,596454183
2026;8;10;6,564011368
2026;8;11;6,571532132
2026;8;12;6,598829851
2026;8;13;6,639804365
2026;8;14;6,646602486
2026;8;15;6,714899463
2026;8;16;5,703020884
2026;8;17;21,23693304
2026;8;18;25,12885535
2026;8;19;61,70289882
2026;8;20;62,52019771
2026;8;21;62,43881794
2026;8;22;60,15092557
2026;8;23;60,953338
2026;9;0;58,67194886
2026;9;1;59,50363644
2026;9;2;60,53870209
2026;9;3;60,76892587
2026;9;4;60,77282817
2026;9;5;60,77318656
2026;9;6;7,547715939
2026;9;7;3,913097608
2026;9;8;3,913147647
2026;9;9;2,41624313
2026;9;10;0,703022665
2026;9;11;0,703019238
2026;9;12;0,223096668
2026;9;13;0,223094292
2026;9;14;0,223360265
2026;9;15;0,704153116
2026;9;16;0,54701576
