Hora;G solar
0;-0,7
1;-0,7
2;-0,7
3;-0,7
4;-0,7
5;-0,7
6;-0,7
7;6,696
8;15,592
9;20,576
10;29,616
11;38,528
12;83,456
13;202,344
14;216,336
15;214,896
16;212,024
17;205,632
18;190,024
19;104,432
20;12,248
21;-0,7
22;-0,7
23;-0,7
0;-0,7
1;-0,7
2;-0,7
3;-0,7
4;-0,7
5;-0,7
6;-0,7
7;7,84
8;17,768
9;24,8
10;30,112
11;34,984
12;62,192
13;197,816
14;216,368
15;215,368
16;212,568
17;206,496
18;191,936
19;106,176
20;12,416
21;-0,7
22;-0,7
23;-0,7
0;-0,7
1;-0,7
2;-0,7
3;-0,7
4;-0,7
5;-0,7
6;-0,7
7;7,224
8;23,448
9;31,72
10;81,08
11;147,336
12;213,144
13;212,832
14;212,368
15;210,096
16;207,904
17;199,28
18;180,944
19;94,56
20;10,896
21;-0,7
22;-0,7
23;-0,7
0;-0,7
1;-0,7
2;-0,7
3;-0,7
4;-0,7
5;-0,7
6;-0,7
7;6,896
8;18,496
9;24,04
10;45,304
11;146,384
12;211,368
13;210,632
14;210,056
15;208,696
16;204,952
17;196,176
18;175,704
19;79,424
20;5,768
21;-0,7
22;-0,7
23;-0,7
0;-0,7
1;-0,7
2;-0,7
3;-0,7
4;-0,7
5;-0,7
6;-0,7
7;5,576
8;14,008
9;19,8
10;41,656
11;77,28
12;46,504
13;47,84
14;69,824
15;58,8
16;47,056
17;75,376
18;122,68
19;61,176
20;9,312
21;-0,7
22;-0,7
23;-0,7
0;-0,7
1;-0,7
2;-0,7
3;-0,7
4;-0,7
5;-0,7
6;-0,7
7;17,584
8;88,48
9;163,68
10;194,112
11;204,592
12;207,2
13;198,8
14;178,672
15;201,688
16;194,928
17;173,744
18;146,152
19;73,416
20;7,688
21;-0,7
22;-0,7
23;-0,7
0;-0,7
1;-0,7
2;-0,7
3;-0,7
4;-0,7
5;-0,7
6;-0,7
7;19,872
8;105,96
9;172,928
10;195,56
11;205,272
12;207,704
13;207,456
14;206,984
15;204,784
16;201,312
17;188,728
18;162,344
19;81,768
20;9,096
21;-0,7
22;-0,7
23;-0,7
0;-0,7
1;-0,7
2;-0,7
3;-0,7
4;-0,7
5;-0,7
6;-0,7
7;21,2
8;58,392
9;98,384
10;126,68
11;114,304
12;134,456
13;206,888
14;202,704
15;210,368
16;206,592
17;198,808
18;178,32
19;92,904
20;11,208
21;-0,7
22;-0,7
23;-0,7
0;-0,7
1;-0,7
2;-0,7
3;-0,7
4;-0,7
5;-0,7
6;-0,7
7;25,328
8;124,328
9;194,12
10;207,56
11;211,24
12;213,504
13;213,24
14;212,84
15;210,816
16;208
17;201,792
18;184,616
19;98,808
20;12,24
21;-0,7
22;-0,7
23;-0,7
0;-0,7
1;-0,7
2;-0,7
3;-0,7
4;-0,7
5;-0,7
6;-0,7
7;26,384
8;129,824
9;200,04
10;210,064
11;214,592
12;215,648
13;215,12
14;214,696
15;212,68
16;210,384
17;203,968
18;190,344
19;104,184
20;12,52
21;-0,7
22;-0,7
23;-0,7
0;-0,7
1;-0,7
2;-0,7
3;-0,7
4;-0,7
5;-0,7
6;-0,7
7;24,416
8;128,904
9;199,68
10;210,152
11;214,92
12;215,936
13;215,656
14;215,296
15;213,544
16;210,76
17;203,864
18;189,704
19;103,664
20;12,544
21;-0,7
22;-0,7
23;-0,7
0;-0,7
1;-0,7
2;-0,7
3;-0,7
4;-0,7
5;-0,7
6;-0,7
7;19,728
8;77,248
9;152,544
10;210,976
11;214,824
12;216,032
13;215,736
14;215,28
15;213,632
16;211,064
17;205,432
18;187,584
19;101,792
20;12,184
21;-0,7
22;-0,7
23;-0,7
0;-0,7
1;-0,7
2;-0,7
3;-0,7
4;-0,7
5;-0,7
6;-0,7
7;6,664
8;22,64
9;32,536
10;48,384
11;113,12
12;213,104
13;214,176
14;214,056
15;212,192
16;209,384
17;204,328
18;187,336
19;101,624
20;12,024
21;-0,7
22;-0,7
23;-0,7
0;-0,7
1;-0,7
2;-0,7
3;-0,7
4;-0,7
5;-0,7
6;-0,7
7;5,936
8;19,864
9;36,944
10;32,648
11;45,32
12;163,736
13;211,888
14;211,264
15;209,456
16;207,768
17;199,472
18;181,912
19;95,504
20;10,64
21;-0,7
22;-0,7
23;-0,7
0;-0,7
1;-0,7
2;-0,7
3;-0,7
4;-0,7
5;-0,7
6;-0,7
7;8,68
8;44,96
9;155,112
10;201,872
11;208,168
12;209,952
13;208,64
14;208,216
15;207,224
16;204,04
17;195,76
18;175,624
19;91,392
20;10,456
21;-0,7
22;-0,7
23;-0,7
0;-0,7
1;-0,7
2;-0,7
3;-0,7
4;-0,7
5;-0,7
6;-0,7
7;16,872
8;107,096
9;182,288
10;200,136
11;206,352
12;208,448
13;207,832
14;206,832
15;205,576
16;202,496
17;194,144
18;174,056
19;90,08
20;9,824
21;-0,7
22;-0,7
23;-0,7
0;-0,7
1;-0,7
2;-0,7
3;-0,7
4;-0,7
5;-0,7
6;-0,7
7;12,064
8;43,328
9;111,192
10;174,496
11;193,656
12;208,432
13;208,256
14;207,736
15;206,184
16;195,648
17;179,672
18;89,008
19;48,024
20;9,224
21;-0,7
22;-0,7
23;-0,7
0;-0,7
1;-0,7
2;-0,7
3;-0,7
4;-0,7
5;-0,7
6;-0,7
7;8
8;59,8
9;150,28
10;190,68
11;202,392
12;205,392
13;205,296
14;204,592
15;202,728
16;199,456
17;189,208
18;167,616
19;84,376
20;9,448
21;-0,7
22;-0,7
23;-0,7
0;-0,7
1;-0,7
2;-0,7
3;-0,7
4;-0,7
5;-0,7
6;-0,7
7;3,48
8;42,288
9;35,064
10;104,824
11;195,464
12;204,448
13;204,216
14;203,48
15;201,744
16;196,512
17;181,872
18;155,952
19;75,184
20;7,728
21;-0,7
22;-0,7
23;-0,7
0;-0,7
1;-0,7
2;-0,7
3;-0,7
4;-0,7
5;-0,7
6;-0,7
7;12,504
8;91,008
9;168,504
10;192,856
11;203,888
12;206,896
13;206,48
14;205,52
15;204,304
16;200,048
17;187,696
18;161,208
19;79,808
20;8,352
21;-0,7
22;-0,7
23;-0,7
0;-0,7
1;-0,7
2;-0,7
3;-0,7
4;-0,7
5;-0,7
6;-0,7
7;3,928
8;17,376
9;34,008
10;47,448
11;65,304
12;167,352
13;206,624
14;207,688
15;206,344
16;202,68
17;193,656
18;171,76
19;86,232
20;9,136
21;-0,7
22;-0,7
23;-0,7
0;-0,7
1;-0,7
2;-0,7
3;-0,7
4;-0,7
5;-0,7
6;-0,7
7;4,16
8;33,616
9;82,192
10;173,304
11;202,44
12;205,568
13;205,544
14;204,704
15;203,248
16;199,448
17;190,336
18;165,128
19;81,552
20;8,92
21;-0,7
22;-0,7
23;-0,7
0;-0,7
1;-0,7
2;-0,7
3;-0,7
4;-0,7
5;-0,7
6;-0,7
7;12,008
8;81,448
9;130,616
10;194,112
11;201,568
12;204,512
13;203,256
14;202,872
15;201,232
16;197,664
17;189,336
18;168,504
19;85,2
20;7,376
21;-0,7
22;-0,7
23;-0,7
0;-0,7
1;-0,7
2;-0,7
3;-0,7
4;-0,7
5;-0,7
6;-0,7
7;8,288
8;78,64
9;151,688
10;187,672
11;197,688
12;200,216
13;194,72
14;194,768
15;176,072
16;151,68
17;183,08
18;157,752
19;79,856
20;5,312
21;-0,7
22;-0,7
23;-0,7
0;-0,7
1;-0,7
2;-0,7
3;-0,7
4;-0,7
5;-0,7
6;-0,7
7;10,152
8;86,424
9;164,672
10;188,576
11;198,176
12;200,488
13;200,816
14;200,016
15;198,184
16;195,472
17;185
18;160,656
19;77,728
20;6,888
21;-0,7
22;-0,7
23;-0,7
0;-0,7
1;-0,7
2;-0,7
3;-0,7
4;-0,7
5;-0,7
6;-0,7
7;9,8
8;88,968
9;172,632
10;192,576
11;199,976
12;202,952
13;203,016
14;202,152
15;200,328
16;196,872
17;188,328
18;166,944
19;81,84
20;8,04
21;-0,7
22;-0,7
23;-0,7
0;-0,7
1;-0,7
2;-0,7
3;-0,7
4;-0,7
5;-0,7
6;-0,7
7;8,872
8;60,264
9;91,168
10;191,576
11;203,184
12;205,184
13;205,24
14;204,232
15;202,472
16;199,632
17;189,584
18;166,952
19;75,72
20;7,528
21;-0,7
22;-0,7
23;-0,7
0;-0,7
1;-0,7
2;-0,7
3;-0,7
4;-0,7
5;-0,7
6;-0,7
7;8,128
8;54,024
9;125,68
10;151,52
11;194,424
12;184,856
13;195,672
14;203,688
15;202,28
16;196,376
17;184,896
18;157,168
19;56,576
20;5,536
21;-0,7
22;-0,7
23;-0,7
0;-0,7
1;-0,7
2;-0,7
3;-0,7
4;-0,7
5;-0,7
6;-0,7
7;2,888
8;19,256
9;24,384
10;35,216
11;53,656
12;110,152
13;195,568
14;202,704
15;201,048
16;196,624
17;184,424
18;158,584
19;75,2
20;6,104
21;-0,7
22;-0,7
23;-0,7
0;-0,7
1;-0,7
2;-0,7
3;-0,7
4;-0,7
5;-0,7
6;-0,7
7;7,704
8;82,536
9;168,024
10;192,448
11;201,936
12;203,576
13;203,992
14;203,08
15;201,688
16;198,992
17;188,464
18;163,736
19;78,08
20;6,784
21;-0,7
22;-0,7
23;-0,7
0;-0,7
1;-0,7
2;-0,7
3;-0,7
4;-0,7
5;-0,7
6;-0,7
7;2,928
8;31,824
9;37,792
10;84,552
11;179,848
12;205,984
13;205,96
14;205,192
15;203,824
16;200,768
17;192,712
18;167,672
19;55,136
20;3,832
21;-0,7
22;-0,7
23;-0,7
0;-0,7
1;-0,7
2;-0,7
3;-0,7
4;-0,7
5;-0,7
6;-0,7
7;2,288
8;11,744
9;12,24
10;13,76
11;13,984
12;25,928
13;54,12
14;140,64
15;205,536
16;203,144
17;192,664
18;166,28
19;78,008
20;7,448
21;-0,7
22;-0,7
23;-0,7
0;-0,7
1;-0,7
2;-0,7
3;-0,7
4;-0,7
5;-0,7
6;-0,7
7;6,744
8;33,688
9;24,208
10;19,224
11;13,264
12;17,8
13;63,52
14;191,872
15;208,24
16;205,264
17;194,04
18;169,296
19;78,744
20;7,44
21;-0,7
22;-0,7
23;-0,7
0;-0,7
1;-0,7
2;-0,7
3;-0,7
4;-0,7
5;-0,7
6;-0,7
7;8,048
8;86,76
9;181,728
10;202,08
11;208,232
12;209,368
13;209,96
14;208,872
15;207,048
16;205,552
17;197,992
18;176,944
19;84,16
20;7,896
21;-0,7
22;-0,7
23;-0,7
0;-0,7
1;-0,7
2;-0,7
3;-0,7
4;-0,7
5;-0,7
6;-0,7
7;7,576
8;57,992
9;51,08
10;99,32
11;205,536
12;208,048
13;208,824
14;208,44
15;206,8
16;205,536
17;197,36
18;179,072
19;85,48
20;8,016
21;-0,7
22;-0,7
23;-0,7
0;-0,7
1;-0,7
2;-0,7
3;-0,7
4;-0,7
5;-0,7
6;-0,7
7;8,136
8;89,848
9;187,224
10;204,136
11;208,336
12;210,4
13;211,208
14;211,096
15;210,112
16;207,712
17;201,984
18;184,344
19;88,424
20;8,128
21;-0,7
22;-0,7
23;-0,7
0;-0,7
1;-0,7
2;-0,7
3;-0,7
4;-0,7
5;-0,7
6;-0,7
7;7,368
8;86,072
9;184,824
10;202,952
11;209,512
12;210,44
13;211,024
14;210,312
15;209,176
16;207,92
17;200,528
18;181,568
19;85,12
20;7,4
21;-0,7
22;-0,7
23;-0,7
0;-0,7
1;-0,7
2;-0,7
3;-0,7
4;-0,7
5;-0,7
6;-0,7
7;6,768
8;82,816
9;182,952
10;204,008
11;209,696
12;211,4
13;211,16
14;210,872
15;210,432
16;207,512
17;199,52
18;178,736
