Año;Mes;Hora;CMg
2025;1;0;119,469
2025;1;1;108,531
2025;1;2;107,645
2025;1;3;107,644
2025;1;4;107,644
2025;1;5;107,644
2025;1;6;0
2025;1;7;0
2025;1;8;0
2025;1;9;0
2025;1;10;0
2025;1;11;0
2025;1;12;0
2025;1;13;0
2025;1;14;0
2025;1;15;0
2025;1;16;0
2025;1;17;0
2025;1;18;0
2025;1;19;0
2025;1;20;135,617
2025;1;21;140,12
2025;1;22;137,74
2025;1;23;137,74
2025;2;0;134,372
2025;2;1;133,194
2025;2;2;123,258
2025;2;3;123,259
2025;2;4;123,259
2025;2;5;123,26
2025;2;6;11,214
2025;2;7;11,214
2025;2;8;6,492
2025;2;9;5,779
2025;2;10;0,904
2025;2;11;0,904
2025;2;12;0,903
2025;2;13;0,903
2025;2;14;0,901
2025;2;15;0,9
2025;2;16;0,9
2025;2;17;0,901
2025;2;18;0,901
2025;2;19;0,898
2025;2;20;141,441
2025;2;21;141,815
2025;2;22;141,219
2025;2;23;141,218
2025;3;0;142,736
2025;3;1;142,135
2025;3;2;142,93
2025;3;3;142,93
2025;3;4;142,928
2025;3;5;142,928
2025;3;6;142,233
2025;3;7;32,732
2025;3;8;32,732
2025;3;9;14,901
2025;3;10;5,858
2025;3;11;5,84
2025;3;12;5,832
2025;3;13;5,832
2025;3;14;5,814
2025;3;15;5,8
2025;3;16;5,803
2025;3;17;5,806
2025;3;18;5,803
2025;3;19;146,225
2025;3;20;145,634
2025;3;21;145,634
2025;3;22;145,634
2025;3;23;141,843
2025;4;0;133,296
2025;4;1;130,739
2025;4;2;130,624
2025;4;3;130,625
2025;4;4;130,624
2025;4;5;130,624
2025;4;6;130,922
2025;4;7;45,327
2025;4;8;52,469
2025;4;9;20,904
2025;4;10;7,23
2025;4;11;7,253
2025;4;12;7,248
2025;4;13;7,237
2025;4;14;7,222
2025;4;15;7,204
2025;4;16;7,204
2025;4;17;46,525
2025;4;18;46,837
2025;4;19;131,564
2025;4;20;131,663
2025;4;21;131,663
2025;4;22;132,759
2025;4;23;133,259
2025;5;0;135,326
2025;5;1;129,14
2025;5;2;125,08
2025;5;3;115,968
2025;5;4;113,493
2025;5;5;113,493
2025;5;6;122,603
2025;5;7;32,186
2025;5;8;36,543
2025;5;9;15,981
2025;5;10;9,287
2025;5;11;8,694
2025;5;12;8,69
2025;5;13;8,681
2025;5;14;8,668
2025;5;15;9,223
2025;5;16;9,218
2025;5;17;46,054
2025;5;18;142,942
2025;5;19;149,738
2025;5;20;151,465
2025;5;21;151,465
2025;5;22;148,096
2025;5;23;139,775
2025;6;0;104,385
2025;6;1;98,072
2025;6;2;92,331
2025;6;3;90,946
2025;6;4;90,946
2025;6;5;90,947
2025;6;6;98,369
2025;6;7;113,51
2025;6;8;37,803
2025;6;9;5,265
2025;6;10;4,222
2025;6;11;4,236
2025;6;12;4,24
2025;6;13;32,509
2025;6;14;32,459
2025;6;15;32,377
2025;6;16;32,36
2025;6;17;39,661
2025;6;18;149,522
2025;6;19;150,993
2025;6;20;150,992
2025;6;21;150,841
2025;6;22;122,967
2025;6;23;119,411
2025;7;0;92,7
2025;7;1;90,806
2025;7;2;89,037
2025;7;3;88,644
2025;7;4;88,651
2025;7;5;88,652
2025;7;6;90,814
2025;7;7;95,825
2025;7;8;54,251
2025;7;9;3,032
2025;7;10;1,61
2025;7;11;9,562
2025;7;12;1,61
2025;7;13;1,607
2025;7;14;1,602
2025;7;15;1,601
2025;7;16;10,912
2025;7;17;55,505
2025;7;18;127,353
2025;7;19;128,327
2025;7;20;123,882
2025;7;21;123,911
2025;7;22;98,45
2025;7;23;96,678
2025;8;0;78,423
2025;8;1;77,556
2025;8;2;75,89
2025;8;3;75,945
2025;8;4;75,949
2025;8;5;75,948
2025;8;6;77,46
2025;8;7;26,473
2025;8;8;1,179
2025;8;9;7,221
2025;8;10;6,406
2025;8;11;6,413
2025;8;12;6,413
2025;8;13;6,513
2025;8;14;6,513
2025;8;15;6,513
2025;8;16;6,513
2025;8;17;26,379
2025;8;18;32,522
2025;8;19;87,591
2025;8;20;88,279
2025;8;21;88,024
2025;8;22;86,404
2025;8;23;83,846
2025;9;0;77,043
2025;9;1;75,096
2025;9;2;70,142
2025;9;3;69,081
2025;9;4;69,061
2025;9;5;69,061
2025;9;6;10,315
2025;9;7;9,228
2025;9;8;9,228
2025;9;9;1,911
2025;9;10;2,399
2025;9;11;2,404
2025;9;12;1,202
2025;9;13;1,201
2025;9;14;1,201
2025;9;15;2,4
2025;9;16;1,2
2025;9;17;7,5
2025;9;18;1,201
2025;9;19;80,523
2025;9;20;84,355
2025;9;21;84,275
2025;9;22;80,233
2025;9;23;79,937
2025;10;0;78,697
2025;10;1;77,093
2025;10;2;76,895
